time_s,load_velocity,load_torque,test_velocity,test_torque,loadcell_torque_nm,cmd_torque_nm,load_voltage,test_voltage,test_q_A,kp,kd
0.04,nan,nan,nan,nan,0.00,nan,nan,nan,nan,nan,nan
0.08,nan,nan,nan,nan,0.00,nan,48.60,nan,nan,nan,nan
0.12,nan,nan,nan,nan,0.00,nan,48.60,nan,nan,nan,nan
0.16,nan,nan,nan,nan,0.00,nan,48.60,nan,nan,nan,nan
0.20,nan,nan,nan,nan,0.00,nan,48.60,nan,nan,nan,nan
0.24,nan,nan,nan,nan,0.00,nan,48.60,nan,nan,nan,nan
0.28,nan,nan,nan,nan,0.00,nan,48.60,nan,nan,nan,nan
0.32,nan,nan,nan,nan,0.00,nan,48.50,nan,nan,nan,nan
0.36,nan,nan,nan,nan,0.00,nan,48.50,nan,nan,nan,nan
0.40,nan,nan,nan,nan,0.00,nan,48.50,nan,nan,nan,nan
0.44,nan,nan,nan,nan,0.00,nan,48.50,nan,nan,nan,nan
0.48,nan,nan,nan,nan,0.00,nan,48.50,nan,nan,nan,nan
0.52,nan,nan,nan,nan,0.00,0.05,48.50,nan,nan,nan,nan
0.56,-0.17,-0.22,0.02,0.20,0.00,0.10,48.40,48.62,0.225,nan,nan
0.60,-0.17,-0.55,-0.40,0.19,-0.01,0.17,48.40,48.64,0.218,nan,nan
0.64,-0.67,-0.53,0.56,0.09,-0.04,0.22,48.10,48.64,0.105,nan,nan
0.68,-1.00,0.50,0.01,0.10,-0.07,0.30,48.10,48.62,0.113,nan,nan
0.72,-1.00,-0.70,0.05,0.30,-0.10,0.35,48.10,48.64,0.340,nan,nan
0.76,-1.33,-1.54,0.02,0.30,-0.11,0.40,48.20,48.64,0.343,nan,nan
0.80,-1.83,-0.84,0.04,0.25,-0.12,0.47,48.20,48.65,0.285,nan,nan
0.84,-2.67,-0.50,0.18,0.31,-0.14,0.53,48.20,48.64,0.347,nan,nan
0.88,-2.00,-1.20,0.10,0.35,-0.21,0.60,48.20,48.62,0.396,nan,nan
0.92,-3.00,-0.48,4.83,0.48,-0.35,0.65,48.10,48.64,0.546,nan,nan
0.96,-3.83,0.62,10.92,0.54,-0.46,0.70,48.10,48.64,0.610,nan,nan
1.00,-3.00,-1.01,13.50,0.93,-0.33,0.77,48.10,48.65,1.051,nan,nan
1.04,-4.17,1.73,-1.71,0.47,0.07,0.82,48.20,48.65,0.536,nan,nan
1.08,-3.33,-0.96,2.36,1.05,0.49,0.90,48.20,48.64,1.192,nan,nan
1.12,-4.33,-0.43,1.60,0.74,0.39,0.95,48.10,48.64,0.841,nan,nan
1.16,-4.50,-0.65,6.28,0.41,0.10,1.00,48.10,48.65,0.462,nan,nan
1.20,-5.00,0.00,13.23,1.42,0.02,1.07,48.10,48.65,1.606,nan,nan
1.24,-5.67,1.06,0.02,1.26,0.35,1.12,48.10,48.64,1.420,nan,nan
1.28,-5.00,-0.60,0.73,1.05,0.68,1.20,48.10,48.64,1.186,nan,nan
1.32,-5.83,-0.14,6.58,0.94,0.45,1.25,48.10,48.64,1.063,nan,nan
1.36,-6.33,-0.10,17.24,1.26,0.13,1.30,48.20,48.64,1.430,nan,nan
1.40,-7.33,1.85,4.50,1.56,0.36,1.38,48.20,48.64,1.770,nan,nan
1.44,-6.50,-0.17,5.29,1.07,0.81,1.43,48.20,48.65,1.207,nan,nan
1.48,-7.50,1.22,14.00,1.56,0.69,1.50,48.20,48.64,1.767,nan,nan
1.52,-7.67,1.01,4.74,1.66,0.70,1.55,48.20,48.65,1.873,nan,nan
1.56,-7.17,-0.55,4.22,1.46,0.97,1.60,48.20,48.65,1.653,nan,nan
1.60,-8.83,1.06,15.00,1.10,0.80,1.67,48.20,48.62,1.242,nan,nan
