time_s,load_velocity,load_torque,test_velocity,test_torque,loadcell_torque_nm,cmd_torque_nm,load_voltage,test_voltage,test_q_A,kp,kd
0.00,nan,nan,nan,nan,0.08,nan,nan,nan,nan,nan,nan
0.04,nan,nan,nan,nan,0.08,nan,48.60,nan,nan,nan,nan
0.08,nan,nan,nan,nan,0.08,nan,48.60,nan,nan,nan,nan
0.12,nan,nan,nan,nan,0.08,nan,48.60,nan,nan,nan,nan
0.16,nan,nan,nan,nan,0.07,nan,48.60,nan,nan,nan,nan
0.20,nan,nan,nan,nan,0.07,nan,48.50,nan,nan,nan,nan
0.24,nan,nan,nan,nan,0.07,nan,48.50,nan,nan,nan,nan
0.28,nan,nan,nan,nan,0.07,nan,48.50,nan,nan,nan,nan
0.32,nan,nan,nan,nan,0.07,nan,48.50,nan,nan,nan,nan
0.36,nan,nan,nan,nan,0.07,nan,48.50,nan,nan,nan,nan
0.40,nan,nan,nan,nan,0.07,nan,48.50,nan,nan,nan,nan
0.44,nan,nan,nan,nan,0.07,nan,48.60,nan,nan,nan,nan
0.48,nan,nan,nan,nan,0.07,nan,48.60,nan,nan,nan,nan
0.52,nan,nan,nan,nan,0.07,0.05,48.60,nan,nan,nan,nan
0.56,0.00,-0.53,0.02,0.01,0.07,0.10,48.50,48.60,0.007,nan,nan
0.60,-0.33,-0.36,0.03,0.23,0.07,0.17,48.50,48.64,0.259,nan,nan
0.64,-0.67,-0.62,0.07,0.29,0.07,0.22,48.10,48.64,0.328,nan,nan
0.68,-0.83,-0.67,0.16,0.26,0.07,0.30,48.10,48.64,0.299,nan,nan
0.72,-1.50,-0.72,0.30,0.32,0.03,0.35,48.10,48.65,0.358,nan,nan
0.76,-1.50,-0.46,0.01,0.25,0.00,0.40,48.10,48.60,0.452,nan,nan
0.80,-1.50,-1.54,0.14,0.40,-0.01,0.47,48.20,48.64,0.455,nan,nan
0.84,-2.50,-0.72,1.27,0.45,-0.04,0.53,48.20,48.65,0.511,nan,nan
0.89,-2.33,-1.13,0.21,0.51,-0.11,0.60,48.10,48.60,0.582,nan,nan
0.92,-2.33,-1.82,0.53,0.59,-0.20,0.65,48.10,48.62,0.669,nan,nan
0.96,-3.50,-0.50,6.91,-0.06,-0.32,0.70,48.10,48.65,-0.064,nan,nan
1.00,-3.50,-0.70,12.15,0.23,-0.35,0.77,48.10,48.60,0.258,nan,nan
1.04,-4.83,1.32,10.61,1.36,-0.13,0.82,48.10,48.64,1.536,nan,nan
1.08,-3.17,-0.46,-1.93,0.81,0.32,0.88,48.10,48.64,0.911,nan,nan
1.12,-4.33,-0.10,1.28,0.81,0.62,0.95,48.10,48.64,0.920,nan,nan
1.16,-4.17,-1.63,4.24,0.89,0.41,1.00,48.20,48.62,1.012,nan,nan
1.21,-4.83,-0.41,12.40,1.06,0.15,1.07,48.20,48.62,1.202,nan,nan
1.24,-5.83,1.15,3.67,1.25,0.28,1.12,48.20,48.65,1.414,nan,nan
1.28,-4.83,-0.29,0.88,1.01,0.70,1.17,48.20,48.64,1.141,nan,nan
1.32,-5.67,0.48,5.60,1.05,0.70,1.25,48.20,48.64,1.188,nan,nan
1.36,-7.00,1.61,11.01,1.43,0.44,1.30,48.10,48.64,1.621,nan,nan
1.40,-6.17,0.31,1.96,1.06,0.62,1.35,48.10,48.62,1.202,nan,nan
1.44,-6.33,-0.26,8.72,1.60,0.84,1.43,48.10,48.62,1.806,nan,nan
1.48,-7.00,-0.07,3.17,1.30,0.86,1.48,48.20,48.64,1.466,nan,nan
1.53,-7.00,-0.46,10.80,1.74,0.86,1.55,48.20,48.64,1.968,nan,nan
1.56,-7.67,0.98,4.82,1.20,0.89,1.60,48.20,48.62,1.360,nan,nan
1.60,-8.33,1.13,7.52,1.25,1.02,1.65,48.20,48.62,1.417,nan,nan
1.64,-8.00,0.72,5.66,1.45,1.10,1.73,48.20,48.60,1.640,nan,nan
1.68,-9.00,1.32,10.98,1.76,1.12,1.77,48.20,48.64,1.996,nan,nan
1.72,-8.67,0.84,9.07,1.48,1.18,1.82,48.20,48.64,1.669,nan,nan
1.76,-8.83,0.43,10.40,1.91,1.28,1.90,48.10,48.64,2.157,nan,nan
1.80,-8.83,0.24,8.26,2.00,1.30,1.95,48.10,48.62,2.125,nan,nan
1.84,-9.17,0.31,8.87,1.44,1.33,2.02,48.10,48.60,1.626,nan,nan
1.88,-10.17,1.34,8.65,1.71,1.40,2.08,48.10,48.62,1.901,nan,nan
1.92,-10.33,0.70,9.63,2.07,1.46,2.12,48.10,48.64,2.338,nan,nan
1.97,-9.83,0.31,9.80,2.08,1.52,2.20,48.10,48.60,2.348,nan,nan
2.00,-11.17,1.15,11.76,2.48,1.56,2.25,48.20,48.64,2.808,nan,nan
2.04,-10.67,0.62,10.26,1.74,1.61,2.30,48.20,48.64,1.964,nan,nan
2.08,-11.50,1.30,12.82,2.28,1.71,2.37,48.20,48.58,2.581,nan,nan
2.12,-11.33,0.29,11.50,2.14,1.79,2.42,48.20,48.64,2.423,nan,nan
2.16,-11.83,0.72,12.70,2.70,1.84,2.50,48.20,48.64,3.059,nan,nan
2.20,-11.83,0.77,12.21,2.76,1.88,2.55,48.20,48.62,3.120,nan,nan
2.24,-12.50,1.15,12.92,2.12,1.90,2.60,48.20,48.60,2.395,nan,nan
2.28,-12.83,1.46,13.34,2.87,1.94,2.67,48.20,48.64,3.240,nan,nan
2.32,-13.17,1.54,13.72,3.16,2.02,2.73,48.10,48.60,3.573,nan,nan
2.36,-13.33,1.58,13.23,2.79,2.09,2.77,48.10,48.64,3.160,nan,nan
2.40,-13.67,1.66,14.98,3.25,2.15,2.85,48.10,48.62,3.673,nan,nan
2.44,-14.33,2.16,13.36,2.15,2.24,2.90,48.10,48.60,2.430,nan,nan
2.49,-14.50,2.30,14.81,3.18,2.32,2.98,48.10,48.60,3.591,nan,nan
2.52,-15.17,2.45,13.95,2.95,2.37,3.02,48.10,48.60,3.332,nan,nan
2.56,-15.00,1.46,15.45,4.01,2.41,3.08,48.10,48.62,4.536,nan,nan
2.60,-14.83,1.01,15.88,2.41,2.45,3.15,48.10,48.62,2.724,nan,nan
2.64,-15.83,2.09,15.18,2.47,2.49,3.20,48.10,48.62,2.794,nan,nan
2.68,-16.00,2.26,16.11,3.24,2.57,3.25,48.10,48.56,3.665,nan,nan
2.72,-16.33,2.52,16.56,3.75,2.65,3.32,48.10,48.62,4.241,nan,nan
2.76,-16.17,1.68,16.97,3.58,2.72,3.37,48.10,48.60,4.045,nan,nan
2.81,-16.83,2.59,16.94,3.79,2.77,3.45,48.10,48.62,4.291,nan,nan
2.84,-17.17,2.11,15.97,3.49,2.80,3.50,48.20,48.62,3.952,nan,nan
2.88,-17.00,1.85,17.47,2.67,2.85,3.55,48.20,48.62,3.020,nan,nan
2.92,-17.67,2.57,17.06,2.97,2.89,3.62,48.20,48.60,3.354,nan,nan
2.96,-18.17,3.17,17.89,3.66,2.94,3.67,48.20,48.62,4.139,nan,nan
3.00,-18.17,2.52,18.37,3.21,3.02,3.75,48.20,48.60,3.630,nan,nan
3.04,-18.17,2.52,17.79,2.75,3.07,3.80,48.20,48.64,3.104,nan,nan
3.08,-18.67,3.05,18.51,4.25,3.12,3.85,48.20,48.60,4.803,nan,nan
3.12,-19.67,3.79,18.87,2.97,3.16,3.90,48.20,48.62,3.364,nan,nan
3.16,-19.83,3.10,20.72,4.34,3.23,3.97,48.20,48.60,4.913,nan,nan
3.20,-19.83,3.36,19.12,3.68,3.29,4.03,48.00,48.62,4.163,nan,nan
3.24,-20.00,3.19,19.62,4.70,3.37,4.08,48.00,48.62,5.310,nan,nan
3.28,-19.83,2.76,20.76,4.12,3.41,4.15,48.00,48.62,4.665,nan,nan
