time_s,load_velocity,load_torque,test_velocity,test_torque,loadcell_torque_nm,cmd_torque_nm,load_voltage,test_voltage,test_q_A,kp,kd
0.03,nan,nan,nan,nan,-0.14,nan,nan,nan,nan,nan,nan
0.07,nan,nan,nan,nan,-0.14,nan,48.10,nan,nan,nan,nan
0.11,nan,nan,nan,nan,-0.14,nan,48.10,nan,nan,nan,nan
0.15,nan,nan,nan,nan,-0.14,nan,48.10,nan,nan,nan,nan
0.19,nan,nan,nan,nan,-0.14,nan,48.10,nan,nan,nan,nan
0.23,nan,nan,nan,nan,-0.14,nan,48.10,nan,nan,nan,nan
0.27,nan,nan,nan,nan,-0.14,nan,48.10,nan,nan,nan,nan
0.31,nan,nan,nan,nan,-0.14,nan,48.00,nan,nan,nan,nan
0.35,nan,nan,nan,nan,-0.14,nan,48.00,nan,nan,nan,nan
0.39,nan,nan,nan,nan,-0.14,nan,48.00,nan,nan,nan,nan
0.43,nan,nan,nan,nan,-0.14,nan,48.10,nan,nan,nan,nan
0.47,nan,nan,nan,nan,-0.14,nan,48.10,nan,nan,nan,nan
0.51,nan,nan,nan,nan,-0.14,0.02,48.10,nan,nan,nan,nan
0.55,0.00,1.75,-0.01,0.00,-0.14,0.07,48.10,48.22,-0.013,nan,nan
0.59,-0.17,-0.05,-0.00,-0.12,-0.14,0.11,48.10,48.22,-0.133,nan,nan
0.63,-0.33,0.36,0.02,0.00,-0.17,0.15,48.10,48.24,0.000,nan,nan
0.67,-0.83,-0.24,0.26,0.08,-0.26,0.21,47.70,48.22,0.094,nan,nan
0.71,-0.83,-1.06,0.00,0.19,-0.38,0.24,47.70,48.22,0.216,nan,nan
0.75,-1.00,-2.35,0.90,0.21,-0.48,0.28,47.70,48.22,0.235,nan,nan
0.79,-1.50,-1.94,1.35,0.20,-0.61,0.34,47.60,48.22,0.225,nan,nan
0.83,-2.83,-0.14,7.05,0.37,-0.66,0.38,47.60,48.22,0.420,nan,nan
0.87,-2.50,0.14,6.52,0.81,-0.39,0.43,47.60,48.22,0.917,nan,nan
0.91,-2.83,-0.91,1.27,0.30,-0.09,0.47,47.70,48.21,0.336,nan,nan
0.95,-3.33,-0.07,2.96,0.25,0.02,0.51,47.70,48.22,0.278,nan,nan
0.99,-2.67,-0.96,5.40,0.49,0.05,0.56,47.70,48.22,0.553,nan,nan
1.03,-3.83,-0.43,6.50,0.56,0.08,0.60,47.70,48.21,0.630,nan,nan
1.07,-3.17,-0.86,1.88,0.70,0.13,0.64,47.70,48.22,0.785,nan,nan
1.11,-4.50,-0.31,6.75,0.92,0.16,0.69,47.70,48.19,1.038,nan,nan
1.15,-4.17,-1.20,6.72,1.14,0.18,0.73,47.70,48.22,1.287,nan,nan
1.19,-5.00,0.12,1.56,0.56,0.29,0.79,47.70,48.21,0.633,nan,nan
1.23,-4.83,-1.30,7.46,1.11,0.30,0.82,47.70,48.22,1.252,nan,nan
1.27,-5.17,-0.43,9.55,1.21,0.23,0.86,47.70,48.22,1.366,nan,nan
1.31,-5.83,0.43,4.11,0.57,0.33,0.92,47.70,48.21,0.645,nan,nan
1.35,-6.17,0.00,4.36,0.79,0.50,0.96,47.70,48.19,0.888,nan,nan
1.39,-6.50,-0.38,7.58,1.09,0.52,0.99,47.60,48.21,1.222,nan,nan
1.43,-6.50,0.41,7.02,0.92,0.52,1.05,47.60,48.19,1.034,nan,nan
1.47,-7.00,0.36,9.97,1.03,0.57,1.09,47.60,48.21,1.159,nan,nan
1.51,-7.00,-0.36,8.17,1.18,0.57,1.14,47.60,48.21,1.334,nan,nan
