time_s,load_velocity,load_torque,test_velocity,test_torque,loadcell_torque_nm,cmd_torque_nm,load_voltage,test_voltage,test_q_A,kp,kd
0.03,0.00,-1.22,-0.05,0.07,0.00,0.00,47.70,48.22,0.084,nan,nan
0.07,0.00,-1.22,-0.05,0.07,0.00,0.00,47.60,48.22,0.084,nan,nan
0.11,0.00,-1.22,-0.05,0.07,0.00,0.00,47.60,48.22,0.084,nan,nan
0.15,0.00,-1.22,-0.05,0.07,0.00,0.00,47.60,48.22,0.084,nan,nan
0.19,0.00,-1.22,-0.05,0.07,0.00,0.00,47.80,48.22,0.084,nan,nan
0.23,0.00,-1.22,-0.05,0.07,0.00,0.00,47.80,48.22,0.084,nan,nan
0.27,0.00,-1.22,-0.05,0.07,0.00,0.00,47.80,48.22,0.084,nan,nan
0.31,0.00,-1.22,-0.05,0.07,0.00,0.00,47.80,48.22,0.084,nan,nan
0.35,0.00,-1.22,-0.05,0.07,0.00,0.00,47.80,48.22,0.084,nan,nan
0.39,0.00,-1.22,-0.05,0.07,0.00,0.00,47.80,48.22,0.084,nan,nan
0.43,0.00,-1.22,-0.05,0.07,0.00,0.00,47.70,48.22,0.084,nan,nan
0.47,0.00,-1.22,-0.05,0.07,0.00,0.00,47.70,48.22,0.084,nan,nan
0.51,0.00,-1.22,-0.05,0.07,0.00,0.03,47.70,48.22,0.084,nan,nan
0.55,0.00,-1.22,-0.01,0.00,0.00,0.13,47.80,48.24,1.023,nan,nan
0.59,-0.50,-0.67,-0.02,0.33,0.00,0.19,47.80,48.24,0.383,nan,nan
0.64,-1.33,-0.50,0.06,0.39,0.00,0.28,47.80,48.24,0.445,nan,nan
0.67,-1.83,-0.62,0.08,0.19,0.00,0.34,47.70,48.24,0.217,nan,nan
0.71,-2.17,-1.34,0.63,0.44,-0.06,0.41,47.70,48.22,0.509,nan,nan
0.75,-2.50,-1.58,3.97,0.31,-0.28,0.50,47.70,48.21,0.352,nan,nan
0.79,-3.50,-0.65,6.46,0.59,-0.39,0.56,47.80,48.22,0.683,nan,nan
0.83,-3.50,-0.98,4.89,0.51,-0.21,0.62,47.80,48.24,0.585,nan,nan
0.87,-4.00,-0.46,6.28,0.52,-0.05,0.72,47.80,48.22,0.595,nan,nan
0.91,-5.17,-0.24,8.91,0.73,0.00,0.78,47.80,48.22,0.840,nan,nan
0.96,-5.50,0.10,6.43,0.72,0.09,0.88,47.80,48.22,0.830,nan,nan
0.99,-5.50,-1.20,2.05,0.85,0.30,0.94,47.80,48.22,0.973,nan,nan
1.03,-6.50,-0.05,7.24,0.89,0.33,1.00,47.80,48.24,1.022,nan,nan
1.07,-7.33,0.00,13.17,0.99,0.19,1.09,47.80,48.24,1.142,nan,nan
1.11,-7.33,0.26,1.68,1.14,0.35,1.16,47.80,48.24,1.311,nan,nan
1.16,-8.00,-1.13,8.12,1.03,0.54,1.25,47.70,48.21,1.182,nan,nan
1.19,-9.50,1.34,9.63,1.76,0.45,1.31,47.70,48.22,2.027,nan,nan
1.23,-8.67,-0.50,5.88,1.27,0.60,1.38,47.70,48.24,1.456,nan,nan
1.27,-10.00,0.72,11.61,0.99,0.74,1.47,47.70,48.26,1.140,nan,nan
1.31,-10.33,0.65,8.27,1.40,0.75,1.53,47.70,48.24,1.607,nan,nan
1.35,-11.17,0.72,11.07,1.56,0.84,1.59,47.70,48.22,1.789,nan,nan
1.39,-11.33,1.44,9.61,1.30,0.91,1.69,47.70,48.24,1.490,nan,nan
1.43,-11.67,0.26,12.20,1.20,0.96,1.75,47.70,48.24,1.384,nan,nan
1.47,-12.33,1.13,12.99,1.59,1.02,1.84,47.70,48.24,1.827,nan,nan
1.51,-13.17,1.25,13.99,1.96,1.11,1.91,47.80,48.22,2.252,nan,nan
1.55,-13.33,1.20,11.97,1.79,1.18,1.97,47.80,48.24,2.061,nan,nan
1.59,-14.00,1.22,14.74,1.78,1.23,2.06,47.80,48.24,2.040,nan,nan
1.63,-14.17,1.30,13.90,2.48,1.29,2.12,47.70,48.24,2.844,nan,nan
1.67,-15.00,0.77,16.42,2.03,1.35,2.19,47.70,48.24,2.333,nan,nan
1.71,-15.17,1.25,14.73,1.76,1.43,2.28,47.70,48.21,2.021,nan,nan
1.75,-15.50,0.62,16.74,2.40,1.52,2.34,47.70,48.22,2.794,nan,nan
1.80,-16.50,1.34,17.36,2.46,1.61,2.44,47.70,48.24,2.823,nan,nan
1.83,-16.50,0.53,16.67,2.46,1.72,2.50,47.70,48.24,2.825,nan,nan
1.87,-17.33,1.06,17.98,3.27,1.81,2.56,47.70,48.21,3.755,nan,nan
1.91,-17.83,1.37,16.45,2.21,1.87,2.66,47.70,48.22,2.537,nan,nan
1.95,-18.67,1.80,19.46,3.14,1.92,2.72,47.80,48.19,3.606,nan,nan
1.99,-18.83,1.34,18.00,2.98,1.98,2.78,47.80,48.21,3.421,nan,nan
2.03,-18.67,1.10,19.68,2.97,2.06,2.88,47.80,48.24,3.413,nan,nan
2.07,-20.33,2.35,18.74,2.46,2.14,2.94,47.80,48.24,2.828,nan,nan
2.12,-20.33,1.75,21.45,2.26,2.22,3.03,47.70,48.26,2.594,nan,nan
2.15,-20.67,1.42,21.11,3.42,2.27,3.09,47.70,48.22,3.985,nan,nan
2.19,-22.00,2.28,22.68,2.81,2.33,3.16,47.70,48.22,3.223,nan,nan
2.23,-22.17,1.99,20.52,2.43,2.41,3.25,47.80,48.24,2.794,nan,nan
2.27,-22.83,2.69,22.70,2.68,2.49,3.31,47.80,48.26,3.080,nan,nan
2.31,-22.83,2.26,22.94,3.55,2.58,3.41,47.80,48.24,4.077,nan,nan
2.35,-22.83,2.26,23.76,2.84,2.63,3.47,47.70,48.24,3.266,nan,nan
2.39,-23.83,1.97,24.44,3.26,2.69,3.53,47.70,48.21,3.744,nan,nan
2.44,-24.33,1.75,23.70,4.20,2.75,3.63,47.70,48.21,4.822,nan,nan
2.47,-25.50,2.30,24.38,3.64,2.78,3.69,47.70,48.24,4.184,nan,nan
2.51,-25.33,1.39,26.65,4.54,2.81,3.75,47.70,48.21,5.218,nan,nan
2.55,-25.83,2.06,25.92,3.38,2.86,3.84,47.70,48.19,3.881,nan,nan
2.59,-27.17,3.10,26.91,3.08,2.92,3.91,47.70,48.21,3.542,nan,nan
2.63,-27.17,2.47,28.08,3.27,3.01,3.97,47.70,48.22,3.758,nan,nan
2.67,-27.50,2.57,26.18,3.62,3.11,4.06,47.70,48.19,4.157,nan,nan
2.71,-28.17,2.54,27.51,4.91,3.13,4.12,47.80,48.22,5.638,nan,nan
2.76,-28.67,2.88,29.49,4.82,3.17,4.22,47.80,48.24,5.542,nan,nan
2.79,-29.17,2.38,29.58,4.32,3.23,4.28,47.80,48.21,4.965,nan,nan
2.83,-29.83,2.98,29.50,4.35,3.31,4.34,47.60,48.19,4.992,nan,nan
2.87,-30.33,2.23,30.35,4.84,3.36,4.44,47.60,48.21,5.557,nan,nan
2.91,-31.33,3.17,30.69,4.36,3.40,4.50,47.70,48.21,5.009,nan,nan
2.95,-31.50,3.74,31.58,4.16,3.49,4.56,47.70,48.24,4.775,nan,nan
2.99,-31.50,2.26,32.60,3.79,3.56,4.66,47.70,48.22,4.352,nan,nan
3.03,-32.50,3.17,32.28,4.66,3.60,4.72,47.70,48.21,5.354,nan,nan
3.07,-32.83,2.90,32.91,4.74,3.65,4.78,47.70,48.19,5.449,nan,nan
3.11,-33.67,3.60,33.07,4.96,3.73,4.88,47.70,48.22,5.702,nan,nan
3.15,-34.33,4.25,33.68,5.20,3.81,4.94,47.80,48.19,5.977,nan,nan
3.20,-34.33,3.05,35.20,4.56,3.90,5.03,47.80,48.21,5.236,nan,nan
3.23,-35.00,3.53,34.68,4.92,4.01,5.09,47.80,48.19,5.646,nan,nan
3.27,-35.67,4.18,36.31,4.94,4.09,5.16,47.80,48.19,5.672,nan,nan
3.31,-36.00,3.79,36.24,5.73,4.14,5.25,47.70,48.21,6.578,nan,nan
3.35,-36.83,4.08,37.52,5.45,4.23,5.31,47.70,48.22,6.261,nan,nan
3.39,-36.67,3.36,37.36,4.99,4.33,5.38,47.70,48.22,5.735,nan,nan
3.43,-37.33,3.31,37.18,5.17,4.39,5.47,47.80,48.17,5.934,nan,nan
3.47,-38.33,3.82,39.08,5.77,4.47,5.53,47.80,48.24,6.628,nan,nan
3.51,-38.17,3.02,38.03,4.88,4.53,5.62,47.80,48.21,5.605,nan,nan
3.55,-38.17,3.02,39.66,5.02,4.57,5.69,47.60,48.21,5.764,nan,nan
3.59,-39.83,4.68,40.70,5.89,4.64,5.75,47.60,48.17,6.763,nan,nan
3.64,-39.83,4.51,40.16,5.14,4.76,5.84,47.60,48.19,5.905,nan,nan
3.67,-40.67,3.29,41.62,5.91,4.87,5.91,47.70,48.19,6.794,nan,nan
3.71,-41.00,4.63,41.47,6.61,4.92,5.97,47.70,48.22,7.593,nan,nan
3.75,-41.67,5.06,42.12,5.82,4.98,6.06,47.70,48.19,6.681,nan,nan
3.79,-42.33,5.14,42.17,6.51,5.05,6.13,47.70,48.22,7.482,nan,nan
3.83,-43.17,5.74,42.35,6.01,5.13,6.22,47.70,48.17,6.898,nan,nan
3.87,-43.17,5.74,43.75,6.26,5.21,6.28,47.70,48.17,7.192,nan,nan
3.91,-43.17,4.68,42.78,6.13,5.28,6.34,47.70,48.21,7.040,nan,nan
3.95,-44.00,4.46,44.24,6.39,5.32,6.44,47.70,48.19,7.341,nan,nan
3.99,-44.50,3.65,45.61,7.43,5.37,6.50,47.60,48.19,8.533,nan,nan
4.03,-45.00,4.25,46.02,7.39,5.46,6.56,47.60,48.19,8.485,nan,nan
4.07,-45.17,3.31,45.63,7.22,5.59,6.66,47.60,48.19,8.299,nan,nan
4.11,-46.67,4.75,45.98,7.05,5.64,6.72,47.70,48.21,8.097,nan,nan
4.15,-46.83,6.22,46.72,6.25,5.70,6.81,47.70,48.17,7.178,nan,nan
4.19,-47.17,5.57,47.56,6.51,5.78,6.88,47.70,48.19,7.480,nan,nan
4.23,-48.00,6.36,47.52,7.46,5.87,6.94,47.70,48.19,8.568,nan,nan
4.28,-48.67,5.90,47.91,5.54,5.94,7.03,47.70,48.21,6.363,nan,nan
4.31,-49.33,5.50,49.65,7.57,5.98,7.09,47.70,48.15,8.701,nan,nan
4.35,-49.33,6.31,49.35,6.61,6.03,7.16,47.70,48.15,7.598,nan,nan
4.39,-49.83,6.94,50.82,6.92,6.13,7.25,47.70,48.17,7.946,nan,nan
4.43,-50.33,5.40,50.33,6.96,6.23,7.31,47.70,48.21,7.999,nan,nan
4.47,-51.00,5.33,51.78,7.02,6.31,7.38,47.70,48.17,8.065,nan,nan
4.51,-51.33,6.10,52.10,8.12,6.37,7.47,47.80,48.17,9.332,nan,nan
4.55,-52.00,6.10,52.88,7.92,6.47,7.53,47.80,48.21,9.094,nan,nan
4.59,-52.67,6.02,53.27,8.17,6.55,7.59,47.80,48.21,9.384,nan,nan
4.63,-52.83,6.17,52.47,7.19,6.63,7.69,47.60,48.17,8.264,nan,nan
4.67,-54.00,6.58,54.94,8.68,6.68,7.75,47.60,48.22,9.965,nan,nan
4.72,-53.83,6.41,54.01,7.45,6.79,7.84,47.60,48.19,8.557,nan,nan
4.75,-54.83,6.31,55.05,7.21,6.90,7.91,47.60,48.19,8.278,nan,nan
4.79,-55.00,6.34,55.30,8.79,6.97,7.97,47.60,48.21,10.097,nan,nan
4.83,-55.83,6.91,56.37,6.92,7.01,8.06,47.60,48.19,7.947,nan,nan
4.87,-56.00,6.17,56.54,8.53,7.11,8.12,47.70,48.10,9.799,nan,nan
4.91,-57.00,6.98,56.51,6.82,7.19,8.19,47.70,48.17,7.838,nan,nan
4.95,-57.00,6.12,57.35,8.27,7.24,8.28,47.70,48.19,9.500,nan,nan
4.99,-58.00,7.90,58.37,8.68,7.29,8.34,47.70,48.15,9.970,nan,nan
5.03,-58.50,7.30,57.72,7.39,7.41,8.44,47.70,48.21,8.492,nan,nan
5.07,-58.33,6.82,58.41,8.33,7.52,8.50,47.70,48.15,9.569,nan,nan
5.11,-59.33,7.30,59.51,9.55,7.57,8.56,47.70,48.15,10.972,nan,nan
5.15,-59.83,6.82,59.04,8.63,7.62,8.66,47.70,48.22,9.913,nan,nan
5.19,-60.33,7.18,60.04,8.48,7.72,8.72,47.70,48.19,9.741,nan,nan
5.23,-61.00,7.92,60.94,8.53,7.77,8.78,47.70,48.19,9.798,nan,nan
5.27,-61.33,7.22,61.91,9.04,7.79,8.88,47.70,48.12,10.387,nan,nan
5.31,-61.67,7.25,61.73,9.80,7.89,8.94,47.70,48.12,11.263,nan,nan
5.35,-62.33,7.87,62.18,9.28,8.01,9.00,47.70,48.13,10.662,nan,nan
5.39,-63.33,8.50,63.53,9.42,8.07,9.09,47.70,48.10,10.817,nan,nan
5.43,-63.00,6.79,64.15,8.00,8.16,9.16,47.70,48.21,9.191,nan,nan
5.48,-64.17,8.28,63.33,7.97,8.24,9.25,47.70,48.21,9.155,nan,nan
5.51,-64.67,8.42,65.11,8.71,8.28,9.31,47.70,48.17,10.008,nan,nan
5.55,-64.67,7.75,64.54,10.13,8.33,9.38,47.70,48.15,11.641,nan,nan
5.59,-65.17,7.85,65.47,8.06,8.45,9.47,47.70,48.19,9.257,nan,nan
5.63,-65.83,7.39,65.85,9.06,8.54,9.53,47.70,48.19,10.411,nan,nan
5.67,-66.67,8.71,67.59,10.80,8.61,9.59,47.70,48.12,12.408,nan,nan
5.71,-66.83,7.97,66.83,9.16,8.72,9.69,47.70,48.15,10.520,nan,nan
5.75,-67.50,8.38,66.53,10.14,8.82,9.75,47.70,48.15,11.653,nan,nan
5.79,-67.83,8.95,69.39,9.34,8.86,9.84,47.70,48.12,10.735,nan,nan
5.83,-67.83,8.95,67.38,8.69,8.96,9.91,47.80,48.15,9.983,nan,nan
5.87,-68.83,8.45,69.49,9.30,9.06,9.97,47.80,48.12,10.687,nan,nan
5.91,-69.83,9.17,69.02,9.90,9.11,10.06,47.80,48.13,11.375,nan,nan
5.95,-70.33,8.83,70.49,9.60,9.18,10.12,47.80,48.15,11.026,nan,nan
5.99,-70.67,8.83,70.51,10.03,9.27,10.22,47.80,48.13,11.521,nan,nan
6.03,-70.67,8.86,72.11,9.95,9.32,10.28,47.80,48.12,11.427,nan,nan
6.07,-71.83,9.19,71.40,10.13,9.39,10.34,47.70,48.15,11.636,nan,nan
6.11,-72.17,9.65,72.07,8.08,9.50,10.44,47.70,48.19,9.277,nan,nan
6.15,-72.83,10.06,73.34,10.29,9.56,10.50,47.70,48.10,11.820,nan,nan
6.19,-73.50,9.70,73.07,9.57,9.63,10.59,47.90,48.13,10.995,nan,nan
6.23,-73.83,9.46,73.51,11.00,9.71,10.66,47.90,48.08,12.639,nan,nan
6.27,-74.67,10.20,75.55,11.13,9.74,10.72,47.90,48.13,12.786,nan,nan
6.31,-74.50,9.62,74.09,10.23,9.85,10.81,47.70,48.15,11.750,nan,nan
6.35,-75.50,10.56,74.62,10.56,9.93,10.87,47.70,48.15,12.126,nan,nan
6.39,-75.83,9.50,76.64,10.76,10.00,10.94,47.70,48.12,12.359,nan,nan
6.43,-76.17,9.72,76.25,10.35,10.10,11.03,47.80,48.13,12.209,nan,nan
6.47,-77.33,10.46,76.49,13.24,10.17,11.09,47.80,48.12,15.204,nan,nan
6.52,-77.67,9.98,78.79,8.60,10.22,11.19,47.80,48.17,9.881,nan,nan
6.55,-78.00,10.58,79.66,12.79,10.35,11.25,47.90,48.08,14.697,nan,nan
6.59,-78.83,10.44,77.69,10.48,10.43,11.31,47.90,48.13,12.041,nan,nan
6.63,-78.83,10.42,78.83,9.83,10.51,11.41,47.90,48.12,11.287,nan,nan
6.67,-79.50,10.44,79.28,10.44,10.60,11.47,47.90,48.15,11.997,nan,nan
6.71,-80.33,10.18,80.70,9.00,10.64,11.53,47.90,48.19,10.338,nan,nan
6.75,-80.83,11.50,79.57,11.89,10.73,11.62,47.90,48.10,13.661,nan,nan
6.79,-80.67,9.67,81.04,13.26,10.84,11.69,47.90,48.06,15.229,nan,nan
6.83,-81.83,10.34,82.08,10.58,10.91,11.78,47.90,48.13,12.152,nan,nan
6.87,-82.33,10.49,81.31,11.55,10.97,11.84,47.80,48.10,13.263,nan,nan
6.91,-82.83,10.75,83.38,13.48,11.01,11.91,47.80,48.12,15.485,nan,nan
6.95,-83.00,10.94,81.72,13.47,11.09,12.00,47.80,48.08,15.476,nan,nan
6.99,-83.83,11.16,84.32,14.13,11.17,12.06,47.80,48.08,16.233,nan,nan
7.03,-84.17,11.45,84.72,9.73,11.26,12.12,47.80,48.17,11.174,nan,nan
7.07,-84.33,10.61,84.00,14.74,11.36,12.22,47.80,48.04,16.931,nan,nan
7.11,-85.33,11.78,85.25,11.52,11.38,12.28,47.80,48.12,13.231,nan,nan
7.15,-85.83,12.48,83.48,9.23,11.46,12.38,47.70,48.19,10.606,nan,nan
7.19,-86.83,11.88,86.26,10.95,11.57,12.44,47.70,48.10,12.583,nan,nan
7.23,-87.00,11.66,88.66,14.32,11.65,12.50,47.70,48.08,16.451,nan,nan
7.27,-87.50,11.90,84.73,11.49,11.75,12.59,47.70,48.13,13.204,nan,nan
7.31,-88.00,11.04,88.14,11.78,11.82,12.66,47.70,48.17,13.529,nan,nan
7.35,-88.33,11.88,86.65,14.40,11.90,12.75,47.70,48.03,16.545,nan,nan
7.39,-88.67,11.86,88.51,14.11,12.01,12.81,47.70,48.08,16.204,nan,nan
7.43,-89.67,12.14,89.54,11.99,12.07,12.88,47.70,48.06,13.775,nan,nan
7.47,-89.83,12.36,89.96,12.82,12.14,12.97,47.70,48.17,14.732,nan,nan
7.51,-90.67,12.26,91.34,11.36,12.19,13.03,47.60,48.17,13.053,nan,nan
7.55,-90.83,12.26,90.22,9.46,12.29,13.09,47.60,48.13,10.869,nan,nan
7.59,-91.50,13.08,91.26,9.58,12.37,13.19,47.60,48.15,11.010,nan,nan
7.63,-92.17,12.00,90.74,12.23,12.45,13.25,47.60,48.04,14.048,nan,nan
7.67,-92.83,13.49,92.79,14.24,12.49,13.31,47.60,48.06,16.353,nan,nan
7.71,-93.50,13.06,93.64,10.77,12.54,13.41,47.60,48.15,12.369,nan,nan
7.75,-94.00,12.91,95.92,14.09,12.64,13.47,47.70,48.12,16.181,nan,nan
7.79,-93.83,13.49,94.18,12.76,12.71,13.56,47.70,48.04,14.662,nan,nan
7.83,-94.17,13.42,95.60,12.95,12.81,13.63,47.70,48.10,14.874,nan,nan
7.87,-95.67,13.56,94.68,14.08,12.86,13.69,47.70,48.06,16.169,nan,nan
7.92,-95.83,12.74,94.40,14.62,12.94,13.78,47.70,48.03,16.795,nan,nan
7.95,-96.33,13.75,95.89,16.75,13.05,13.84,47.70,48.01,19.245,nan,nan
7.99,-97.00,14.16,95.32,14.78,13.14,13.91,47.70,48.06,16.975,nan,nan
8.03,-97.33,12.53,97.49,16.46,13.22,14.00,47.70,48.01,18.912,nan,nan
8.07,-97.67,12.79,96.23,16.44,13.28,14.06,47.60,47.97,18.886,nan,nan
8.12,-98.00,13.87,100.74,12.48,13.38,14.16,47.60,48.08,14.331,nan,nan
8.15,-98.83,14.21,98.95,13.74,13.46,14.22,47.60,48.03,15.779,nan,nan
8.19,-99.00,14.09,99.64,17.77,13.52,14.28,47.40,48.03,20.408,nan,nan
8.24,-100.17,14.88,99.97,12.81,13.56,14.38,47.40,48.08,14.715,nan,nan
8.27,-100.67,13.03,102.69,14.30,13.66,14.44,47.40,48.01,16.428,nan,nan
8.31,-100.67,15.26,100.41,18.49,13.73,14.50,47.70,47.99,21.241,nan,nan
8.35,-100.83,12.84,99.89,16.19,13.82,14.59,47.70,48.01,18.597,nan,nan
8.39,-102.17,13.87,101.94,9.96,13.84,14.66,47.70,48.12,11.446,nan,nan
8.43,-102.33,14.14,101.98,13.35,13.92,14.72,47.70,48.03,15.336,nan,nan
8.47,-103.17,14.02,101.93,14.40,14.02,14.81,47.90,47.99,16.547,nan,nan
8.51,-103.83,14.62,101.99,13.72,14.12,14.88,47.90,48.03,15.758,nan,nan
8.55,-104.17,15.26,104.51,17.82,14.19,14.94,47.90,47.95,20.475,nan,nan
