time_s,load_velocity,load_torque,test_velocity,test_torque,loadcell_torque_nm,cmd_torque_nm,load_voltage,test_voltage,test_q_A,kp,kd
0.03,0.00,-0.14,-0.08,0.12,0.00,0.00,48.10,48.71,0.133,nan,nan
0.07,0.00,-0.14,-0.08,0.12,0.00,0.00,48.10,48.71,0.133,nan,nan
0.11,0.00,-0.14,-0.08,0.12,0.00,0.00,48.10,48.71,0.133,nan,nan
0.15,0.00,-0.14,-0.08,0.12,0.00,0.00,48.10,48.71,0.133,nan,nan
0.19,0.00,-0.14,-0.08,0.12,0.00,0.00,48.10,48.71,0.133,nan,nan
0.23,0.00,-0.14,-0.08,0.12,0.00,0.00,48.10,48.71,0.133,nan,nan
0.27,0.00,-0.14,-0.08,0.12,0.00,0.00,48.10,48.71,0.133,nan,nan
0.31,0.00,-0.14,-0.08,0.12,0.00,0.00,48.30,48.71,0.133,nan,nan
0.35,0.00,-0.14,-0.08,0.12,0.00,0.00,48.30,48.71,0.133,nan,nan
0.39,0.00,-0.14,-0.08,0.12,0.00,0.00,48.30,48.71,0.133,nan,nan
0.43,0.00,-0.14,-0.08,0.12,0.00,0.00,48.10,48.71,0.133,nan,nan
0.47,0.00,-0.14,-0.08,0.12,0.00,0.00,48.10,48.71,0.133,nan,nan
0.51,0.00,-0.14,-0.08,0.12,0.00,0.02,48.10,48.71,0.133,nan,nan
0.55,0.00,0.41,-0.04,0.00,0.00,0.09,48.20,48.71,0.346,nan,nan
0.59,-0.50,-0.36,-0.04,0.00,0.00,0.13,48.20,48.71,0.000,nan,nan
0.63,-0.67,-0.07,0.09,0.22,0.00,0.20,48.10,48.71,0.253,nan,nan
0.67,-1.17,-1.03,0.03,0.23,-0.02,0.26,48.10,48.71,0.260,nan,nan
0.71,-2.00,-1.08,0.28,0.14,-0.05,0.31,48.10,48.71,0.162,nan,nan
0.75,-2.17,-1.10,3.32,0.19,-0.13,0.35,48.10,48.69,0.212,nan,nan
0.79,-2.50,-1.15,0.72,0.51,-0.28,0.42,48.20,48.69,0.586,nan,nan
0.83,-3.83,-0.43,8.60,0.55,-0.39,0.46,48.20,48.69,0.615,nan,nan
0.87,-3.67,0.07,7.69,0.77,-0.32,0.53,48.20,48.73,0.879,nan,nan
0.91,-4.00,-0.96,8.15,0.69,-0.13,0.57,48.10,48.71,0.791,nan,nan
0.95,-4.17,-0.38,5.23,0.42,0.01,0.61,48.10,48.69,0.476,nan,nan
0.99,-4.50,-1.08,4.05,0.69,0.11,0.68,48.10,48.71,0.786,nan,nan
1.03,-4.67,-1.03,-0.11,0.52,0.15,0.72,48.20,48.71,0.598,nan,nan
