time_s,load_velocity,load_torque,test_velocity,test_torque,loadcell_torque_nm,cmd_torque_nm,load_voltage,test_voltage,test_q_A,kp,kd
0.03,0.00,-0.46,-0.19,-0.02,-0.68,0.00,48.20,48.73,-0.027,nan,nan
0.06,0.00,-0.46,-0.19,-0.02,-0.67,0.00,48.20,48.73,-0.027,nan,nan
0.10,0.00,-0.46,-0.19,-0.02,-0.62,0.00,48.20,48.73,-0.027,nan,nan
0.14,0.00,-0.46,-0.19,-0.02,-0.53,0.00,48.20,48.73,-0.027,nan,nan
0.19,0.00,-0.46,-0.19,-0.02,-0.48,0.00,48.20,48.73,-0.027,nan,nan
0.22,0.00,-0.46,-0.19,-0.02,-0.47,0.00,48.20,48.73,-0.027,nan,nan
0.26,0.00,-0.46,-0.19,-0.02,-0.47,0.00,48.20,48.73,-0.027,nan,nan
0.30,0.00,-0.46,-0.19,-0.02,-0.47,0.00,48.00,48.73,-0.027,nan,nan
0.35,0.00,-0.46,-0.19,-0.02,-0.47,0.00,48.00,48.73,-0.027,nan,nan
0.38,0.00,-0.46,-0.19,-0.02,-0.47,0.00,48.00,48.73,-0.027,nan,nan
0.43,0.00,-0.46,-0.19,-0.02,-0.47,0.00,48.20,48.73,-0.027,nan,nan
0.46,0.00,-0.46,-0.19,-0.02,-0.47,0.00,48.20,48.73,-0.027,nan,nan
0.50,0.00,-0.46,-0.19,-0.02,-0.47,0.01,48.20,48.73,-0.027,nan,nan
0.55,0.00,-0.74,-0.01,0.00,-0.47,0.02,48.10,48.71,-1.202,nan,nan
0.58,-0.50,-1.15,0.07,-0.11,-0.48,0.04,48.10,48.73,-0.129,nan,nan
0.62,-0.83,-2.23,3.06,-0.29,-0.52,0.05,48.10,48.69,-0.337,nan,nan
0.67,-1.83,-1.13,3.79,0.29,-0.48,0.07,48.10,48.69,0.335,nan,nan
0.70,-2.00,-1.01,0.58,0.06,-0.27,0.08,48.10,48.69,0.072,nan,nan
0.75,-2.67,-0.96,0.67,0.03,-0.23,0.10,48.10,48.69,0.040,nan,nan
0.78,-3.33,-2.64,6.28,-0.08,-0.54,0.11,48.20,48.69,-0.091,nan,nan
0.83,-4.00,-0.24,4.81,0.04,-0.68,0.13,48.20,48.71,0.051,nan,nan
0.86,-4.67,-0.67,3.91,0.10,-0.39,0.14,48.10,48.71,0.120,nan,nan
0.90,-4.00,-1.99,1.02,0.07,-0.18,0.16,48.10,48.73,0.083,nan,nan
0.94,-5.67,-1.68,11.65,0.45,-0.44,0.17,48.10,48.69,0.516,nan,nan
0.99,-5.67,-0.96,10.82,0.23,-0.64,0.19,48.10,48.71,0.263,nan,nan
1.02,-6.33,-0.74,3.96,-0.08,-0.34,0.20,48.10,48.73,-0.097,nan,nan
1.06,-6.33,-1.18,6.29,0.44,-0.07,0.21,48.10,48.69,0.498,nan,nan
1.10,-7.33,-1.06,-0.63,0.12,-0.04,0.23,48.10,48.71,0.137,nan,nan
1.14,-8.17,-1.30,15.46,-0.11,-0.31,0.24,48.30,48.71,-0.130,nan,nan
1.19,-8.50,-0.24,13.43,0.41,-0.51,0.26,48.30,48.71,0.464,nan,nan
1.22,-9.33,-0.31,6.59,0.23,-0.26,0.28,48.20,48.69,0.262,nan,nan
1.27,-9.67,-0.50,2.95,0.54,-0.02,0.29,48.20,48.69,0.615,nan,nan
1.31,-9.17,-2.42,6.96,-0.01,-0.10,0.31,48.20,48.71,-0.017,nan,nan
1.34,-10.50,-0.86,15.05,0.38,-0.41,0.32,48.10,48.71,0.438,nan,nan
1.38,-11.00,-0.89,11.46,0.50,-0.36,0.33,48.10,48.71,0.577,nan,nan
1.42,-11.83,-0.34,9.47,0.70,-0.09,0.35,48.10,48.67,0.796,nan,nan
1.46,-11.83,-0.98,8.66,0.46,0.00,0.36,48.10,48.71,0.528,nan,nan
1.51,-12.83,-0.89,13.56,0.04,-0.06,0.38,48.20,48.69,0.048,nan,nan
1.54,-13.50,-0.07,14.56,0.64,-0.16,0.39,48.20,48.67,0.729,nan,nan
1.59,-13.50,-0.65,14.34,0.41,-0.12,0.41,48.20,48.71,0.465,nan,nan
1.62,-14.17,-0.70,12.65,-0.06,-0.03,0.42,48.20,48.69,-0.063,nan,nan
1.67,-14.67,-0.74,12.39,0.63,-0.01,0.44,48.20,48.69,0.726,nan,nan
1.71,-15.50,-1.13,15.55,-0.11,-0.05,0.46,48.20,48.69,-0.130,nan,nan
1.74,-15.50,-1.13,17.19,-0.20,-0.12,0.47,48.10,48.71,-0.225,nan,nan
1.79,-16.00,-1.22,17.41,-0.08,-0.08,0.48,48.10,48.71,-0.097,nan,nan
