time_s,load_velocity,load_torque,test_velocity,test_torque,loadcell_torque_nm,cmd_torque_nm,load_voltage,test_voltage,test_q_A,kp,kd
0.02,0.00,-0.58,-0.02,0.02,0.00,0.00,48.10,48.69,0.024,nan,nan
0.06,0.00,-0.58,-0.02,0.02,0.00,0.00,48.20,48.69,0.024,nan,nan
0.10,0.00,-0.58,-0.02,0.02,0.00,0.00,48.20,48.69,0.024,nan,nan
0.14,0.00,-0.58,-0.02,0.02,0.00,0.00,48.20,48.69,0.024,nan,nan
0.18,0.00,-0.58,-0.02,0.02,0.00,0.00,48.30,48.69,0.024,nan,nan
0.22,0.00,-0.58,-0.02,0.02,0.01,0.00,48.30,48.69,0.024,nan,nan
0.26,0.00,-0.58,-0.02,0.02,0.01,0.00,48.30,48.69,0.024,nan,nan
0.30,0.00,-0.58,-0.02,0.02,0.01,0.00,48.10,48.69,0.024,nan,nan
0.34,0.00,-0.58,-0.02,0.02,0.01,0.00,48.10,48.69,0.024,nan,nan
0.38,0.00,-0.58,-0.02,0.02,0.01,0.00,48.10,48.69,0.024,nan,nan
0.42,0.00,-0.58,-0.02,0.02,0.01,0.00,48.20,48.69,0.024,nan,nan
0.46,0.00,-0.58,-0.02,0.02,0.01,0.00,48.20,48.69,0.024,nan,nan
0.50,0.00,-0.58,-0.02,0.02,0.01,0.02,48.20,48.69,0.024,nan,nan
0.54,0.00,-0.14,0.11,0.00,0.01,0.07,48.20,48.69,-0.302,nan,nan
0.59,-0.33,-0.46,0.04,0.20,0.01,0.13,48.20,48.71,0.224,nan,nan
0.62,-1.17,-0.12,0.07,-0.05,-0.02,0.18,48.20,48.71,0.124,nan,nan
0.66,-1.17,-0.96,0.18,0.10,-0.13,0.22,48.20,48.71,0.109,nan,nan
0.70,-1.33,-2.16,1.34,0.27,-0.31,0.28,48.20,48.71,0.314,nan,nan
0.74,-3.00,-0.96,3.40,0.10,-0.48,0.33,48.10,48.69,0.060,nan,nan
0.78,-3.67,-0.60,8.04,0.39,-0.52,0.39,48.10,48.71,0.449,nan,nan
0.82,-4.00,-0.96,5.55,0.69,-0.33,0.44,48.10,48.71,0.794,nan,nan
0.86,-4.17,-0.50,2.12,0.43,-0.10,0.50,48.10,48.69,0.487,nan,nan
