time_s,load_velocity,load_torque,test_velocity,test_torque,loadcell_torque_nm,cmd_torque_nm,load_voltage,test_voltage,test_q_A,kp,kd
0.04,0.00,-0.29,-0.18,0.05,0.00,0.00,47.70,48.21,0.062,nan,nan
0.07,0.00,-0.29,-0.18,0.05,0.00,0.00,47.60,48.21,0.062,nan,nan
0.11,0.00,-0.29,-0.18,0.05,0.00,0.00,47.60,48.21,0.062,nan,nan
0.15,0.00,-0.29,-0.18,0.05,0.00,0.00,47.60,48.21,0.062,nan,nan
0.20,0.00,-0.29,-0.18,0.05,0.00,0.00,47.60,48.21,0.062,nan,nan
0.23,0.00,-0.29,-0.18,0.05,0.00,0.00,47.60,48.21,0.062,nan,nan
0.27,0.00,-0.29,-0.18,0.05,0.00,0.00,47.60,48.21,0.062,nan,nan
0.31,0.00,-0.29,-0.18,0.05,0.00,0.00,47.60,48.21,0.062,nan,nan
0.35,0.00,-0.29,-0.18,0.05,0.00,0.00,47.60,48.21,0.062,nan,nan
0.39,0.00,-0.29,-0.18,0.05,0.00,0.00,47.60,48.21,0.062,nan,nan
0.44,0.00,-0.29,-0.18,0.05,0.00,0.00,47.70,48.21,0.062,nan,nan
0.47,0.00,-0.29,-0.18,0.05,0.00,0.00,47.70,48.21,0.062,nan,nan
0.52,0.00,-0.29,-0.18,0.05,0.00,0.06,47.70,48.21,0.062,nan,nan
0.55,0.00,-1.20,-0.10,0.07,0.00,0.11,47.70,48.21,0.082,nan,nan
0.59,-0.17,-0.58,0.01,0.08,0.00,0.17,47.70,48.22,0.095,nan,nan
0.64,-0.50,-0.98,-0.02,0.21,0.00,0.25,47.70,48.24,0.236,nan,nan
0.67,-0.83,-2.02,-0.01,0.26,0.00,0.31,47.60,48.24,0.298,nan,nan
0.71,-1.33,-2.18,0.14,0.18,-0.02,0.37,47.60,48.22,0.202,nan,nan
0.75,-1.67,-1.10,1.19,0.41,-0.12,0.45,47.60,48.24,0.472,nan,nan
0.79,-2.00,-1.15,2.90,0.31,-0.33,0.51,47.60,48.22,0.350,nan,nan
0.84,-2.17,-0.31,7.02,0.51,-0.42,0.59,47.60,48.24,0.581,nan,nan
0.87,-2.67,-1.37,7.69,0.73,-0.24,0.65,47.70,48.22,0.837,nan,nan
0.92,-2.83,-0.05,4.89,0.55,-0.05,0.70,47.70,48.21,0.625,nan,nan
0.95,-3.17,-0.29,1.93,0.75,0.10,0.79,47.70,48.24,0.860,nan,nan
0.99,-3.50,-0.17,0.05,0.73,0.21,0.84,47.70,48.21,0.835,nan,nan
1.04,-3.67,-0.31,0.06,0.80,0.14,0.93,47.70,48.22,0.918,nan,nan
1.07,-3.67,-0.94,2.76,0.79,0.02,0.98,47.70,48.22,0.900,nan,nan
1.11,-4.17,-0.65,11.30,0.94,-0.06,1.04,47.70,48.24,1.072,nan,nan
1.15,-5.00,-0.14,15.63,1.46,-0.02,1.12,47.60,48.22,1.671,nan,nan
1.19,-4.50,-0.70,1.32,0.95,0.42,1.18,47.60,48.22,1.089,nan,nan
1.24,-5.33,0.22,9.02,1.26,0.71,1.27,47.60,48.22,1.435,nan,nan
1.27,-5.50,0.46,4.39,1.20,0.68,1.32,47.60,48.21,1.364,nan,nan
1.31,-5.67,-0.31,6.16,1.10,0.70,1.38,47.60,48.22,1.254,nan,nan
1.35,-6.50,0.70,5.88,1.46,0.70,1.46,47.60,48.22,1.670,nan,nan
1.39,-6.00,0.02,5.10,1.56,0.76,1.52,47.60,48.22,1.778,nan,nan
