time_s,encoder_pos_rad,output_torque_Nm,cycle
0.010027,-0.000575243,0.000000,1
0.024267,-0.001054612,0.004000,1
0.037674,0.000383495,0.008000,1
0.051418,-0.000095874,0.012000,1
0.065875,0.000191748,0.016000,1
0.079923,-0.000671117,0.020000,1
0.093592,0.000095874,0.024000,1
0.107082,-0.000191748,0.028000,1
0.120820,-0.000095874,0.032000,1
0.134330,-0.000383495,0.036000,1
0.148036,0.000671117,0.040000,1
0.162013,0.000000000,0.044000,1
0.176438,0.000191748,0.048000,1
0.190182,0.000575243,0.052000,1
0.204633,0.000095874,0.056000,1
0.218016,0.000000000,0.060000,1
0.232336,0.000383495,0.064000,1
0.246655,-0.000191748,0.068000,1
0.260919,-0.000191748,0.072000,1
0.274439,-0.000191748,0.076000,1
0.288300,0.000287621,0.080000,1
0.301824,-0.000191748,0.084000,1
0.315715,-0.000287621,0.088000,1
0.329797,-0.000287621,0.092000,1
0.343185,0.000479369,0.096000,1
0.356781,0.000191748,0.100000,1
0.370750,0.000191748,0.104000,1
0.384263,0.000095874,0.108000,1
0.398308,0.000479369,0.112000,1
0.412260,0.000383495,0.116000,1
0.426567,0.000766990,0.120000,1
0.440182,0.000191748,0.124000,1
0.453849,-0.000095874,0.128000,1
0.467749,-0.000191748,0.132000,1
0.481185,0.000095874,0.136000,1
0.494913,0.000575243,0.140000,1
0.508670,0.000191748,0.144000,1
0.522986,0.000479369,0.148000,1
0.536130,0.000479369,0.152000,1
0.549660,0.000575243,0.156000,1
0.563289,0.000862864,0.160000,1
0.577049,0.000575243,0.164000,1
0.590842,0.000575243,0.168000,1
0.604449,0.000575243,0.172000,1
0.618418,0.000479369,0.176000,1
0.632353,0.000862864,0.180000,1
0.645931,0.000479369,0.184000,1
0.659790,0.001150486,0.188000,1
0.673564,0.001054612,0.192000,1
0.687582,0.000958738,0.196000,1
0.700807,0.000575243,0.200000,1
0.714338,0.000958738,0.204000,1
0.728393,0.000958738,0.208000,1
0.741629,0.001342233,0.212000,1
0.755592,0.001438107,0.216000,1
0.770033,0.002013350,0.220000,1
0.783348,0.002396845,0.224000,1
0.797141,0.002588593,0.228000,1
0.810866,0.003067962,0.232000,1
0.824658,0.003643204,0.236000,1
0.838160,0.003643204,0.240000,1
0.852257,0.003834952,0.244000,1
0.865854,0.004218447,0.248000,1
0.880036,0.004506069,0.252000,1
0.893867,0.005464807,0.256000,1
0.907498,0.006135923,0.260000,1
0.920943,0.006135923,0.264000,1
0.934897,0.006519418,0.268000,1
0.948947,0.006902914,0.272000,1
0.963050,0.006998787,0.276000,1
0.977426,0.007861652,0.280000,1
0.991323,0.007382283,0.284000,1
1.004828,0.007190535,0.288000,1
1.018694,0.007478156,0.292000,1
1.032257,0.007286409,0.296000,1
1.046329,0.007478156,0.300000,1
1.060087,0.007094661,0.304000,1
1.073833,0.007765778,0.308000,1
1.087613,0.008053399,0.312000,1
1.101554,0.007574030,0.316000,1
1.115415,0.007382283,0.320000,1
1.129324,0.007957525,0.324000,1
1.142872,0.007765778,0.328000,1
1.156624,0.007861652,0.332000,1
1.170290,0.008436894,0.336000,1
1.184454,0.007861652,0.340000,1
1.197869,0.008341021,0.344000,1
1.211706,0.008053399,0.348000,1
1.225572,0.008436894,0.352000,1
1.239475,0.008436894,0.356000,1
1.253286,0.008436894,0.360000,1
1.266597,0.008628642,0.364000,1
1.280102,0.008916263,0.368000,1
1.293814,0.008820390,0.372000,1
1.307782,0.008532768,0.376000,1
1.321274,0.008820390,0.380000,1
1.334755,0.009108011,0.384000,1
1.348363,0.008916263,0.388000,1
1.363577,0.009012137,0.392000,1
1.377412,0.009012137,0.396000,1
1.390465,0.009203885,0.400000,1
1.405778,0.009108011,0.404000,1
1.419269,0.009108011,0.408000,1
1.432142,0.009299759,0.412000,1
1.446038,0.009587380,0.416000,1
1.459818,0.009012137,0.420000,1
1.473007,0.009587380,0.424000,1
1.486713,0.010066749,0.428000,1
1.500272,0.009683254,0.432000,1
1.514068,0.009491506,0.436000,1
1.527629,0.009970875,0.440000,1
1.542236,0.009779128,0.444000,1
1.555041,0.010162623,0.448000,1
1.568354,0.009875001,0.452000,1
1.581918,0.009395632,0.456000,1
1.595806,0.009683254,0.460000,1
1.609323,0.009970875,0.464000,1
1.623662,0.009970875,0.468000,1
1.637543,0.009779128,0.472000,1
1.651959,0.010066749,0.476000,1
1.665346,0.009875001,0.480000,1
1.678974,0.010162623,0.484000,1
1.693157,0.009970875,0.488000,1
1.707043,0.010162623,0.492000,1
1.721397,0.010354370,0.496000,1
1.735749,0.010546118,0.500000,1
1.749699,0.010737866,0.504000,1
1.763459,0.010258497,0.508000,1
1.777336,0.010833739,0.512000,1
1.790936,0.010833739,0.516000,1
1.804450,0.011025487,0.520000,1
1.818109,0.010546118,0.524000,1
1.832177,0.011313108,0.528000,1
1.846242,0.010833739,0.532000,1
1.860095,0.011121361,0.536000,1
1.875024,0.011217235,0.540000,1
1.888740,0.011600730,0.544000,1
1.902193,0.011121361,0.548000,1
1.915928,0.011408982,0.552000,1
1.929811,0.011504856,0.556000,1
1.943372,0.011600730,0.560000,1
1.956753,0.011696604,0.564000,1
1.970669,0.011504856,0.568000,1
1.984255,0.011408982,0.572000,1
1.998739,0.011121361,0.576000,1
2.012723,0.011600730,0.580000,1
2.027111,0.011792477,0.584000,1
2.040423,0.011696604,0.588000,1
2.054259,0.011792477,0.592000,1
2.068004,0.011600730,0.596000,1
2.082061,0.011888351,0.600000,1
2.095560,0.012271846,0.604000,1
2.109133,0.012080099,0.608000,1
2.123153,0.012080099,0.612000,1
2.136956,0.011888351,0.616000,1
2.150001,0.012271846,0.620000,1
2.162776,0.012271846,0.624000,1
2.176906,0.012080099,0.628000,1
2.190681,0.012175973,0.632000,1
2.204140,0.012463594,0.636000,1
2.218466,0.012655342,0.640000,1
2.231864,0.012463594,0.644000,1
2.245693,0.012559468,0.648000,1
2.259894,0.012559468,0.652000,1
2.273328,0.012367720,0.656000,1
2.287040,0.012463594,0.660000,1
2.300337,0.012751215,0.664000,1
2.314354,0.012751215,0.668000,1
2.328068,0.012847089,0.672000,1
2.341937,0.012751215,0.676000,1
2.355860,0.012655342,0.680000,1
2.370252,0.013422332,0.684000,1
2.383782,0.012942963,0.688000,1
2.397850,0.012847089,0.692000,1
2.412024,0.012751215,0.696000,1
2.426084,0.013134710,0.700000,1
2.439688,0.013326458,0.704000,1
2.453437,0.013614079,0.708000,1
2.467416,0.013805827,0.712000,1
2.481139,0.013901701,0.716000,1
2.494674,0.013230584,0.720000,1
2.508613,0.013518206,0.724000,1
2.522359,0.013614079,0.728000,1
2.536400,0.014285196,0.732000,1
2.550346,0.013901701,0.736000,1
2.564117,0.013805827,0.740000,1
2.577682,0.013709953,0.744000,1
2.592158,0.014285196,0.748000,1
2.605577,0.014189322,0.752000,1
2.619054,0.014189322,0.756000,1
2.632973,0.013901701,0.760000,1
2.646583,0.014189322,0.764000,1
2.660537,0.014285196,0.768000,1
2.674056,0.014189322,0.772000,1
2.687736,0.014764565,0.776000,1
2.701749,0.014476944,0.780000,1
2.715967,0.014381070,0.784000,1
2.730086,0.014860439,0.788000,1
2.743596,0.014572817,0.792000,1
2.757500,0.014476944,0.796000,1
2.771482,0.014860439,0.800000,1
2.784930,0.014764565,0.804000,1
2.798751,0.014668691,0.808000,1
2.812899,0.014381070,0.812000,1
2.826231,0.014860439,0.816000,1
2.840553,0.014764565,0.820000,1
2.853978,0.014956313,0.824000,1
2.867965,0.014572817,0.828000,1
2.881781,0.014572817,0.832000,1
2.895078,0.014764565,0.836000,1
2.909112,0.014956313,0.840000,1
2.922394,0.015052186,0.844000,1
2.935938,0.014956313,0.848000,1
2.950328,0.015435682,0.852000,1
2.964380,0.015243934,0.856000,1
2.978480,0.015148060,0.860000,1
2.992523,0.015723303,0.864000,1
3.006437,0.015627429,0.868000,1
3.019978,0.015723303,0.872000,1
3.033733,0.015531555,0.876000,1
3.047503,0.015339808,0.880000,1
3.060859,0.015531555,0.884000,1
3.074300,0.015819177,0.888000,1
3.088450,0.015339808,0.892000,1
3.102444,0.015723303,0.896000,1
3.116239,0.015531555,0.900000,1
3.130042,0.016010924,0.904000,1
3.143672,0.015819177,0.908000,1
3.157709,0.016490293,0.912000,1
3.171177,0.016010924,0.916000,1
3.184993,0.016298546,0.920000,1
3.198931,0.016490293,0.924000,1
3.211792,0.016202672,0.928000,1
3.225565,0.016106798,0.932000,1
3.239801,0.016777915,0.936000,1
3.253934,0.016202672,0.940000,1
3.267549,0.016202672,0.944000,1
3.281159,0.016010924,0.948000,1
3.294867,0.016586167,0.952000,1
3.309510,0.016298546,0.956000,1
3.322761,0.016490293,0.960000,1
3.336563,0.016682041,0.964000,1
3.350667,0.016873789,0.968000,1
3.364207,0.016394420,0.972000,1
3.378248,0.016873789,0.976000,1
3.392010,0.016682041,0.980000,1
3.406136,0.016873789,0.984000,1
3.420626,0.016873789,0.988000,1
3.434298,0.017353158,0.992000,1
3.448096,0.016873789,0.996000,1
3.462116,0.017065536,1.000000,1
3.475827,0.017161410,1.004000,1
3.489681,0.017353158,1.008000,1
3.503614,0.017353158,1.012000,1
3.517542,0.017449031,1.016000,1
3.530509,0.017257284,1.020000,1
3.544365,0.017736653,1.024000,1
3.557558,0.017353158,1.028000,1
3.571038,0.017928400,1.032000,1
3.584481,0.017353158,1.036000,1
3.598546,0.017832527,1.040000,1
3.611946,0.018024274,1.044000,1
3.625689,0.017544905,1.048000,1
3.639169,0.017544905,1.052000,1
3.652968,0.017544905,1.056000,1
3.666909,0.017736653,1.060000,1
3.680222,0.018120148,1.064000,1
3.694054,0.017928400,1.068000,1
3.709704,0.017640779,1.072000,1
3.723775,0.017736653,1.076000,1
3.737213,0.018120148,1.080000,1
3.750189,0.018024274,1.084000,1
3.762962,0.018120148,1.088000,1
3.775853,0.018120148,1.092000,1
3.789317,0.018024274,1.096000,1
3.802646,0.018407769,1.100000,1
3.815835,0.018024274,1.104000,1
3.829044,0.017832527,1.108000,1
3.842720,0.017832527,1.112000,1
3.856169,0.018024274,1.116000,1
3.869682,0.018599517,1.120000,1
3.883417,0.018503643,1.124000,1
3.896937,0.018695391,1.128000,1
3.911006,0.018695391,1.132000,1
3.924428,0.018311896,1.136000,1
3.937932,0.018887138,1.140000,1
3.951302,0.018311896,1.144000,1
3.964975,0.019174760,1.148000,1
3.978477,0.018311896,1.152000,1
3.991997,0.018887138,1.156000,1
4.006042,0.018695391,1.160000,1
4.019753,0.018983012,1.164000,1
4.033321,0.018887138,1.168000,1
4.047790,0.019462381,1.172000,1
4.061362,0.019174760,1.176000,1
4.075211,0.019174760,1.180000,1
4.089112,0.019174760,1.184000,1
4.102672,0.019654129,1.188000,1
4.116977,0.019654129,1.192000,1
4.131142,0.019654129,1.196000,1
4.145136,0.019078886,1.200000,1
4.159122,0.019750003,1.204000,1
4.172613,0.019462381,1.208000,1
4.186586,0.019270634,1.212000,1
4.199740,0.019462381,1.216000,1
4.213266,0.019558255,1.220000,1
4.227776,0.019462381,1.224000,1
4.241277,0.019845876,1.228000,1
4.255373,0.019845876,1.232000,1
4.269260,0.019845876,1.236000,1
4.283112,0.020037624,1.240000,1
4.296416,0.019462381,1.244000,1
4.309955,0.020133498,1.248000,1
4.323506,0.020037624,1.252000,1
4.337307,0.020229372,1.256000,1
4.350765,0.020421119,1.260000,1
4.364160,0.020516993,1.264000,1
4.377704,0.020421119,1.268000,1
4.391278,0.020516993,1.272000,1
4.404824,0.020229372,1.276000,1
4.418538,0.020325245,1.280000,1
4.432245,0.019845876,1.284000,1
4.446021,0.020612867,1.288000,1
4.459601,0.020804614,1.292000,1
4.473120,0.020708741,1.296000,1
4.486790,0.020996362,1.300000,1
4.500230,0.020612867,1.304000,1
4.513971,0.020996362,1.308000,1
4.527811,0.020996362,1.312000,1
4.541359,0.020996362,1.316000,1
4.555300,0.021379857,1.320000,1
4.568669,0.021283983,1.324000,1
4.582735,0.021188110,1.328000,1
4.596166,0.021188110,1.332000,1
4.610602,0.020996362,1.336000,1
4.624303,0.021092236,1.340000,1
4.638012,0.021379857,1.344000,1
4.652016,0.021475731,1.348000,1
4.665769,0.021283983,1.352000,1
4.680495,0.021188110,1.356000,1
4.694020,0.021667479,1.360000,1
4.708092,0.021283983,1.364000,1
4.722224,0.021571605,1.368000,1
4.736089,0.021475731,1.372000,1
