time_s,encoder_pos_rad,output_torque_Nm
1.809025,0.491558638,4.225000
1.819738,0.493206376,4.250000
1.830459,0.494982475,4.275000
1.841123,0.496312818,4.300000
1.852014,0.510046459,4.325000
1.862897,0.522283382,4.350000
1.873489,0.525626606,4.375000
1.884142,0.525329716,4.400000
1.894798,0.525977613,4.425000
1.905428,0.527076510,4.450000
1.916101,0.529443020,4.475000
1.926816,0.532333559,4.500000
1.937530,0.534899494,4.525000
1.948253,0.537874671,4.550000
1.958936,0.543359608,4.575000
1.969614,0.550890101,4.600000
1.980417,0.558466472,4.625000
1.991044,0.564758378,4.650000
2.002252,0.566277191,4.675000
2.012958,0.569881540,4.700000
2.023494,0.574308400,4.725000
2.034000,0.577873333,4.750000
2.044603,0.582331464,4.775000
2.055241,0.591115901,4.800000
2.065915,0.600969181,4.825000
2.076575,0.610141327,4.850000
2.087213,0.621983613,4.875000
2.097915,0.630944068,4.900000
2.108595,0.637380065,4.925000
2.119245,0.637997253,4.950000
2.129946,0.639233688,4.975000
2.140655,0.643330046,5.000000
2.151584,0.651195630,5.025000
2.162350,0.658522766,5.050000
2.173058,0.667001511,5.075000
2.183606,0.672211841,5.100000
2.194158,0.673452863,5.125000
2.204799,0.674152817,5.150000
2.215430,0.677119568,5.175000
2.226050,0.680990098,5.200000
2.236737,0.685115574,5.225000
2.247397,0.691892372,5.250000
2.258056,0.699440655,5.275000
2.268729,0.705267516,5.300000
2.279423,0.706279153,5.325000
2.290123,0.706929766,5.350000
2.300778,0.708523855,5.375000
2.312019,0.711645745,5.400000
2.323030,0.713207252,5.425000
2.333612,0.714526453,5.450000
2.344243,0.716629966,5.475000
2.354880,0.718243904,5.500000
2.365540,0.719810654,5.525000
2.376182,0.723348435,5.550000
2.386894,0.727587667,5.575000
2.397678,0.738297538,5.600000
2.408420,0.746963911,5.625000
2.419106,0.748625131,5.650000
2.429800,0.748453139,5.675000
2.440579,0.749050477,5.700000
2.451472,0.749795091,5.725000
2.462293,0.754110067,5.750000
2.473023,0.755337140,5.775000
2.483642,0.756344376,5.800000
2.494309,0.758805730,5.825000
2.504976,0.762051676,5.850000
2.515624,0.765150160,5.875000
2.526307,0.767879099,5.900000
2.536909,0.770254035,5.925000
2.547591,0.771669859,5.950000
2.558284,0.774145351,5.975000
2.569014,0.776577587,6.000000
2.579700,0.777831623,6.025000
2.590389,0.779002613,6.050000
2.601225,0.780497739,6.075000
2.612162,0.782501726,6.100000
2.622997,0.783502409,6.125000
2.633575,0.784384186,6.150000
2.644199,0.786396786,6.175000
2.654787,0.787279687,6.200000
2.665473,0.788410885,6.225000
2.676170,0.788890254,6.250000
2.686825,0.789967336,6.275000
2.697506,0.791191225,6.300000
2.708252,0.792111389,6.325000
2.718940,0.793515229,6.350000
2.729707,0.794994531,6.375000
2.740466,0.796256620,6.400000
2.751472,0.801471069,6.425000
2.762467,0.805427923,6.450000
2.773055,0.810655105,6.475000
2.783590,0.815958499,6.500000
2.794200,0.819425497,6.525000
2.805092,0.821680966,6.550000
2.816035,0.823314566,6.575000
2.826744,0.824803418,6.600000
2.837391,0.827513539,6.625000
2.848063,0.829270351,6.650000
2.858634,0.832756075,6.675000
2.869154,0.835943879,6.700000
2.879688,0.838328365,6.725000
2.890246,0.840399764,6.750000
2.900831,0.843884551,6.775000
2.911913,0.854495085,6.800000
2.922421,0.857318680,6.825000
2.932891,0.860770512,6.850000
2.943351,0.863142265,6.875000
2.953965,0.866698209,6.900000
2.964602,0.872176685,6.925000
2.975242,0.880234578,6.950000
2.985874,0.889620099,6.975000
2.996546,0.893598487,7.000000
3.007187,0.893410672,7.025000
3.017905,0.895008693,7.050000
3.028608,0.895866314,7.075000
3.039306,0.897741658,7.100000
3.050015,0.899708569,7.125000
3.060688,0.900482488,7.150000
3.071387,0.902781399,7.175000
3.082103,0.906168628,7.200000
3.092833,0.908479711,7.225000
3.103378,0.909703974,7.250000
3.113963,0.910918501,7.275000
3.124601,0.913057310,7.300000
3.135209,0.915148932,7.325000
3.145885,0.916874661,7.350000
3.156584,0.917430616,7.375000
3.167239,0.918342915,7.400000
3.177898,0.920216574,7.425000
3.188591,0.922063643,7.450000
3.199249,0.922318495,7.475000
3.209994,0.924622836,7.500000
3.220679,0.926721761,7.525000
3.231673,0.928954759,7.550000
3.242552,0.930787035,7.575000
3.253155,0.931048441,7.600000
3.263775,0.932672865,7.625000
3.274333,0.934273321,7.650000
3.284976,0.935843629,7.675000
3.295590,0.936740760,7.700000
3.306224,0.937874019,7.725000
3.316873,0.938545697,7.750000
3.327596,0.938946045,7.775000
3.338272,0.939749363,7.800000
3.348943,0.940983550,7.825000
3.359589,0.942898592,7.850000
3.370300,0.946674185,7.875000
3.380933,0.953534966,7.900000
3.392231,0.971568416,7.925000
3.402982,0.970710046,7.950000
3.413541,0.971995541,7.975000
3.424078,0.974733188,8.000000
3.434829,0.976060628,8.025000
3.445533,0.977156623,8.050000
3.456215,0.980679236,8.075000
3.466879,0.982068095,8.100000
3.477597,0.985081566,8.125000
3.488357,0.987709107,8.150000
3.499061,0.990375972,8.175000
3.509748,0.993716574,8.200000
3.520625,1.000695887,8.225000
3.531973,1.009692670,8.250000
3.542832,1.009499424,8.275000
3.553456,1.012003378,8.300000
3.564092,1.013241686,8.325000
3.574794,1.013587356,8.350000
3.585507,1.015173955,8.375000
3.596394,1.016469187,8.400000
3.607098,1.018923893,8.425000
3.617838,1.022039605,8.450000
3.628587,1.027206865,8.475000
3.639322,1.034685396,8.500000
3.650169,1.039683380,8.525000
3.660937,1.043045704,8.550000
3.672142,1.045334504,8.575000
3.682937,1.049475241,8.600000
3.693503,1.050633404,8.625000
3.704043,1.053291654,8.650000
3.714609,1.055077117,8.675000
3.725169,1.057517592,8.700000
3.735820,1.059994956,8.725000
3.746540,1.060528441,8.750000
3.757291,1.062682231,8.775000
3.768048,1.064247483,8.800000
3.778855,1.065535974,8.825000
3.789547,1.068602063,8.850000
3.800394,1.072815642,8.875000
3.811062,1.078171654,8.900000
3.822029,1.083111402,8.925000
3.832888,1.083570548,8.950000
3.843515,1.084577410,8.975000
3.854043,1.085818152,9.000000
3.864627,1.087062638,9.025000
3.875315,1.087468604,9.050000
3.886030,1.089217926,9.075000
3.896673,1.089595804,9.100000
3.907341,1.092146946,9.125000
3.918037,1.095676300,9.150000
3.928809,1.099335046,9.175000
3.939556,1.103549187,9.200000
3.950162,1.107697601,9.225000
3.960785,1.110595349,9.250000
3.971630,1.113038633,9.275000
3.982196,1.113898314,9.300000
3.993066,1.114802936,9.325000
4.003647,1.115788264,9.350000
4.014198,1.116615363,9.375000
4.024818,1.118016768,9.400000
4.035447,1.120081987,9.425000
4.046127,1.121564847,9.450000
4.056900,1.123012879,9.475000
4.067561,1.124654718,9.500000
4.078259,1.126542982,9.525000
4.088959,1.128114226,9.550000
4.099667,1.128761936,9.575000
4.110428,1.130729034,9.600000
4.121213,1.131903488,9.625000
4.132385,1.133366687,9.650000
4.142963,1.134417741,9.675000
4.153511,1.134520356,9.700000
4.164167,1.135507744,9.725000
4.174807,1.135732636,9.750000
4.185466,1.136684632,9.775000
4.196219,1.137092471,9.800000
4.207005,1.138191649,9.825000
4.217643,1.138742923,9.850000
4.228321,1.139493061,9.875000
4.239057,1.140200879,9.900000
4.249804,1.142166854,9.925000
4.260670,1.143419580,9.950000
4.271719,1.145017039,9.975000
4.282456,1.146859239,10.000000
4.293091,1.148277685,10.025000
4.303665,1.149414126,10.050000
4.314240,1.150597943,10.075000
4.324867,1.152531336,10.100000
4.335570,1.152698178,10.125000
4.346242,1.153002465,10.150000
4.356977,1.153994160,10.175000
4.367743,1.154753099,10.200000
4.378457,1.154943348,10.225000
4.389206,1.155611094,10.250000
4.399904,1.156005825,10.275000
4.410647,1.157178968,10.300000
4.421683,1.157738669,10.325000
4.432545,1.158626812,10.350000
4.443137,1.159038957,10.375000
4.453776,1.159410093,10.400000
4.464466,1.160043385,10.425000
4.475088,1.159750708,10.450000
4.485821,1.160475753,10.475000
4.496587,1.160997254,10.500000
4.507305,1.161427750,10.525000
4.518040,1.161918916,10.550000
4.528686,1.162246984,10.575000
4.539381,1.163009855,10.600000
4.550097,1.164000613,10.625000
4.560846,1.164160341,10.650000
4.572290,1.167419862,10.675000
4.582936,1.169861274,10.700000
4.593544,1.171914509,10.725000
4.604201,1.176095692,10.750000
4.614959,1.180498959,10.775000
4.625608,1.183534151,10.800000
4.636276,1.185361371,10.825000
4.646969,1.186387520,10.850000
4.657680,1.186759593,10.875000
4.668448,1.188096021,10.900000
4.679182,1.188738113,10.925000
4.689883,1.190206555,10.950000
4.700601,1.191909064,10.975000
4.711662,1.194892200,11.000000
4.722507,1.196826529,11.025000
4.733168,1.197681716,11.050000
4.743715,1.199099412,11.075000
4.754313,1.200884312,11.100000
4.764903,1.202655543,11.125000
4.775657,1.204026988,11.150000
4.786331,1.205306491,11.175000
4.796983,1.206485814,11.200000
4.807700,1.207139329,11.225000
4.818399,1.208257045,11.250000
4.829141,1.209627366,11.275000
4.839844,1.210703325,11.300000
4.850563,1.211437733,11.325000
4.861700,1.214845747,11.350000
4.872623,1.221112935,11.375000
4.883291,1.230092865,11.400000
4.893868,1.233406503,11.425000
4.904564,1.232789128,11.450000
4.915148,1.234218621,11.475000
4.925839,1.235217244,11.500000
4.936562,1.236101268,11.525000
4.947282,1.238385012,11.550000
4.957979,1.243247237,11.575000
4.968753,1.251927186,11.600000
4.979445,1.260264274,11.625000
4.990176,1.276361710,11.650000
5.000913,1.279290355,11.675000
5.012100,1.281711730,11.700000
5.022937,1.283195152,11.725000
5.033516,1.283735004,11.750000
5.044176,1.285140529,11.775000
5.054779,1.287439815,11.800000
5.065306,1.291359218,11.825000
5.075942,1.297404136,11.850000
5.086593,1.304309297,11.875000
5.097342,1.303781242,11.900000
5.107929,1.304690358,11.925000
5.118542,1.306185203,11.950000
5.129164,1.306983277,11.975000
5.139802,1.307316027,12.000000
5.150419,1.308088260,12.025000
5.161028,1.309073026,12.050000
5.171932,1.310400279,12.075000
5.182864,1.311641957,12.100000
5.193386,1.313048418,12.125000
5.204066,1.316065822,12.150000
5.214700,1.320383888,12.175000
5.225295,1.328345345,12.200000
5.236082,1.332631016,12.225000
5.246829,1.335749911,12.250000
5.257544,1.334909330,12.275000
5.268308,1.335973304,12.300000
5.278997,1.338236076,12.325000
5.289778,1.339946824,12.350000
5.300597,1.341473127,12.375000
5.311389,1.342268206,12.400000
5.322253,1.344269759,12.425000
5.333449,1.346460625,12.450000
5.344029,1.348751110,12.475000
5.354749,1.348601681,12.500000
5.365332,1.351068934,12.525000
5.376012,1.351207876,12.550000
5.386762,1.352422589,12.575000
5.397503,1.352864133,12.600000
5.408333,1.353690857,12.625000
5.419007,1.354737230,12.650000
5.429635,1.355031593,12.675000
5.440372,1.354970735,12.700000
5.451092,1.355830042,12.725000
5.462193,1.356427006,12.750000
5.472961,1.356797019,12.775000
5.483530,1.357401660,12.800000
5.494110,1.357710629,12.825000
5.504761,1.358416200,12.850000
5.515334,1.359369695,12.875000
5.526017,1.359950555,12.900000
5.536665,1.360898432,12.925000
5.547396,1.362163517,12.950000
5.558033,1.363575783,12.975000
5.568791,1.365021006,13.000000
5.579429,1.368017998,13.025000
5.590340,1.371638920,13.050000
5.601062,1.373194622,13.075000
5.612486,1.375354029,13.100000
5.623019,1.376566683,13.125000
5.633551,1.377802556,13.150000
5.644081,1.378552506,13.175000
5.654723,1.379644194,13.200000
5.665350,1.379462184,13.225000
5.676151,1.380028064,13.250000
5.686704,1.380714910,13.275000
5.697399,1.380907594,13.300000
5.708180,1.381243152,13.325000
5.718851,1.381921759,13.350000
