time_s,cmd_motor_torque_nm,cmd_output_torque_nm,test_vel_motor_rpm,test_vel_output_rpm,test_torque_motor_nm,test_torque_output_nm,loadcell_torque_nm,test_voltage_v,test_q_A,phase
12.114,2.4281,33.9937,-0.31,-0.02,2.4434,34.2070,38.3814,47.20,39.6657,ramp_down
12.125,2.4281,33.9937,0.17,0.01,2.4384,34.1373,38.3814,47.18,39.5848,ramp_down
12.138,2.4199,33.8781,0.12,0.01,2.4302,34.0230,38.3814,47.20,39.4470,ramp_down
12.150,2.4116,33.7625,-0.01,-0.00,2.4193,33.8705,38.3814,47.20,39.2754,ramp_down
12.163,2.4033,33.6469,-0.01,-0.00,2.4193,33.8705,38.3814,47.20,39.2754,ramp_down
12.175,2.4033,33.6469,0.07,0.01,2.4097,33.7365,38.3814,47.20,39.1200,ramp_down
12.188,2.3951,33.5312,-0.35,-0.03,2.3974,33.5640,38.3814,47.22,38.9201,ramp_down
12.201,2.3868,33.4156,-0.64,-0.05,2.3958,33.5413,38.2803,47.20,38.8937,ramp_down
12.214,2.3786,33.3000,-0.64,-0.05,2.3958,33.5413,38.2803,47.20,38.8937,ramp_down
12.225,2.3786,33.3000,-0.04,-0.00,2.3784,33.2981,38.2803,47.22,38.6117,ramp_down
12.238,2.3703,33.1844,-0.17,-0.01,2.3821,33.3498,38.2803,47.20,38.6716,ramp_down
12.250,2.3621,33.0688,-0.57,-0.04,2.3606,33.0484,38.2803,47.22,38.3222,ramp_down
12.263,2.3538,32.9531,-0.01,-0.00,2.3573,33.0028,38.2803,47.22,38.2693,ramp_down
12.275,2.3538,32.9531,-0.01,-0.00,2.3573,33.0028,38.2803,47.22,38.2693,ramp_down
12.289,2.3455,32.8375,-0.03,-0.00,2.3525,32.9344,38.1641,47.22,38.1900,ramp_down
12.300,2.3373,32.7219,-0.12,-0.01,2.3455,32.8373,38.1641,47.22,38.0774,ramp_down
12.313,2.3290,32.6062,-0.15,-0.01,2.3405,32.7663,38.1641,47.24,37.9951,ramp_down
12.325,2.3208,32.4906,-0.15,-0.01,2.3405,32.7663,38.1641,47.24,37.9951,ramp_down
12.338,2.3208,32.4906,-0.97,-0.07,2.3300,32.6206,38.1641,47.22,37.8261,ramp_down
12.350,2.3125,32.3750,0.26,0.02,2.3180,32.4516,38.1641,47.27,37.6302,ramp_down
12.363,2.3042,32.2594,0.17,0.01,2.3143,32.4006,38.1641,47.24,37.5710,ramp_down
12.380,2.2960,32.1438,0.17,0.01,2.3143,32.4006,38.0331,47.24,37.5710,ramp_down
12.388,2.2960,32.1438,0.12,0.01,2.3033,32.2461,38.0331,47.22,37.3918,ramp_down
12.400,2.2877,32.0281,-0.30,-0.02,2.2964,32.1502,38.0331,47.24,37.2807,ramp_down
12.413,2.2795,31.9125,0.40,0.03,2.2866,32.0118,38.0331,47.24,37.1202,ramp_down
12.426,2.2712,31.7969,0.40,0.03,2.2866,32.0118,38.0331,47.24,37.1202,ramp_down
12.438,2.2712,31.7969,-0.61,-0.04,2.2761,31.8653,38.0331,47.24,36.9503,ramp_down
12.450,2.2629,31.6812,0.00,0.00,2.2721,31.8099,38.0331,47.24,36.8861,ramp_down
12.463,2.2547,31.5656,-0.09,-0.01,2.2621,31.6697,38.0331,47.24,36.8082,ramp_down
12.478,2.2464,31.4500,-0.09,-0.01,2.2621,31.6697,37.8929,47.24,36.8082,ramp_down
12.488,2.2464,31.4500,-0.00,-0.00,2.2538,31.5536,37.8929,47.24,36.5889,ramp_down
12.500,2.2382,31.3344,-0.08,-0.01,2.2408,31.3714,37.8929,47.24,36.3775,ramp_down
12.513,2.2299,31.2188,-0.48,-0.03,2.2355,31.2971,37.8929,47.24,36.2914,ramp_down
12.525,2.2217,31.1031,-0.48,-0.03,2.2355,31.2971,37.8929,47.24,36.2914,ramp_down
12.538,2.2217,31.1031,-0.69,-0.05,2.2299,31.2182,37.8929,47.25,36.1999,ramp_down
12.550,2.2134,30.9875,-0.85,-0.06,2.2171,31.0395,37.8929,47.25,35.9927,ramp_down
12.564,2.2051,30.8719,-0.81,-0.06,2.2168,31.0353,37.7374,47.27,35.9879,ramp_down
12.576,2.1969,30.7562,0.64,0.05,2.2055,30.8773,37.7374,47.24,35.8046,ramp_down
12.588,2.1969,30.7562,0.64,0.05,2.2055,30.8773,37.7374,47.24,35.8046,ramp_down
12.600,2.1886,30.6406,-0.13,-0.01,2.1940,30.7159,37.7374,47.24,35.6175,ramp_down
12.613,2.1804,30.5250,-0.59,-0.04,2.1871,30.6199,37.7374,47.27,35.5062,ramp_down
12.625,2.1721,30.4094,-0.30,-0.02,2.1809,30.5325,37.7374,47.25,35.4048,ramp_down
12.638,2.1721,30.4094,-0.30,-0.02,2.1809,30.5325,37.7374,47.25,35.4048,ramp_down
12.650,2.1638,30.2937,-0.80,-0.06,2.1792,30.5085,37.7374,47.29,35.3769,ramp_down
12.664,2.1556,30.1781,-0.28,-0.02,2.1601,30.2417,37.5580,47.25,35.0675,ramp_down
12.675,2.1473,30.0625,-0.46,-0.03,2.1608,30.2519,37.5580,47.27,35.0794,ramp_down
12.688,2.1391,29.9469,-0.46,-0.03,2.1608,30.2519,37.5580,47.27,35.0794,ramp_down
12.700,2.1391,29.9469,-0.34,-0.02,2.1518,30.1250,37.5580,47.27,34.9322,ramp_down
12.713,2.1308,29.8312,0.73,0.05,2.1350,29.8901,37.5580,47.27,34.6599,ramp_down
12.725,2.1225,29.7156,-0.44,-0.03,2.1355,29.8974,37.5580,47.27,34.6684,ramp_down
12.739,2.1143,29.6000,-0.44,-0.03,2.1355,29.8974,37.5580,47.27,34.6684,ramp_down
12.751,2.1143,29.6000,-0.43,-0.03,2.1210,29.6940,37.3606,47.27,34.4325,ramp_down
12.763,2.1060,29.4844,-0.13,-0.01,2.1210,29.6941,37.3606,47.29,34.4326,ramp_down
12.775,2.0978,29.3687,0.17,0.01,2.1020,29.4274,37.3606,47.29,34.1233,ramp_down
12.788,2.0895,29.2531,0.17,0.01,2.1020,29.4274,37.3606,47.29,34.1233,ramp_down
12.800,2.0895,29.2531,-0.20,-0.01,2.0965,29.3514,37.3606,47.31,34.0352,ramp_down
12.813,2.0812,29.1375,0.64,0.05,2.0925,29.2953,37.3606,47.29,33.9701,ramp_down
12.825,2.0730,29.0219,-0.94,-0.07,2.0836,29.1704,37.3606,47.29,33.8254,ramp_down
12.839,2.0647,28.9062,-0.94,-0.07,2.0836,29.1704,37.1576,47.29,33.8254,ramp_down
12.850,2.0647,28.9062,-0.68,-0.05,2.0726,29.0157,37.1576,47.29,33.6460,ramp_down
12.863,2.0565,28.7906,-0.19,-0.01,2.0683,28.9565,37.1576,47.29,33.5773,ramp_down
12.875,2.0482,28.6750,0.36,0.03,2.0555,28.7764,37.1576,47.29,33.3685,ramp_down
12.888,2.0400,28.5594,0.27,0.02,2.0404,28.5651,37.1576,47.31,33.2649,ramp_down
12.900,2.0400,28.5594,0.27,0.02,2.0404,28.5651,37.1576,47.31,33.2649,ramp_down
12.913,2.0317,28.4438,0.23,0.02,2.0438,28.6134,37.1576,47.34,33.1794,ramp_down
12.925,2.0234,28.3281,-0.39,-0.03,2.0321,28.4492,37.1576,47.29,32.9891,ramp_down
12.939,2.0152,28.2125,-0.15,-0.01,2.0311,28.4355,36.9491,47.31,32.9732,ramp_down
12.950,2.0069,28.0969,-0.15,-0.01,2.0311,28.4355,36.9491,47.31,32.9732,ramp_down
12.963,2.0069,28.0969,-0.33,-0.02,2.0112,28.1571,36.9491,47.33,32.6503,ramp_down
12.975,1.9987,27.9812,0.21,0.01,2.0068,28.0946,36.9491,47.31,32.5779,ramp_down
12.988,1.9904,27.8656,-0.07,-0.01,2.0002,28.0035,36.9491,47.33,32.4722,ramp_down
13.001,1.9821,27.7500,-0.07,-0.01,2.0002,28.0035,36.9491,47.33,32.4722,ramp_down
13.013,1.9821,27.7500,-0.30,-0.02,1.9959,27.9432,36.9491,47.31,32.4023,ramp_down
13.026,1.9739,27.6344,-0.44,-0.03,1.9777,27.6877,36.7390,47.33,32.1060,ramp_down
13.038,1.9656,27.5188,-0.83,-0.06,1.9703,27.5847,36.7390,47.33,31.9866,ramp_down
13.050,1.9574,27.4031,-0.83,-0.06,1.9703,27.5847,36.7390,47.33,31.9866,ramp_down
13.063,1.9574,27.4031,-0.52,-0.04,1.9654,27.5159,36.7390,47.33,31.9068,ramp_down
13.075,1.9491,27.2875,-0.95,-0.07,1.9604,27.4450,36.7390,47.31,31.8246,ramp_down
13.088,1.9408,27.1719,-0.50,-0.04,1.9529,27.3403,36.7390,47.34,31.7032,ramp_down
13.101,1.9326,27.0562,0.17,0.01,1.9423,27.1918,36.7390,47.34,31.5310,ramp_down
13.113,1.9326,27.0562,0.17,0.01,1.9423,27.1918,36.7390,47.34,31.5310,ramp_down
13.126,1.9243,26.9406,-0.46,-0.03,1.9387,27.1420,36.5160,47.34,31.4733,ramp_down
13.138,1.9161,26.8250,-0.40,-0.03,1.9220,26.9087,36.5160,47.34,31.2027,ramp_down
13.150,1.9078,26.7094,0.09,0.01,1.9109,26.7524,36.5160,47.34,31.0215,ramp_down
13.163,1.9078,26.7094,0.09,0.01,1.9109,26.7524,36.5160,47.34,31.0215,ramp_down
13.175,1.8996,26.5938,-0.08,-0.01,1.9104,26.7456,36.5160,47.34,31.0136,ramp_down
13.188,1.8913,26.4781,-0.14,-0.01,1.9013,26.6187,36.5160,47.34,30.8664,ramp_down
13.200,1.8830,26.3625,-0.53,-0.04,1.8875,26.4246,36.5160,47.36,30.6414,ramp_down
13.218,1.8748,26.2469,-0.53,-0.04,1.8875,26.4246,36.2787,47.36,30.6414,ramp_down
13.225,1.8748,26.2469,0.02,0.00,1.8847,26.3852,36.2787,47.36,30.5956,ramp_down
13.238,1.8665,26.1313,-1.37,-0.10,1.8736,26.2298,36.2787,47.36,30.4155,ramp_down
13.250,1.8583,26.0156,-1.20,-0.09,1.8685,26.1596,36.2787,47.36,30.3341,ramp_down
13.263,1.8500,25.9000,-1.20,-0.09,1.8685,26.1596,36.2787,47.36,30.3341,ramp_down
13.275,1.8500,25.9000,-0.82,-0.06,1.8617,26.0631,36.2787,47.36,30.2222,ramp_down
13.288,1.8417,25.7844,-0.12,-0.01,1.8446,25.8243,36.2787,47.38,29.9453,ramp_down
13.301,1.8335,25.6687,0.10,0.01,1.8420,25.7878,36.0142,47.38,29.8492,ramp_down
13.313,1.8252,25.5531,0.10,0.01,1.8420,25.7878,36.0142,47.38,29.8492,ramp_down
13.325,1.8252,25.5531,-0.62,-0.04,1.8399,25.7579,36.0142,47.36,29.8683,ramp_down
13.338,1.8170,25.4375,-0.16,-0.01,1.8283,25.5966,36.0142,47.38,29.6812,ramp_down
13.350,1.8087,25.3219,0.26,0.02,1.8082,25.3143,36.0142,47.40,29.3539,ramp_down
13.363,1.8004,25.2063,0.26,0.02,1.8082,25.3143,36.0142,47.40,29.3539,ramp_down
13.375,1.8004,25.2063,-0.66,-0.05,1.8164,25.4298,36.0142,47.42,29.4879,ramp_down
13.388,1.7922,25.0906,-0.85,-0.06,1.7985,25.1794,36.0142,47.38,29.1975,ramp_down
13.401,1.7839,24.9750,-0.57,-0.04,1.8037,25.2522,35.7319,47.40,29.2562,ramp_down
13.413,1.7757,24.8594,-0.57,-0.04,1.8037,25.2522,35.7319,47.40,29.2562,ramp_down
13.425,1.7757,24.8594,-0.70,-0.05,1.7835,24.9696,35.7319,47.38,28.9542,ramp_down
13.438,1.7674,24.7437,-0.35,-0.02,1.7757,24.8602,35.7319,47.38,28.8273,ramp_down
13.450,1.7592,24.6281,-0.07,-0.01,1.7683,24.7559,35.7319,47.40,28.7064,ramp_down
13.463,1.7509,24.5125,0.31,0.02,1.7603,24.6447,35.7319,47.40,28.5774,ramp_down
13.475,1.7509,24.5125,0.31,0.02,1.7603,24.6447,35.7319,47.40,28.5774,ramp_down
13.489,1.7426,24.3969,0.33,0.02,1.7452,24.4335,35.4308,47.42,28.3325,ramp_down
13.500,1.7344,24.2812,-1.32,-0.09,1.7459,24.4426,35.4308,47.42,28.3430,ramp_down
13.513,1.7261,24.1656,-0.08,-0.01,1.7354,24.2962,35.4308,47.42,28.1733,ramp_down
13.525,1.7261,24.1656,-0.08,-0.01,1.7354,24.2962,35.4308,47.42,28.1733,ramp_down
13.538,1.7179,24.0500,-0.82,-0.06,1.7228,24.1198,35.4308,47.42,27.9688,ramp_down
13.550,1.7096,23.9344,-0.83,-0.06,1.7215,24.1012,35.4308,47.42,27.9472,ramp_down
13.563,1.7013,23.8188,-0.12,-0.01,1.7091,23.9270,35.4308,47.42,27.7452,ramp_down
13.579,1.6931,23.7031,-0.12,-0.01,1.7091,23.9270,35.1058,47.42,27.7452,ramp_down
13.588,1.6931,23.7031,0.08,0.01,1.7003,23.8042,35.1058,47.43,27.6028,ramp_down
13.600,1.6848,23.5875,-0.41,-0.03,1.6944,23.7220,35.1058,47.43,27.5075,ramp_down
13.613,1.6766,23.4719,-1.14,-0.08,1.6811,23.5351,35.1058,47.43,27.2908,ramp_down
13.625,1.6683,23.3562,-1.14,-0.08,1.6811,23.5351,35.1058,47.43,27.2908,ramp_down
13.638,1.6683,23.3562,-0.15,-0.01,1.6714,23.3992,35.1058,47.45,27.1332,ramp_down
13.650,1.6600,23.2406,-1.51,-0.11,1.6673,23.3417,35.1058,47.45,27.0665,ramp_down
13.663,1.6518,23.1250,-1.47,-0.11,1.6669,23.3365,35.1058,47.47,27.0604,ramp_down
13.678,1.6435,23.0094,-1.47,-0.11,1.6669,23.3365,34.7135,47.47,27.0604,ramp_down
13.688,1.6435,23.0094,-6.36,-0.45,1.6598,23.2369,34.7135,47.51,26.9449,ramp_down
13.700,1.6353,22.8938,-35.78,-2.56,1.6695,23.3723,34.7135,47.56,27.1020,ramp_down
13.713,1.6270,22.7781,22.74,1.62,1.6286,22.7998,34.7135,47.36,26.4381,ramp_down
13.725,1.6188,22.6625,22.74,1.62,1.6286,22.7998,34.7135,47.36,26.4381,ramp_down
13.738,1.6188,22.6625,-20.78,-1.48,1.6104,22.5462,34.7135,47.43,26.1440,ramp_down
13.750,1.6105,22.5469,-11.17,-0.80,1.6192,22.6690,34.7135,47.45,26.2865,ramp_down
13.764,1.6022,22.4312,2.46,0.18,1.6252,22.7522,34.0877,47.45,26.3829,ramp_down
13.776,1.5940,22.3156,6.12,0.44,1.6214,22.6998,34.0877,47.49,26.3222,ramp_down
13.788,1.5940,22.3156,6.12,0.44,1.6214,22.6998,34.0877,47.49,26.3222,ramp_down
13.800,1.5857,22.2000,2.37,0.17,1.5964,22.3499,34.0877,47.51,25.9165,ramp_down
13.813,1.5775,22.0844,-1.90,-0.14,1.5805,22.1272,34.0877,47.51,25.6582,ramp_down
13.825,1.5692,21.9688,-0.32,-0.02,1.5682,21.9553,34.0877,47.49,25.4588,ramp_down
13.838,1.5692,21.9688,-0.32,-0.02,1.5682,21.9553,34.0877,47.49,25.4588,ramp_down
13.850,1.5609,21.8531,0.27,0.02,1.5694,21.9714,34.0877,47.49,25.4775,ramp_down
13.864,1.5527,21.7375,-1.20,-0.09,1.5565,21.7907,31.0803,47.51,25.2680,ramp_down
13.875,1.5444,21.6219,0.06,0.00,1.5536,21.7499,31.0803,47.51,25.2207,ramp_down
13.889,1.5362,21.5063,0.06,0.00,1.5536,21.7499,31.0803,47.51,25.2207,ramp_down
13.900,1.5362,21.5063,-0.81,-0.06,1.5446,21.6247,31.0803,47.49,25.0756,ramp_down
13.913,1.5279,21.3906,-0.70,-0.05,1.5215,21.3005,31.0803,47.51,24.6996,ramp_down
13.925,1.5196,21.2750,-0.35,-0.03,1.5244,21.3416,31.0803,47.52,24.7472,ramp_down
13.938,1.5114,21.1594,-0.35,-0.03,1.5244,21.3416,31.0803,47.52,24.7472,ramp_down
13.951,1.5114,21.1594,-0.41,-0.03,1.5160,21.2233,26.8988,47.52,24.6101,ramp_down
13.963,1.5031,21.0437,-0.37,-0.03,1.5133,21.1862,26.8988,47.51,24.5670,ramp_down
13.975,1.4949,20.9281,-0.22,-0.02,1.5022,21.0311,26.8988,47.52,24.3871,ramp_down
13.989,1.4866,20.8125,-0.23,-0.02,1.4966,20.9518,26.8988,47.51,24.2952,ramp_down
14.000,1.4866,20.8125,-0.23,-0.02,1.4966,20.9518,26.8988,47.51,24.2952,ramp_down
14.013,1.4783,20.6969,0.23,0.02,1.4784,20.6974,26.8988,47.52,24.0363,ramp_down
14.025,1.4701,20.5813,0.72,0.05,1.4784,20.6977,26.8988,47.52,24.0006,ramp_down
14.038,1.4618,20.4656,0.87,0.06,1.4688,20.5639,26.1456,47.56,23.8454,ramp_down
14.051,1.4536,20.3500,0.13,0.01,1.4538,20.3529,26.1456,47.54,23.6007,ramp_down
14.063,1.4536,20.3500,0.13,0.01,1.4538,20.3529,26.1456,47.54,23.6007,ramp_down
14.075,1.4453,20.2344,-0.19,-0.01,1.4516,20.3229,26.1456,47.52,23.5659,ramp_down
14.088,1.4371,20.1187,0.23,0.02,1.4529,20.3403,26.1456,47.52,23.5861,ramp_down
14.100,1.4288,20.0031,-0.37,-0.03,1.4364,20.1090,26.1456,47.56,23.3179,ramp_down
14.113,1.4288,20.0031,-0.37,-0.03,1.4364,20.1090,26.1456,47.56,23.3179,ramp_down
14.125,1.4205,19.8875,0.76,0.05,1.4348,20.0868,26.1456,47.54,23.2339,ramp_down
14.139,1.4123,19.7719,0.40,0.03,1.4257,19.9600,25.9626,47.58,23.1451,ramp_down
14.150,1.4040,19.6562,1.01,0.07,1.4162,19.8265,25.9626,47.56,22.9904,ramp_down
14.165,1.3958,19.5406,1.01,0.07,1.4162,19.8265,25.9626,47.56,22.9904,ramp_down
14.175,1.3958,19.5406,1.13,0.08,1.4062,19.6864,25.9626,47.56,22.8279,ramp_down
14.188,1.3875,19.4250,1.69,0.12,1.3996,19.5939,25.9626,47.54,22.7207,ramp_down
14.200,1.3792,19.3094,-0.40,-0.03,1.3866,19.4120,25.9626,47.56,22.5097,ramp_down
14.214,1.3710,19.1938,-0.40,-0.03,1.3866,19.4120,25.9626,47.56,22.5097,ramp_down
14.226,1.3710,19.1938,0.68,0.05,1.3764,19.2699,25.6824,47.56,22.3449,ramp_down
14.238,1.3627,19.0781,0.46,0.03,1.3682,19.1545,25.6824,47.56,22.2112,ramp_down
14.250,1.3545,18.9625,0.11,0.01,1.3637,19.0912,25.6824,47.56,22.1377,ramp_down
14.263,1.3462,18.8469,0.11,0.01,1.3637,19.0912,25.6824,47.56,22.1377,ramp_down
14.275,1.3462,18.8469,0.42,0.03,1.3561,18.9853,25.6824,47.56,22.0149,ramp_down
14.288,1.3379,18.7312,0.12,0.01,1.3482,18.8747,25.6824,47.56,21.8866,ramp_down
14.300,1.3297,18.6156,0.09,0.01,1.3418,18.7847,25.6824,47.60,21.7823,ramp_down
14.313,1.3214,18.5000,0.09,0.01,1.3418,18.7847,25.6824,47.60,21.7823,ramp_down
14.326,1.3214,18.5000,0.72,0.05,1.3237,18.5312,25.2980,47.56,21.4883,ramp_down
14.338,1.3132,18.3844,0.13,0.01,1.3185,18.4595,25.2980,47.58,21.4052,ramp_down
14.350,1.3049,18.2688,0.32,0.02,1.3112,18.3562,25.2980,47.60,21.2854,ramp_down
14.364,1.2967,18.1531,-0.54,-0.04,1.3024,18.2333,25.2980,47.60,21.1429,ramp_down
14.375,1.2967,18.1531,-0.54,-0.04,1.3024,18.2333,25.2980,47.60,21.1429,ramp_down
14.388,1.2884,18.0375,-0.33,-0.02,1.3018,18.2249,25.2980,47.58,21.1332,ramp_down
14.400,1.2801,17.9219,-0.43,-0.03,1.2911,18.0758,25.2980,47.58,20.9603,ramp_down
14.415,1.2719,17.8062,0.21,0.02,1.2810,17.9344,24.8217,47.60,20.7963,ramp_down
14.425,1.2719,17.8062,0.21,0.02,1.2810,17.9344,24.8217,47.60,20.7963,ramp_down
14.438,1.2636,17.6906,0.41,0.03,1.2709,17.7932,24.8217,47.60,20.6325,ramp_down
14.450,1.2554,17.5750,-0.10,-0.01,1.2657,17.7194,24.8217,47.61,20.5470,ramp_down
14.463,1.2471,17.4594,-0.17,-0.01,1.2557,17.5793,24.8217,47.61,20.3845,ramp_down
14.475,1.2471,17.4594,-0.17,-0.01,1.2557,17.5793,24.8217,47.61,20.3845,ramp_down
14.488,1.2388,17.3438,-0.18,-0.01,1.2440,17.4161,24.8217,47.61,20.1953,ramp_down
14.501,1.2306,17.2281,-0.57,-0.04,1.2459,17.4424,24.3622,47.63,20.2258,ramp_down
14.513,1.2223,17.1125,0.10,0.01,1.2376,17.3264,24.3622,47.65,20.0913,ramp_down
14.525,1.2141,16.9969,0.10,0.01,1.2376,17.3264,24.3622,47.65,20.0913,ramp_down
14.538,1.2141,16.9969,0.75,0.05,1.2228,17.1186,24.3622,47.61,19.8503,ramp_down
14.550,1.2058,16.8813,-0.00,-0.00,1.2166,17.0328,24.3622,47.65,19.7508,ramp_down
14.563,1.1975,16.7656,0.27,0.02,1.2108,16.9506,24.3622,47.63,19.6555,ramp_down
14.576,1.1893,16.6500,0.27,0.02,1.2108,16.9506,24.3622,47.63,19.6555,ramp_down
14.588,1.1893,16.6500,0.20,0.01,1.2015,16.8207,24.3622,47.65,19.5049,ramp_down
14.601,1.1810,16.5344,0.12,0.01,1.1861,16.6057,24.0424,47.65,19.2556,ramp_down
14.613,1.1728,16.4187,-0.47,-0.03,1.1829,16.5599,24.0424,47.67,19.2025,ramp_down
14.625,1.1645,16.3031,-0.47,-0.03,1.1829,16.5599,24.0424,47.67,19.2025,ramp_down
14.638,1.1645,16.3031,0.42,0.03,1.1752,16.4530,24.0424,47.67,19.0785,ramp_down
14.650,1.1562,16.1875,0.25,0.02,1.1648,16.3071,24.0424,47.65,18.9093,ramp_down
14.663,1.1480,16.0719,-0.10,-0.01,1.1557,16.1795,24.0424,47.65,18.7614,ramp_down
14.676,1.1397,15.9563,0.39,0.03,1.1465,16.0517,24.0424,47.67,18.6132,ramp_down
14.689,1.1397,15.9563,0.39,0.03,1.1465,16.0517,23.7359,47.67,18.6132,ramp_down
14.701,1.1315,15.8406,-0.55,-0.04,1.1359,15.9021,23.7359,47.69,18.4397,ramp_down
14.713,1.1232,15.7250,0.65,0.05,1.1307,15.8302,23.7359,47.65,18.3563,ramp_down
14.726,1.1150,15.6094,-0.31,-0.02,1.1198,15.6778,23.7359,47.69,18.1796,ramp_down
14.738,1.1150,15.6094,-0.31,-0.02,1.1198,15.6778,23.7359,47.69,18.1796,ramp_down
14.750,1.1067,15.4937,0.03,0.00,1.1187,15.6622,23.7359,47.70,18.1615,ramp_down
14.763,1.0984,15.3781,0.24,0.02,1.1058,15.4806,23.7359,47.67,17.9509,ramp_down
14.776,1.0902,15.2625,-0.17,-0.01,1.0999,15.3987,23.3671,47.69,17.8560,ramp_down
14.788,1.0819,15.1469,-0.17,-0.01,1.0999,15.3987,23.3671,47.69,17.8560,ramp_down
14.800,1.0819,15.1469,0.22,0.02,1.0880,15.2317,23.3671,47.69,17.6623,ramp_down
14.813,1.0737,15.0312,-0.38,-0.03,1.0866,15.2118,23.3671,47.69,17.6393,ramp_down
14.825,1.0654,14.9156,0.13,0.01,1.0793,15.1107,23.3671,47.72,17.5221,ramp_down
14.838,1.0571,14.8000,0.13,0.01,1.0793,15.1107,23.3671,47.72,17.5221,ramp_down
14.850,1.0571,14.8000,0.27,0.02,1.0649,14.9088,23.3671,47.69,17.2879,ramp_down
14.863,1.0489,14.6844,0.67,0.05,1.0569,14.7968,23.3671,47.72,17.1580,ramp_down
14.876,1.0406,14.5688,0.50,0.04,1.0499,14.6983,22.9375,47.70,17.0438,ramp_down
14.888,1.0324,14.4531,0.50,0.04,1.0499,14.6983,22.9375,47.70,17.0438,ramp_down
14.900,1.0324,14.4531,-0.00,-0.00,1.0368,14.5159,22.9375,47.74,16.8322,ramp_down
14.913,1.0241,14.3375,0.83,0.06,1.0360,14.5046,22.9375,47.70,16.8192,ramp_down
14.925,1.0158,14.2219,0.08,0.01,1.0319,14.4465,22.9375,47.72,16.7518,ramp_down
14.938,1.0076,14.1062,0.08,0.01,1.0319,14.4465,22.9375,47.72,16.7518,ramp_down
14.950,1.0076,14.1062,-0.43,-0.03,1.0134,14.1869,22.9375,47.72,16.4508,ramp_down
14.964,0.9993,13.9906,-2.69,-0.19,1.0087,14.1223,22.5141,47.72,16.3759,ramp_down
14.975,0.9911,13.8750,-6.44,-0.46,1.0059,14.0831,22.5141,47.74,16.3305,ramp_down
14.988,0.9828,13.7594,-6.44,-0.46,1.0059,14.0831,22.5141,47.74,16.3305,ramp_down
15.000,0.9828,13.7594,-32.02,-2.29,0.9858,13.8015,22.5141,47.77,16.0039,ramp_down
15.013,0.9746,13.6438,-52.70,-3.76,0.9530,13.3420,22.5141,47.67,15.4711,ramp_down
15.025,0.9663,13.5281,-45.73,-3.27,0.9448,13.2272,22.5141,47.70,15.3379,ramp_down
15.038,0.9580,13.4125,1.39,0.10,0.9663,13.5283,22.5141,47.72,15.6871,ramp_down
15.051,0.9498,13.2969,1.39,0.10,0.9663,13.5283,22.5141,47.72,15.6871,ramp_down
15.064,0.9498,13.2969,9.90,0.71,0.9620,13.4684,22.0036,47.72,15.6177,ramp_down
15.075,0.9415,13.1812,5.08,0.36,0.9560,13.3845,22.0036,47.70,15.5204,ramp_down
15.088,0.9333,13.0656,3.35,0.24,0.9439,13.2142,22.0036,47.70,15.3229,ramp_down
15.100,0.9250,12.9500,3.35,0.24,0.9439,13.2142,22.0036,47.70,15.3229,ramp_down
15.113,0.9250,12.9500,3.16,0.23,0.9307,13.0298,22.0036,47.70,15.1090,ramp_down
15.125,0.9167,12.8344,1.14,0.08,0.9207,12.8900,22.0036,47.70,14.9469,ramp_down
15.138,0.9085,12.7188,1.16,0.08,0.9176,12.8468,22.0036,47.72,14.8969,ramp_down
15.152,0.9002,12.6031,-0.04,-0.00,0.9119,12.7669,19.8293,47.70,14.8042,ramp_down
15.163,0.9002,12.6031,-0.04,-0.00,0.9119,12.7669,19.8293,47.70,14.8042,ramp_down
15.175,0.8920,12.4875,-0.17,-0.01,0.8961,12.5452,19.8293,47.72,14.5471,ramp_down
15.188,0.8837,12.3719,-0.48,-0.03,0.8899,12.4583,19.8293,47.74,14.4463,ramp_down
15.200,0.8754,12.2563,0.01,0.00,0.8904,12.4661,19.8293,47.72,14.4554,ramp_down
15.213,0.8672,12.1406,0.01,0.00,0.8904,12.4661,19.8293,47.72,14.4554,ramp_down
15.225,0.8672,12.1406,0.71,0.05,0.8804,12.3251,19.8293,47.70,14.2919,ramp_down
15.239,0.8589,12.0250,1.01,0.07,0.8735,12.2289,16.4956,47.70,14.1804,ramp_down
15.250,0.8507,11.9094,-0.30,-0.02,0.8593,12.0308,16.4956,47.72,13.9507,ramp_down
15.264,0.8424,11.7937,0.74,0.05,0.8538,11.9528,16.4956,47.72,13.8602,ramp_down
15.275,0.8424,11.7937,0.74,0.05,0.8538,11.9528,16.4956,47.72,13.8602,ramp_down
15.288,0.8342,11.6781,0.25,0.02,0.8426,11.7960,16.4956,47.74,13.6784,ramp_down
15.300,0.8259,11.5625,-0.17,-0.01,0.8424,11.7935,16.4956,47.76,13.5586,ramp_down
15.314,0.8176,11.4469,0.26,0.02,0.8265,11.5706,16.4956,47.70,13.4170,ramp_down
15.325,0.8176,11.4469,0.26,0.02,0.8265,11.5706,16.4956,47.70,13.4170,ramp_down
15.339,0.8094,11.3313,0.52,0.04,0.8210,11.4939,15.7286,47.74,13.3281,ramp_down
15.350,0.8011,11.2156,0.57,0.04,0.8146,11.4048,15.7286,47.70,13.2247,ramp_down
15.363,0.7929,11.1000,-0.34,-0.02,0.8047,11.2665,15.7286,47.72,13.0643,ramp_down
