time_s,cmd_motor_torque_nm,cmd_output_torque_nm,test_vel_motor_rpm,test_vel_output_rpm,test_torque_motor_nm,test_torque_output_nm,loadcell_torque_nm,test_voltage_v,test_q_A,motor_position_rev,motor_position_deg,output_position_deg,phase
5.300,2.6429,37.0000,0.51,0.04,2.6407,36.9691,38.6606,47.45,41.5978,0.345886,124.5190,8.8942,hold
5.313,2.6429,37.0000,0.01,0.00,2.6512,37.1162,38.6606,47.45,41.7632,0.345886,124.5190,8.8942,hold
5.325,2.6429,37.0000,0.37,0.03,2.6435,37.0091,38.6606,47.43,41.6428,0.345901,124.5245,8.8946,hold
5.339,2.6429,37.0000,-0.07,-0.01,2.6385,36.9395,38.6657,47.42,41.5645,0.345871,124.5135,8.8938,hold
5.350,2.6429,37.0000,-0.07,-0.01,2.6385,36.9395,38.6657,47.42,41.5645,0.345871,124.5135,8.8938,hold
5.363,2.6429,37.0000,-0.03,-0.00,2.6401,36.9614,38.6657,47.45,41.5891,0.345901,124.5245,8.8946,hold
5.375,2.6429,37.0000,-0.28,-0.02,2.6401,36.9614,38.6657,47.42,41.5891,0.345901,124.5245,8.8946,hold
5.388,2.6429,37.0000,-0.42,-0.03,2.6304,36.8261,38.6657,47.43,41.4369,0.345886,124.5190,8.8942,hold
5.400,2.6429,37.0000,-0.10,-0.01,2.6459,37.0428,38.6657,47.45,41.6808,0.345932,124.5355,8.8954,hold
5.413,2.6429,37.0000,-0.10,-0.01,2.6459,37.0428,38.6657,47.45,41.6808,0.345932,124.5355,8.8954,hold
5.426,2.6429,37.0000,-0.20,-0.01,2.6432,37.0054,38.6616,47.43,41.6386,0.345917,124.5300,8.8950,hold
5.438,2.6429,37.0000,-0.19,-0.01,2.6346,36.8844,38.6616,47.45,41.5025,0.345932,124.5355,8.8954,hold
5.450,2.6429,37.0000,-0.54,-0.04,2.6503,37.1045,38.6616,47.45,41.7501,0.345901,124.5245,8.8946,hold
5.464,2.6429,37.0000,-0.54,-0.04,2.6503,37.1045,38.6616,47.45,41.7501,0.345901,124.5245,8.8946,hold
5.475,2.6429,37.0000,0.22,0.02,2.6396,36.9540,38.6616,47.45,41.5808,0.345963,124.5465,8.8962,hold
5.488,2.6429,37.0000,-0.52,-0.04,2.6412,36.9763,38.6616,47.43,41.6059,0.345947,124.5410,8.8958,hold
5.500,2.6429,37.0000,0.15,0.01,2.6482,37.0750,38.6616,47.42,41.7169,0.345947,124.5410,8.8958,hold
5.516,2.6429,37.0000,0.15,0.01,2.6482,37.0750,38.5991,47.42,41.7169,0.345947,124.5410,8.8958,hold
5.525,2.6429,37.0000,-0.65,-0.05,2.6498,37.0973,38.5991,47.45,41.7420,0.345932,124.5355,8.8954,hold
5.538,2.6429,37.0000,0.85,0.06,2.6401,36.9620,38.5991,47.43,41.5898,0.346054,124.5795,8.8985,hold
5.550,2.6429,37.0000,-0.03,-0.00,2.6425,36.9953,38.5991,47.43,41.6272,0.345993,124.5575,8.8970,hold
5.563,2.6429,37.0000,0.02,0.00,2.6457,37.0402,38.5991,47.43,41.6777,0.345978,124.5520,8.8966,hold
5.575,2.6429,37.0000,0.02,0.00,2.6457,37.0402,38.5991,47.43,41.6777,0.345978,124.5520,8.8966,hold
5.588,2.6429,37.0000,-0.06,-0.00,2.6489,37.0851,38.5991,47.45,41.7283,0.346008,124.5630,8.8974,hold
5.600,2.6429,37.0000,0.28,0.02,2.6387,36.9420,38.5991,47.45,41.7030,0.346008,124.5630,8.8974,hold
5.614,2.6429,37.0000,0.47,0.03,2.6468,37.0552,38.5115,47.47,41.6946,0.346054,124.5795,8.8985,hold
5.626,2.6429,37.0000,0.47,0.03,2.6468,37.0552,38.5115,47.47,41.6946,0.346054,124.5795,8.8985,hold
5.638,2.6429,37.0000,0.21,0.01,2.6453,37.0348,38.5115,47.43,41.6717,0.346039,124.5740,8.8981,hold
5.650,2.6429,37.0000,0.29,0.02,2.6371,36.9192,38.5115,47.42,41.5416,0.346039,124.5740,8.8981,hold
5.663,2.6429,37.0000,0.63,0.05,2.6397,36.9557,38.5115,47.45,41.5826,0.346100,124.5959,8.8997,hold
5.677,2.6429,37.0000,-0.27,-0.02,2.6398,36.9572,38.5115,47.45,41.5844,0.346039,124.5740,8.8981,hold
5.688,2.6429,37.0000,-0.27,-0.02,2.6398,36.9572,38.5115,47.45,41.5844,0.346039,124.5740,8.8981,hold
5.701,2.6429,37.0000,0.45,0.03,2.6502,37.1027,38.4346,47.45,41.7482,0.346085,124.5905,8.8993,hold
5.713,2.6429,37.0000,0.12,0.01,2.6452,37.0324,38.4346,47.43,41.6690,0.346054,124.5795,8.8985,hold
5.725,2.6429,37.0000,-0.24,-0.02,2.6281,36.7938,38.4346,47.43,41.4005,0.346069,124.5850,8.8989,hold
5.738,2.6429,37.0000,-0.24,-0.02,2.6281,36.7938,38.4346,47.43,41.4005,0.346069,124.5850,8.8989,hold
5.750,2.6429,37.0000,-0.15,-0.01,2.6400,36.9597,38.4346,47.43,41.5872,0.346054,124.5795,8.8985,hold
5.763,2.6429,37.0000,0.30,0.02,2.6417,36.9843,38.4346,47.45,41.6149,0.346085,124.5905,8.8993,hold
5.775,2.6429,37.0000,-0.25,-0.02,2.6486,37.0800,38.4346,47.43,41.7226,0.346069,124.5850,8.8989,hold
5.791,2.6429,37.0000,0.93,0.07,2.6464,37.0492,38.3655,47.47,41.6878,0.346146,124.6124,8.9009,hold
5.800,2.6429,37.0000,0.93,0.07,2.6464,37.0492,38.3655,47.47,41.6878,0.346146,124.6124,8.9009,hold
5.813,2.6429,37.0000,-0.35,-0.02,2.6416,36.9825,38.3655,47.43,41.6129,0.346069,124.5850,8.8989,hold
5.825,2.6429,37.0000,-0.28,-0.02,2.6419,36.9868,38.3655,47.45,41.6177,0.346069,124.5850,8.8989,hold
5.838,2.6429,37.0000,-0.02,-0.00,2.6344,36.8815,38.3655,47.45,41.4992,0.346115,124.6014,8.9001,hold
5.851,2.6429,37.0000,-0.02,-0.00,2.6344,36.8815,38.3655,47.45,41.4992,0.346115,124.6014,8.9001,hold
5.863,2.6429,37.0000,-0.09,-0.01,2.6431,37.0033,38.3655,47.43,41.6363,0.346115,124.6014,8.9001,hold
5.875,2.6429,37.0000,0.00,0.00,2.6450,37.0300,38.3655,47.43,41.6663,0.346100,124.5959,8.8997,hold
5.889,2.6429,37.0000,-0.13,-0.01,2.6363,36.9077,38.3040,47.43,41.5287,0.346130,124.6069,8.9005,hold
5.901,2.6429,37.0000,-0.75,-0.05,2.6413,36.9782,38.3040,47.42,41.6080,0.346069,124.5850,8.8989,hold
5.913,2.6429,37.0000,-0.75,-0.05,2.6413,36.9782,38.3040,47.42,41.6080,0.346069,124.5850,8.8989,hold
5.925,2.6429,37.0000,-0.29,-0.02,2.6393,36.9507,38.3040,47.45,41.5770,0.346130,124.6069,8.9005,hold
5.938,2.6429,37.0000,-0.39,-0.03,2.6498,37.0970,38.3040,47.43,41.7417,0.346100,124.5959,8.8997,hold
5.950,2.6429,37.0000,0.90,0.06,2.6408,36.9707,38.3040,47.45,41.5996,0.346222,124.6399,8.9028,hold
5.963,2.6429,37.0000,0.90,0.06,2.6408,36.9707,38.3040,47.45,41.5996,0.346222,124.6399,8.9028,hold
5.976,2.6429,37.0000,0.42,0.03,2.6445,37.0232,38.2446,47.45,41.6586,0.346161,124.6179,8.9013,hold
5.988,2.6429,37.0000,0.71,0.05,2.6528,37.1388,38.2446,47.45,41.7887,0.346222,124.6399,8.9028,hold
6.000,2.6429,37.0000,-0.29,-0.02,2.6547,37.1662,38.2446,47.45,41.8196,0.346130,124.6069,8.9005,hold
6.014,2.6429,37.0000,-0.29,-0.02,2.6547,37.1662,38.2446,47.45,41.8196,0.346130,124.6069,8.9005,hold
6.025,2.6429,37.0000,-0.40,-0.03,2.6393,36.9509,38.2446,47.42,41.5773,0.346146,124.6124,8.9009,hold
6.038,2.6429,37.0000,-0.57,-0.04,2.6413,36.9785,38.2446,47.45,41.6084,0.346130,124.6069,8.9005,hold
6.050,2.6429,37.0000,0.21,0.01,2.6428,36.9996,38.2446,47.45,41.6322,0.346176,124.6234,8.9017,hold
6.064,2.6429,37.0000,-0.26,-0.02,2.6411,36.9755,38.2446,47.43,41.6049,0.346146,124.6124,8.9009,hold
6.076,2.6429,37.0000,-0.26,-0.02,2.6411,36.9755,38.1898,47.43,41.6049,0.346146,124.6124,8.9009,hold
6.088,2.6429,37.0000,-0.69,-0.05,2.6428,36.9986,38.1898,47.45,41.6310,0.346146,124.6124,8.9009,hold
6.100,2.6429,37.0000,0.22,0.02,2.6425,36.9956,38.1898,47.45,41.6276,0.346222,124.6399,8.9028,hold
6.113,2.6429,37.0000,0.09,0.01,2.6511,37.1153,38.1898,47.45,41.7623,0.346191,124.6289,8.9021,hold
6.125,2.6429,37.0000,0.09,0.01,2.6511,37.1153,38.1898,47.45,41.7623,0.346191,124.6289,8.9021,hold
6.138,2.6429,37.0000,-0.20,-0.01,2.6460,37.0433,38.1898,47.42,41.6813,0.346207,124.6344,8.9025,hold
6.150,2.6429,37.0000,-0.24,-0.02,2.6392,36.9487,38.1898,47.43,41.5748,0.346207,124.6344,8.9025,hold
6.164,2.6429,37.0000,0.35,0.02,2.6493,37.0904,38.1410,47.43,41.7343,0.346222,124.6399,8.9028,hold
6.175,2.6429,37.0000,0.35,0.02,2.6493,37.0904,38.1410,47.43,41.7343,0.346222,124.6399,8.9028,hold
6.188,2.6429,37.0000,-0.71,-0.05,2.6391,36.9471,38.1410,47.45,41.5730,0.346207,124.6344,8.9025,hold
6.200,2.6429,37.0000,0.11,0.01,2.6527,37.1376,38.1410,47.42,41.7874,0.346237,124.6454,8.9032,hold
6.213,2.6429,37.0000,-0.54,-0.04,2.6478,37.0685,38.1410,47.43,41.7097,0.346191,124.6289,8.9021,hold
6.225,2.6429,37.0000,0.34,0.02,2.6493,37.0897,38.1410,47.47,41.4382,0.346283,124.6619,8.9044,hold
6.240,2.6429,37.0000,0.34,0.02,2.6493,37.0897,38.1410,47.47,41.4382,0.346283,124.6619,8.9044,hold
6.251,2.6429,37.0000,-1.02,-0.07,2.6428,36.9997,38.0954,47.45,41.6322,0.346176,124.6234,8.9017,hold
6.263,2.6429,37.0000,0.00,0.00,2.6425,36.9945,38.0954,47.45,41.6264,0.346268,124.6564,8.9040,hold
6.275,2.6429,37.0000,-0.04,-0.00,2.6408,36.9713,38.0954,47.43,41.6003,0.346252,124.6509,8.9036,hold
6.289,2.6429,37.0000,-0.04,-0.00,2.6408,36.9713,38.0954,47.43,41.6003,0.346252,124.6509,8.9036,hold
6.300,2.6429,37.0000,-0.12,-0.01,2.6476,37.0659,38.0954,47.43,41.7067,0.346268,124.6564,8.9040,hold
6.313,2.6429,37.0000,-0.54,-0.04,2.6459,37.0426,38.0954,47.43,41.6805,0.346222,124.6399,8.9028,hold
6.325,2.6429,37.0000,0.58,0.04,2.6424,36.9943,38.0954,47.45,41.6261,0.346313,124.6729,8.9052,hold
6.338,2.6429,37.0000,0.58,0.04,2.6424,36.9943,38.0954,47.45,41.6261,0.346313,124.6729,8.9052,hold
6.352,2.6429,37.0000,-1.25,-0.09,2.6324,36.8543,38.0534,47.43,41.4686,0.346176,124.6234,8.9017,hold
6.363,2.6429,37.0000,0.34,0.02,2.6476,37.0659,38.0534,47.45,41.7067,0.346329,124.6783,8.9056,hold
6.375,2.6429,37.0000,-0.10,-0.01,2.6425,36.9945,38.0534,47.45,41.6263,0.346268,124.6564,8.9040,hold
6.388,2.6429,37.0000,0.17,0.01,2.6390,36.9465,38.0534,47.43,41.5724,0.346329,124.6783,8.9056,hold
6.400,2.6429,37.0000,0.17,0.01,2.6390,36.9465,38.0534,47.43,41.5724,0.346329,124.6783,8.9056,hold
6.413,2.6429,37.0000,0.42,0.03,2.6424,36.9942,38.0534,47.45,41.6260,0.346283,124.6619,8.9044,hold
6.425,2.6429,37.0000,0.32,0.02,2.6408,36.9708,38.0534,47.45,41.5997,0.346329,124.6783,8.9056,hold
6.439,2.6429,37.0000,-0.25,-0.02,2.6373,36.9225,38.0122,47.43,41.5454,0.346283,124.6619,8.9044,hold
6.452,2.6429,37.0000,-0.25,-0.02,2.6373,36.9225,38.0122,47.43,41.5454,0.346283,124.6619,8.9044,hold
6.463,2.6429,37.0000,0.53,0.04,2.6476,37.0663,38.0122,47.43,41.7072,0.346359,124.6893,8.9064,hold
6.475,2.6429,37.0000,-0.50,-0.04,2.6441,37.0180,38.0122,47.43,41.5725,0.346283,124.6619,8.9044,hold
6.488,2.6429,37.0000,-0.70,-0.05,2.6254,36.7556,38.0122,47.43,41.3575,0.346283,124.6619,8.9044,hold
6.501,2.6429,37.0000,-0.70,-0.05,2.6254,36.7556,38.0122,47.43,41.3575,0.346283,124.6619,8.9044,hold
6.513,2.6429,37.0000,0.43,0.03,2.6442,37.0190,38.0122,47.45,41.6540,0.346344,124.6838,8.9060,hold
6.525,2.6429,37.0000,0.36,0.03,2.6424,36.9939,38.0122,47.45,41.6256,0.346359,124.6893,8.9064,hold
6.539,2.6429,37.0000,0.56,0.04,2.6425,36.9945,37.9755,47.43,41.6263,0.346344,124.6838,8.9060,hold
6.551,2.6429,37.0000,-0.18,-0.01,2.6458,37.0417,37.9755,47.45,41.6795,0.346329,124.6783,8.9056,hold
6.563,2.6429,37.0000,-0.18,-0.01,2.6458,37.0417,37.9755,47.45,41.6795,0.346329,124.6783,8.9056,hold
6.575,2.6429,37.0000,-0.30,-0.02,2.6442,37.0184,37.9755,47.43,41.6533,0.346329,124.6783,8.9056,hold
6.588,2.6429,37.0000,-0.68,-0.05,2.6441,37.0180,37.9755,47.43,41.6528,0.346283,124.6619,8.9044,hold
6.600,2.6429,37.0000,0.02,0.00,2.6544,37.1617,37.9755,47.45,41.8145,0.346344,124.6838,8.9060,hold
6.613,2.6429,37.0000,0.02,0.00,2.6544,37.1617,37.9755,47.45,41.8145,0.346344,124.6838,8.9060,hold
6.626,2.6429,37.0000,0.57,0.04,2.6390,36.9460,37.9410,47.43,41.5717,0.346375,124.6948,8.9068,hold
6.638,2.6429,37.0000,-0.51,-0.04,2.6339,36.8750,37.9410,47.43,41.4919,0.346329,124.6783,8.9056,hold
6.650,2.6429,37.0000,0.98,0.07,2.6444,37.0218,37.9410,47.45,41.6571,0.346405,124.7058,8.9076,hold
6.663,2.6429,37.0000,0.98,0.07,2.6444,37.0218,37.9410,47.45,41.6571,0.346405,124.7058,8.9076,hold
6.675,2.6429,37.0000,-0.59,-0.04,2.6407,36.9701,37.9410,47.45,41.5989,0.346313,124.6729,8.9052,hold
6.688,2.6429,37.0000,0.92,0.07,2.6426,36.9963,37.9410,47.47,41.6284,0.346420,124.7113,8.9080,hold
6.700,2.6429,37.0000,-0.46,-0.03,2.6424,36.9939,37.9410,47.43,41.6257,0.346329,124.6783,8.9056,hold
6.714,2.6429,37.0000,0.36,0.03,2.6425,36.9956,37.9057,47.45,41.6276,0.346375,124.6948,8.9068,hold
6.725,2.6429,37.0000,0.36,0.03,2.6425,36.9956,37.9057,47.45,41.6276,0.346375,124.6948,8.9068,hold
6.738,2.6429,37.0000,-0.76,-0.05,2.6390,36.9464,37.9057,47.42,41.5722,0.346298,124.6674,8.9048,hold
6.750,2.6429,37.0000,0.30,0.02,2.6424,36.9940,37.9057,47.42,41.6258,0.346390,124.7003,8.9072,hold
6.763,2.6429,37.0000,0.35,0.02,2.6409,36.9731,37.9057,47.45,41.6023,0.346405,124.7058,8.9076,hold
6.776,2.6429,37.0000,0.35,0.02,2.6409,36.9731,37.9057,47.45,41.6023,0.346405,124.7058,8.9076,hold
6.788,2.6429,37.0000,0.28,0.02,2.6409,36.9721,37.9057,47.45,41.6012,0.346405,124.7058,8.9076,hold
6.800,2.6429,37.0000,-0.01,-0.00,2.6410,36.9738,37.9057,47.43,41.6031,0.346390,124.7003,8.9072,hold
6.814,2.6429,37.0000,0.18,0.01,2.6460,37.0442,37.8711,47.43,41.6822,0.346390,124.7003,8.9072,hold
6.825,2.6429,37.0000,0.18,0.01,2.6460,37.0442,37.8711,47.43,41.6822,0.346390,124.7003,8.9072,hold
6.838,2.6429,37.0000,0.78,0.06,2.6324,36.8541,37.8711,47.45,41.6295,0.346451,124.7223,8.9087,hold
6.850,2.6429,37.0000,-0.66,-0.05,2.6476,37.0659,37.8711,47.45,41.7067,0.346344,124.6838,8.9060,hold
6.863,2.6429,37.0000,0.34,0.02,2.6443,37.0208,37.8711,47.43,41.6560,0.346405,124.7058,8.9076,hold
6.875,2.6429,37.0000,-0.72,-0.05,2.6459,37.0427,37.8711,47.43,41.6806,0.346344,124.6838,8.9060,hold
6.888,2.6429,37.0000,-0.72,-0.05,2.6459,37.0427,37.8711,47.43,41.6806,0.346344,124.6838,8.9060,hold
6.901,2.6429,37.0000,-0.02,-0.00,2.6375,36.9253,37.8389,47.42,41.5485,0.346405,124.7058,8.9076,hold
6.913,2.6429,37.0000,0.66,0.05,2.6430,37.0016,37.8389,47.45,41.6343,0.346466,124.7278,8.9091,hold
6.925,2.6429,37.0000,0.28,0.02,2.6479,37.0709,37.8389,47.43,41.7123,0.346436,124.7168,8.9083,hold
6.938,2.6429,37.0000,-1.38,-0.10,2.6459,37.0420,37.8389,47.42,41.6798,0.346313,124.6729,8.9052,hold
6.950,2.6429,37.0000,-1.38,-0.10,2.6459,37.0420,37.8389,47.42,41.6798,0.346313,124.6729,8.9052,hold
6.963,2.6429,37.0000,0.71,0.05,2.6514,37.1199,37.8389,47.43,41.7675,0.346436,124.7168,8.9083,hold
6.975,2.6429,37.0000,-0.29,-0.02,2.6409,36.9721,37.8389,47.43,41.5748,0.346390,124.7003,8.9072,hold
6.993,2.6429,37.0000,0.94,0.07,2.6530,37.1417,37.8076,47.45,41.7920,0.346466,124.7278,8.9091,hold
7.000,2.6429,37.0000,0.94,0.07,2.6530,37.1417,37.8076,47.45,41.7920,0.346466,124.7278,8.9091,hold
7.013,2.6429,37.0000,-0.10,-0.01,2.6443,37.0199,37.8076,47.43,41.6549,0.346390,124.7003,8.9072,hold
7.025,2.6429,37.0000,-0.47,-0.03,2.6425,36.9948,37.8076,47.43,41.6267,0.346390,124.7003,8.9072,hold
7.038,2.6429,37.0000,-0.47,-0.03,2.6425,36.9948,37.8076,47.43,41.6267,0.346390,124.7003,8.9072,hold
7.050,2.6429,37.0000,-0.23,-0.02,2.6443,37.0208,37.8076,47.45,41.6559,0.346420,124.7113,8.9080,hold
7.063,2.6429,37.0000,-0.09,-0.01,2.6393,36.9497,37.8076,47.43,41.5760,0.346420,124.7113,8.9080,hold
7.075,2.6429,37.0000,0.55,0.04,2.6479,37.0709,37.8076,47.42,41.7123,0.346466,124.7278,8.9091,hold
7.091,2.6429,37.0000,0.00,0.00,2.6480,37.0721,37.7760,47.43,41.7137,0.346436,124.7168,8.9083,hold
7.100,2.6429,37.0000,0.00,0.00,2.6480,37.0721,37.7760,47.43,41.7137,0.346436,124.7168,8.9083,hold
7.113,2.6429,37.0000,-0.81,-0.06,2.6409,36.9730,37.7760,47.45,41.6022,0.346390,124.7003,8.9072,hold
7.125,2.6429,37.0000,0.26,0.02,2.6359,36.9030,37.7760,47.43,41.5234,0.346466,124.7278,8.9091,hold
7.138,2.6429,37.0000,-0.05,-0.00,2.6498,37.0969,37.7760,47.43,41.7415,0.346451,124.7223,8.9087,hold
7.150,2.6429,37.0000,-0.05,-0.00,2.6498,37.0969,37.7760,47.43,41.7415,0.346451,124.7223,8.9087,hold
7.163,2.6429,37.0000,0.42,0.03,2.6413,36.9786,37.7760,47.42,41.6085,0.346497,124.7388,8.9099,hold
7.176,2.6429,37.0000,1.19,0.09,2.6533,37.1464,37.7452,47.45,41.7996,0.346527,124.7498,8.9107,hold
7.188,2.6429,37.0000,0.28,0.02,2.6377,36.9274,37.7452,47.45,41.5509,0.346481,124.7333,8.9095,hold
7.201,2.6429,37.0000,0.28,0.02,2.6377,36.9274,37.7452,47.45,41.5509,0.346481,124.7333,8.9095,hold
7.213,2.6429,37.0000,-0.45,-0.03,2.6307,36.8299,37.7452,47.45,41.4411,0.346420,124.7113,8.9080,hold
7.225,2.6429,37.0000,0.40,0.03,2.6463,37.0477,37.7452,47.43,41.6862,0.346481,124.7333,8.9095,hold
7.238,2.6429,37.0000,-0.56,-0.04,2.6428,36.9987,37.7452,47.47,41.6310,0.346436,124.7168,8.9083,hold
7.251,2.6429,37.0000,1.26,0.09,2.6449,37.0281,37.7452,47.43,41.6641,0.346527,124.7498,8.9107,hold
7.263,2.6429,37.0000,1.26,0.09,2.6449,37.0281,37.7452,47.43,41.6641,0.346527,124.7498,8.9107,hold
7.276,2.6429,37.0000,-0.27,-0.02,2.6415,36.9803,37.7192,47.43,41.6104,0.346481,124.7333,8.9095,hold
7.288,2.6429,37.0000,0.28,0.02,2.6359,36.9030,37.7192,47.47,41.5234,0.346466,124.7278,8.9091,hold
7.300,2.6429,37.0000,0.23,0.02,2.6378,36.9290,37.7192,47.45,41.5526,0.346497,124.7388,8.9099,hold
7.314,2.6429,37.0000,0.23,0.02,2.6378,36.9290,37.7192,47.45,41.5526,0.346497,124.7388,8.9099,hold
7.325,2.6429,37.0000,0.92,0.07,2.6398,36.9576,37.7192,47.45,41.5848,0.346542,124.7552,8.9111,hold
7.338,2.6429,37.0000,0.23,0.02,2.6466,37.0530,37.7192,47.45,41.6922,0.346512,124.7443,8.9103,hold
7.350,2.6429,37.0000,0.18,0.01,2.6344,36.8813,37.7192,47.45,41.4990,0.346481,124.7333,8.9095,hold
7.365,2.6429,37.0000,0.18,0.01,2.6344,36.8813,37.6925,47.45,41.4990,0.346481,124.7333,8.9095,hold
7.375,2.6429,37.0000,-0.21,-0.01,2.6430,37.0015,37.6925,47.42,41.6343,0.346466,124.7278,8.9091,hold
7.388,2.6429,37.0000,-0.04,-0.00,2.6534,37.1481,37.6925,47.45,41.7992,0.346481,124.7333,8.9095,hold
7.400,2.6429,37.0000,-0.38,-0.03,2.6445,37.0232,37.6925,47.43,41.6586,0.346451,124.7223,8.9087,hold
7.413,2.6429,37.0000,1.01,0.07,2.6556,37.1779,37.6925,47.45,41.8328,0.346558,124.7607,8.9115,hold
7.425,2.6429,37.0000,1.01,0.07,2.6556,37.1779,37.6925,47.45,41.8328,0.346558,124.7607,8.9115,hold
7.438,2.6429,37.0000,-0.60,-0.04,2.6425,36.9952,37.6925,47.42,41.6271,0.346420,124.7113,8.9080,hold
7.451,2.6429,37.0000,-0.25,-0.02,2.6481,37.0741,37.6668,47.43,41.7159,0.346497,124.7388,8.9099,hold
7.463,2.6429,37.0000,-0.12,-0.01,2.6292,36.8090,37.6668,47.43,41.4177,0.346481,124.7333,8.9095,hold
7.475,2.6429,37.0000,-0.12,-0.01,2.6292,36.8090,37.6668,47.43,41.4177,0.346481,124.7333,8.9095,hold
7.488,2.6429,37.0000,-0.00,-0.00,2.6499,37.0988,37.6668,47.45,41.7437,0.346481,124.7333,8.9095,hold
7.500,2.6429,37.0000,-0.08,-0.01,2.6434,37.0073,37.6668,47.43,41.6408,0.346512,124.7443,8.9103,hold
7.513,2.6429,37.0000,-0.29,-0.02,2.6480,37.0724,37.6668,47.45,41.7140,0.346466,124.7278,8.9091,hold
7.525,2.6429,37.0000,-0.29,-0.02,2.6480,37.0724,37.6668,47.45,41.7140,0.346466,124.7278,8.9091,hold
7.538,2.6429,37.0000,0.15,0.01,2.6473,37.0625,37.6668,47.43,41.7029,0.346573,124.7662,8.9119,hold
7.551,2.6429,37.0000,0.95,0.07,2.6468,37.0551,37.6424,47.42,41.6945,0.346558,124.7607,8.9115,hold
7.563,2.6429,37.0000,-0.32,-0.02,2.6434,37.0073,37.6424,47.42,41.6408,0.346512,124.7443,8.9103,hold
7.575,2.6429,37.0000,-0.68,-0.05,2.6430,37.0014,37.6424,47.42,41.6341,0.346451,124.7223,8.9087,hold
7.588,2.6429,37.0000,-0.68,-0.05,2.6430,37.0014,37.6424,47.42,41.6341,0.346451,124.7223,8.9087,hold
7.600,2.6429,37.0000,-0.03,-0.00,2.6434,37.0074,37.6424,47.43,41.6409,0.346542,124.7552,8.9111,hold
7.613,2.6429,37.0000,0.37,0.03,2.6432,37.0050,37.6424,47.45,41.6382,0.346558,124.7607,8.9115,hold
7.625,2.6429,37.0000,-0.04,-0.00,2.6421,36.9894,37.6424,47.42,41.6207,0.346558,124.7607,8.9115,hold
7.641,2.6429,37.0000,-0.04,-0.00,2.6421,36.9894,37.6182,47.42,41.6207,0.346558,124.7607,8.9115,hold
7.650,2.6429,37.0000,-0.18,-0.01,2.6484,37.0779,37.6182,47.43,41.7202,0.346527,124.7498,8.9107,hold
7.663,2.6429,37.0000,-0.22,-0.02,2.6419,36.9869,37.6182,47.42,41.6178,0.346542,124.7552,8.9111,hold
7.675,2.6429,37.0000,-0.79,-0.06,2.6363,36.9079,37.6182,47.45,41.5290,0.346497,124.7388,8.9099,hold
7.688,2.6429,37.0000,0.28,0.02,2.6369,36.9168,37.6182,47.43,41.5389,0.346558,124.7607,8.9115,hold
7.700,2.6429,37.0000,0.28,0.02,2.6369,36.9168,37.6182,47.43,41.5389,0.346558,124.7607,8.9115,hold
7.713,2.6429,37.0000,0.07,0.00,2.6403,36.9643,37.6182,47.43,41.5924,0.346542,124.7552,8.9111,hold
7.725,2.6429,37.0000,-0.31,-0.02,2.6333,36.8666,37.6182,47.45,41.4824,0.346558,124.7607,8.9115,hold
7.739,2.6429,37.0000,0.45,0.03,2.6453,37.0348,37.5981,47.43,41.6717,0.346573,124.7662,8.9119,hold
7.751,2.6429,37.0000,0.45,0.03,2.6453,37.0348,37.5981,47.43,41.6717,0.346573,124.7662,8.9119,hold
7.763,2.6429,37.0000,0.65,0.05,2.6335,36.8687,37.5981,47.45,41.4848,0.346619,124.7827,8.9131,hold
7.775,2.6429,37.0000,0.54,0.04,2.6498,37.0969,37.5981,47.43,41.7415,0.346619,124.7827,8.9131,hold
7.788,2.6429,37.0000,-0.02,-0.00,2.6452,37.0324,37.5981,47.45,41.6690,0.346558,124.7607,8.9115,hold
7.802,2.6429,37.0000,-0.24,-0.02,2.6452,37.0324,37.5981,47.43,41.6690,0.346558,124.7607,8.9115,hold
7.813,2.6429,37.0000,-0.24,-0.02,2.6452,37.0324,37.5981,47.43,41.6690,0.346558,124.7607,8.9115,hold
7.826,2.6429,37.0000,0.11,0.01,2.6405,36.9671,37.5778,47.45,41.5955,0.346573,124.7662,8.9119,hold
7.838,2.6429,37.0000,-0.64,-0.05,2.6450,37.0302,37.5778,47.43,41.6665,0.346527,124.7498,8.9107,hold
7.850,2.6429,37.0000,0.54,0.04,2.6509,37.1132,37.5778,47.43,41.7599,0.346603,124.7772,8.9127,hold
7.864,2.6429,37.0000,0.54,0.04,2.6509,37.1132,37.5778,47.43,41.7599,0.346603,124.7772,8.9127,hold
7.875,2.6429,37.0000,-0.68,-0.05,2.6349,36.8892,37.5778,47.42,41.5079,0.346527,124.7498,8.9107,hold
7.888,2.6429,37.0000,0.71,0.05,2.6480,37.0717,37.5778,47.42,41.7132,0.346649,124.7937,8.9138,hold
7.900,2.6429,37.0000,-1.36,-0.10,2.6416,36.9823,37.5778,47.45,41.6127,0.346512,124.7443,8.9103,hold
7.917,2.6429,37.0000,-1.36,-0.10,2.6416,36.9823,37.5556,47.45,41.6127,0.346512,124.7443,8.9103,hold
7.925,2.6429,37.0000,0.57,0.04,2.6491,37.0879,37.5556,47.42,41.7314,0.346603,124.7772,8.9127,hold
7.938,2.6429,37.0000,-0.70,-0.05,2.6405,36.9672,37.5556,47.42,41.5956,0.346588,124.7717,8.9123,hold
7.950,2.6429,37.0000,-0.27,-0.02,2.6353,36.8941,37.5556,47.43,41.5134,0.346558,124.7607,8.9115,hold
