time_s,cmd_output_torque_nm,test_vel_output_rpm,test_torque_output_nm,load_cell_nm,test_voltage_v,test_temp_c,phase
0.681,4.0000,0.00,0.0000,2.5594,48.28,nan,ramp_up
0.682,4.0000,0.15,3.9645,2.5594,48.28,nan,ramp_up
0.682,4.0000,0.15,3.9645,2.5594,48.28,nan,ramp_up
0.682,4.0000,0.15,3.9645,2.5594,48.28,nan,ramp_up
0.682,4.0000,0.15,3.9645,2.5594,48.28,nan,ramp_up
0.682,4.0000,0.15,3.9645,2.5594,48.28,nan,ramp_up
0.682,4.0000,0.15,3.9645,2.5594,48.28,nan,ramp_up
0.682,4.0000,0.15,3.9645,2.5594,48.28,nan,ramp_up
0.682,4.0000,0.15,3.9645,2.5594,48.28,nan,ramp_up
0.682,4.0000,0.15,3.9645,2.5594,48.28,nan,ramp_up
0.682,4.0000,0.15,3.9645,2.5594,48.28,nan,ramp_up
0.682,4.0000,0.15,3.9645,2.5594,48.28,nan,ramp_up
0.682,4.0000,0.15,3.9645,2.5594,48.28,nan,ramp_up
0.682,4.0000,0.15,3.9645,2.5594,48.28,nan,ramp_up
0.682,4.0000,0.15,3.9645,2.5594,48.28,nan,ramp_up
0.682,4.0000,0.15,3.9645,2.5594,48.28,nan,ramp_up
0.682,4.0000,0.15,3.9645,2.5594,48.28,nan,ramp_up
0.682,4.0000,0.15,3.9645,2.5594,48.28,nan,ramp_up
0.682,4.0000,0.15,3.9645,2.5594,48.28,nan,ramp_up
0.682,4.0000,0.15,3.9645,2.5594,48.28,nan,ramp_up
0.682,4.0000,0.15,3.9645,2.5594,48.28,nan,ramp_up
0.683,4.0000,0.15,3.9645,2.5594,48.28,nan,ramp_up
0.683,4.0000,0.15,3.9645,2.5594,48.28,nan,ramp_up
0.683,4.0000,0.15,3.9645,2.5594,48.28,nan,ramp_up
0.683,4.0000,0.15,3.9645,2.5594,48.28,nan,ramp_up
0.683,4.0000,0.15,3.9645,2.5594,48.28,nan,ramp_up
0.683,4.0000,0.15,3.9645,2.5594,48.28,nan,ramp_up
0.683,4.0000,0.15,3.9645,2.5594,48.28,nan,ramp_up
0.683,4.0000,0.15,3.9645,2.5594,48.28,nan,ramp_up
0.683,4.0000,0.15,3.9645,2.5594,48.28,nan,ramp_up
0.683,4.0000,0.15,3.9645,2.5594,48.28,nan,ramp_up
0.683,4.0000,0.15,3.9645,2.5594,48.28,nan,ramp_up
0.683,4.0000,0.15,3.9645,2.5594,48.28,nan,ramp_up
0.683,4.0000,0.15,3.9645,2.5594,48.28,nan,ramp_up
0.683,4.0000,0.15,3.9645,2.5594,48.28,nan,ramp_up
0.683,4.0000,0.15,3.9645,2.5594,48.28,nan,ramp_up
0.683,4.0000,0.15,3.9645,2.5594,48.28,nan,ramp_up
0.683,4.0000,0.15,3.9645,2.5594,48.28,nan,ramp_up
0.683,4.0000,0.15,3.9645,2.5594,48.28,nan,ramp_up
0.683,4.0000,0.15,3.9645,2.5594,48.28,nan,ramp_up
0.683,4.0000,0.15,3.9645,2.5594,48.28,nan,ramp_up
0.683,4.0000,0.15,3.9645,2.5594,48.28,nan,ramp_up
0.683,4.0000,0.15,3.9645,2.5594,48.28,nan,ramp_up
0.683,4.0000,0.15,3.9645,2.5594,48.28,nan,ramp_up
0.683,4.0000,0.15,3.9645,2.5594,48.28,nan,ramp_up
0.683,4.0000,0.15,3.9645,2.5594,48.28,nan,ramp_up
0.683,4.0000,0.15,3.9645,2.5594,48.28,nan,ramp_up
0.683,4.0000,0.15,3.9645,2.5594,48.28,nan,ramp_up
0.683,4.0000,0.15,3.9645,2.5594,48.28,nan,ramp_up
0.683,4.0000,0.15,3.9645,2.5594,48.28,nan,ramp_up
0.683,4.0000,0.15,3.9645,2.5594,48.28,nan,ramp_up
0.683,4.0000,0.15,3.9645,2.5594,48.28,nan,ramp_up
0.684,4.0000,0.15,3.9645,2.5594,48.28,nan,ramp_up
0.684,4.0000,0.15,3.9645,2.5594,48.28,nan,ramp_up
0.684,4.0000,0.15,3.9645,2.5594,48.28,nan,ramp_up
0.688,4.1000,0.15,3.9645,2.5594,48.28,nan,ramp_up
0.700,4.1000,0.15,4.1067,2.5594,48.24,nan,ramp_up
0.713,4.2000,0.36,4.1493,2.5594,48.24,nan,ramp_up
0.725,4.3000,0.41,4.2409,2.5594,48.24,nan,ramp_up
0.738,4.4000,0.41,4.2409,2.5594,48.24,nan,ramp_up
0.751,4.4000,0.04,4.2654,2.8527,48.21,nan,ramp_up
0.763,4.5000,0.11,4.3464,2.8527,48.24,nan,ramp_up
0.775,4.6000,0.11,4.4311,2.8527,48.24,nan,ramp_up
0.788,4.7000,0.11,4.4311,2.8527,48.24,nan,ramp_up
0.800,4.7000,0.04,4.4824,2.8527,48.24,nan,ramp_up
0.813,4.8000,0.17,4.7837,2.8527,48.24,nan,ramp_up
0.825,4.9000,0.19,4.7286,2.8527,48.24,nan,ramp_up
0.839,4.9000,0.19,4.7286,3.2592,48.24,nan,ramp_up
0.850,5.0000,0.25,4.8682,3.2592,48.21,nan,ramp_up
0.863,5.1000,0.33,5.0574,3.2592,48.24,nan,ramp_up
0.876,5.2000,0.33,5.0574,3.2592,48.24,nan,ramp_up
0.888,5.2000,0.34,5.1153,3.2592,48.24,nan,ramp_up
0.900,5.3000,0.25,5.2215,3.2592,48.24,nan,ramp_up
0.913,5.4000,0.07,5.2562,3.2592,48.28,nan,ramp_up
0.925,5.5000,0.07,5.2562,3.2592,48.28,nan,ramp_up
0.939,5.5000,0.47,5.4076,3.6663,48.24,nan,ramp_up
0.950,5.6000,0.80,5.4312,3.6663,48.21,nan,ramp_up
0.963,5.7000,-0.00,5.6254,3.6663,48.24,nan,ramp_up
0.976,5.8000,-0.00,5.6254,3.6663,48.24,nan,ramp_up
0.988,5.8000,0.15,5.7736,3.6663,48.28,nan,ramp_up
1.000,5.9000,0.50,5.7420,3.6663,48.24,nan,ramp_up
1.013,6.0000,0.67,5.9379,3.6663,48.28,nan,ramp_up
1.028,6.1000,0.67,5.9379,4.0864,48.28,nan,ramp_up
1.038,6.1000,-0.00,6.0191,4.0864,48.24,nan,ramp_up
1.050,6.2000,0.01,6.1556,4.0864,48.28,nan,ramp_up
1.063,6.3000,0.11,6.2146,4.0864,48.24,nan,ramp_up
1.076,6.4000,0.11,6.2146,4.0864,48.24,nan,ramp_up
1.088,6.4000,0.15,6.3186,4.0864,48.24,nan,ramp_up
1.100,6.5000,0.23,6.2842,4.0864,48.24,nan,ramp_up
1.113,6.6000,0.32,6.5245,4.0864,48.24,nan,ramp_up
1.127,6.7000,0.32,6.5245,4.7727,48.24,nan,ramp_up
1.138,6.7000,0.12,6.6280,4.7727,48.28,nan,ramp_up
1.150,6.8000,0.07,6.7551,4.7727,48.24,nan,ramp_up
1.163,6.9000,0.06,6.8141,4.7727,48.24,nan,ramp_up
1.175,7.0000,0.06,6.8141,4.7727,48.24,nan,ramp_up
1.188,7.0000,0.10,6.8539,4.7727,48.28,nan,ramp_up
1.200,7.1000,0.01,6.9804,4.7727,48.21,nan,ramp_up
