time_s,cmd_output_torque_nm,test_vel_output_rpm,test_torque_output_nm,load_cell_nm,test_voltage_v,test_temp_c,phase
0.618,3.7000,0.01,0.0000,2.1519,48.24,nan,ramp_up
0.618,3.7000,0.10,3.6466,2.1519,48.21,nan,ramp_up
0.618,3.7000,0.10,3.6466,2.1519,48.21,nan,ramp_up
0.618,3.7000,0.10,3.6466,2.1519,48.21,nan,ramp_up
0.619,3.7000,0.10,3.6466,2.1519,48.21,nan,ramp_up
0.619,3.7000,0.10,3.6466,2.1519,48.21,nan,ramp_up
0.619,3.7000,0.10,3.6466,2.1519,48.21,nan,ramp_up
0.619,3.7000,0.10,3.6466,2.1519,48.21,nan,ramp_up
0.619,3.7000,0.10,3.6466,2.1519,48.21,nan,ramp_up
0.619,3.7000,0.10,3.6466,2.1519,48.21,nan,ramp_up
0.619,3.7000,0.10,3.6466,2.1519,48.21,nan,ramp_up
0.619,3.7000,0.10,3.6466,2.1519,48.21,nan,ramp_up
0.619,3.7000,0.10,3.6466,2.1519,48.21,nan,ramp_up
0.619,3.7000,0.10,3.6466,2.1519,48.21,nan,ramp_up
0.619,3.7000,0.10,3.6466,2.1519,48.21,nan,ramp_up
0.619,3.7000,0.10,3.6466,2.1519,48.21,nan,ramp_up
0.619,3.7000,0.10,3.6466,2.1519,48.21,nan,ramp_up
0.619,3.7000,0.10,3.6466,2.1519,48.21,nan,ramp_up
0.619,3.7000,0.10,3.6466,2.1519,48.21,nan,ramp_up
0.619,3.7000,0.10,3.6466,2.1519,48.21,nan,ramp_up
0.619,3.7000,0.10,3.6466,2.1519,48.21,nan,ramp_up
0.619,3.7000,0.10,3.6466,2.1519,48.21,nan,ramp_up
0.619,3.7000,0.10,3.6466,2.1519,48.21,nan,ramp_up
0.619,3.7000,0.10,3.6466,2.1519,48.21,nan,ramp_up
0.619,3.7000,0.10,3.6466,2.1519,48.21,nan,ramp_up
0.619,3.7000,0.10,3.6466,2.1519,48.21,nan,ramp_up
0.619,3.7000,0.10,3.6466,2.1519,48.21,nan,ramp_up
0.619,3.7000,0.10,3.6466,2.1519,48.21,nan,ramp_up
0.619,3.7000,0.10,3.6466,2.1519,48.21,nan,ramp_up
0.619,3.7000,0.10,3.6466,2.1519,48.21,nan,ramp_up
0.619,3.7000,0.10,3.6466,2.1519,48.21,nan,ramp_up
0.619,3.7000,0.10,3.6466,2.1519,48.21,nan,ramp_up
0.619,3.7000,0.10,3.6466,2.1519,48.21,nan,ramp_up
0.620,3.7000,0.10,3.6466,2.1519,48.21,nan,ramp_up
0.620,3.7000,0.10,3.6466,2.1519,48.21,nan,ramp_up
0.620,3.7000,0.10,3.6466,2.1519,48.21,nan,ramp_up
0.620,3.7000,0.10,3.6466,2.1519,48.21,nan,ramp_up
0.620,3.7000,0.10,3.6466,2.1519,48.21,nan,ramp_up
0.620,3.7000,0.10,3.6466,2.1519,48.21,nan,ramp_up
0.620,3.7000,0.10,3.6466,2.1519,48.21,nan,ramp_up
0.620,3.7000,0.10,3.6466,2.1519,48.21,nan,ramp_up
0.620,3.7000,0.10,3.6466,2.1519,48.21,nan,ramp_up
0.620,3.7000,0.10,3.6466,2.1519,48.21,nan,ramp_up
0.620,3.7000,0.10,3.6466,2.1519,48.21,nan,ramp_up
0.620,3.7000,0.10,3.6466,2.1519,48.21,nan,ramp_up
0.620,3.7000,0.10,3.6466,2.1519,48.21,nan,ramp_up
0.620,3.7000,0.10,3.6466,2.1519,48.21,nan,ramp_up
0.620,3.7000,0.10,3.6466,2.1519,48.21,nan,ramp_up
0.620,3.7000,0.10,3.6466,2.1519,48.21,nan,ramp_up
0.622,3.8000,0.10,3.6466,2.1519,48.21,nan,ramp_up
0.625,3.8000,0.19,3.7120,2.1519,48.21,nan,ramp_up
0.638,3.9000,0.19,3.7120,2.1519,48.21,nan,ramp_up
0.651,3.9000,0.29,3.7291,2.4942,48.21,nan,ramp_up
0.663,4.0000,0.63,3.7930,2.4942,48.21,nan,ramp_up
0.675,4.1000,0.21,4.0833,2.4942,48.21,nan,ramp_up
