time_s,cmd_output_torque_nm,test_vel_output_rpm,test_torque_output_nm,load_cell_nm,test_voltage_v,test_temp_c,phase
0.597,3.6000,0.00,0.0000,1.9259,48.28,nan,ramp_up
0.597,3.6000,0.61,3.5157,1.9259,48.28,nan,ramp_up
0.597,3.6000,0.61,3.5157,1.9259,48.28,nan,ramp_up
0.597,3.6000,0.61,3.5157,1.9259,48.28,nan,ramp_up
0.597,3.6000,0.61,3.5157,1.9259,48.28,nan,ramp_up
0.597,3.6000,0.61,3.5157,1.9259,48.28,nan,ramp_up
0.597,3.6000,0.61,3.5157,1.9259,48.28,nan,ramp_up
0.597,3.6000,0.61,3.5157,1.9259,48.28,nan,ramp_up
0.597,3.6000,0.61,3.5157,1.9259,48.28,nan,ramp_up
0.597,3.6000,0.61,3.5157,1.9259,48.28,nan,ramp_up
0.597,3.6000,0.61,3.5157,1.9259,48.28,nan,ramp_up
0.597,3.6000,0.61,3.5157,1.9259,48.28,nan,ramp_up
0.597,3.6000,0.61,3.5157,1.9259,48.28,nan,ramp_up
0.598,3.6000,0.61,3.5157,1.9259,48.28,nan,ramp_up
0.598,3.6000,0.61,3.5157,1.9259,48.28,nan,ramp_up
0.598,3.6000,0.61,3.5157,1.9259,48.28,nan,ramp_up
0.598,3.6000,0.61,3.5157,1.9259,48.28,nan,ramp_up
0.598,3.6000,0.61,3.5157,1.9259,48.28,nan,ramp_up
0.598,3.6000,0.61,3.5157,1.9259,48.28,nan,ramp_up
0.598,3.6000,0.61,3.5157,1.9259,48.28,nan,ramp_up
0.598,3.6000,0.61,3.5157,1.9259,48.28,nan,ramp_up
0.598,3.6000,0.61,3.5157,1.9259,48.28,nan,ramp_up
0.598,3.6000,0.61,3.5157,1.9259,48.28,nan,ramp_up
0.598,3.6000,0.61,3.5157,1.9259,48.28,nan,ramp_up
0.598,3.6000,0.61,3.5157,1.9259,48.28,nan,ramp_up
0.598,3.6000,0.61,3.5157,1.9259,48.28,nan,ramp_up
0.598,3.6000,0.61,3.5157,1.9259,48.28,nan,ramp_up
0.598,3.6000,0.61,3.5157,1.9259,48.28,nan,ramp_up
0.598,3.6000,0.61,3.5157,1.9259,48.28,nan,ramp_up
0.598,3.6000,0.61,3.5157,1.9259,48.28,nan,ramp_up
0.598,3.6000,0.61,3.5157,1.9259,48.28,nan,ramp_up
0.598,3.6000,0.61,3.5157,1.9259,48.28,nan,ramp_up
0.598,3.6000,0.61,3.5157,1.9259,48.28,nan,ramp_up
0.598,3.6000,0.61,3.5157,1.9259,48.28,nan,ramp_up
0.598,3.6000,0.61,3.5157,1.9259,48.28,nan,ramp_up
0.598,3.6000,0.61,3.5157,1.9259,48.28,nan,ramp_up
0.598,3.6000,0.61,3.5157,1.9259,48.28,nan,ramp_up
0.598,3.6000,0.61,3.5157,1.9259,48.28,nan,ramp_up
0.598,3.6000,0.61,3.5157,1.9259,48.28,nan,ramp_up
0.598,3.6000,0.61,3.5157,1.9259,48.28,nan,ramp_up
0.598,3.6000,0.61,3.5157,1.9259,48.28,nan,ramp_up
0.598,3.6000,0.61,3.5157,1.9259,48.28,nan,ramp_up
0.599,3.6000,0.61,3.5157,1.9259,48.28,nan,ramp_up
0.599,3.6000,0.61,3.5157,1.9259,48.28,nan,ramp_up
0.599,3.6000,0.61,3.5157,1.9259,48.28,nan,ramp_up
0.599,3.6000,0.61,3.5157,1.9259,48.28,nan,ramp_up
0.599,3.6000,0.61,3.5157,1.9259,48.28,nan,ramp_up
0.599,3.6000,0.61,3.5157,1.9259,48.28,nan,ramp_up
0.600,3.6000,0.61,3.5157,1.9259,48.28,nan,ramp_up
0.613,3.7000,1.23,3.6630,1.9259,48.24,nan,ramp_up
0.625,3.8000,-0.10,3.6924,1.9259,48.24,nan,ramp_up
0.639,3.9000,-0.10,3.6924,1.9259,48.24,nan,ramp_up
0.650,3.9000,0.11,3.6879,1.9259,48.28,nan,ramp_up
0.664,4.0000,0.00,3.9244,2.7370,48.24,nan,ramp_up
0.675,4.1000,0.12,3.9261,2.7370,48.24,nan,ramp_up
0.688,4.2000,0.12,3.9261,2.7370,48.24,nan,ramp_up
0.700,4.2000,0.13,4.1497,2.7370,48.21,nan,ramp_up
0.713,4.3000,0.17,4.1949,2.7370,48.28,nan,ramp_up
0.725,4.4000,0.31,4.1919,2.7370,48.24,nan,ramp_up
0.739,4.5000,0.31,4.1919,2.7370,48.24,nan,ramp_up
0.751,4.5000,0.22,4.3784,3.4843,48.28,nan,ramp_up
0.763,4.6000,0.08,4.5874,3.4843,48.24,nan,ramp_up
0.775,4.7000,0.11,4.5270,3.4843,48.24,nan,ramp_up
0.788,4.8000,0.11,4.5270,3.4843,48.24,nan,ramp_up
0.800,4.8000,0.09,4.6434,3.4843,48.21,nan,ramp_up
0.813,4.9000,0.07,4.7669,3.4843,48.24,nan,ramp_up
