time_s,cmd_output_torque_nm,test_vel_output_rpm,test_torque_output_nm,load_cell_nm,test_voltage_v,test_temp_c,phase
0.643,3.9000,0.00,0.0000,1.8862,48.24,nan,ramp_up
0.644,3.9000,0.03,3.7542,1.8862,48.21,nan,ramp_up
0.644,3.9000,0.03,3.7542,1.8862,48.21,nan,ramp_up
0.644,3.9000,0.03,3.7542,1.8862,48.21,nan,ramp_up
0.644,3.9000,0.03,3.7542,1.8862,48.21,nan,ramp_up
0.644,3.9000,0.03,3.7542,1.8862,48.21,nan,ramp_up
0.644,3.9000,0.03,3.7542,1.8862,48.21,nan,ramp_up
0.644,3.9000,0.03,3.7542,1.8862,48.21,nan,ramp_up
0.644,3.9000,0.03,3.7542,1.8862,48.21,nan,ramp_up
0.644,3.9000,0.03,3.7542,1.8862,48.21,nan,ramp_up
0.644,3.9000,0.03,3.7542,1.8862,48.21,nan,ramp_up
0.644,3.9000,0.03,3.7542,1.8862,48.21,nan,ramp_up
0.644,3.9000,0.03,3.7542,1.8862,48.21,nan,ramp_up
0.644,3.9000,0.03,3.7542,1.8862,48.21,nan,ramp_up
0.644,3.9000,0.03,3.7542,1.8862,48.21,nan,ramp_up
0.644,3.9000,0.03,3.7542,1.8862,48.21,nan,ramp_up
0.644,3.9000,0.03,3.7542,1.8862,48.21,nan,ramp_up
0.644,3.9000,0.03,3.7542,1.8862,48.21,nan,ramp_up
0.644,3.9000,0.03,3.7542,1.8862,48.21,nan,ramp_up
0.644,3.9000,0.03,3.7542,1.8862,48.21,nan,ramp_up
0.644,3.9000,0.03,3.7542,1.8862,48.21,nan,ramp_up
0.644,3.9000,0.03,3.7542,1.8862,48.21,nan,ramp_up
0.644,3.9000,0.03,3.7542,1.8862,48.21,nan,ramp_up
0.644,3.9000,0.03,3.7542,1.8862,48.21,nan,ramp_up
0.644,3.9000,0.03,3.7542,1.8862,48.21,nan,ramp_up
0.644,3.9000,0.03,3.7542,1.8862,48.21,nan,ramp_up
0.644,3.9000,0.03,3.7542,1.8862,48.21,nan,ramp_up
0.644,3.9000,0.03,3.7542,1.8862,48.21,nan,ramp_up
0.644,3.9000,0.03,3.7542,1.8862,48.21,nan,ramp_up
0.645,3.9000,0.03,3.7542,1.8862,48.21,nan,ramp_up
0.645,3.9000,0.03,3.7542,1.8862,48.21,nan,ramp_up
0.645,3.9000,0.03,3.7542,1.8862,48.21,nan,ramp_up
0.645,3.9000,0.03,3.7542,1.8862,48.21,nan,ramp_up
0.645,3.9000,0.03,3.7542,1.8862,48.21,nan,ramp_up
0.645,3.9000,0.03,3.7542,1.8862,48.21,nan,ramp_up
0.645,3.9000,0.03,3.7542,1.8862,48.21,nan,ramp_up
0.645,3.9000,0.03,3.7542,1.8862,48.21,nan,ramp_up
