time_s,cmd_output_torque_nm,test_vel_output_rpm,test_torque_output_nm,load_cell_nm,test_voltage_v,test_temp_c,phase
0.640,3.8000,0.02,0.0000,3.2776,48.28,nan,ramp_up
0.640,3.8000,0.22,3.7051,3.2776,48.28,nan,ramp_up
0.640,3.8000,0.22,3.7051,3.2776,48.28,nan,ramp_up
0.640,3.8000,0.22,3.7051,3.2776,48.28,nan,ramp_up
0.641,3.8000,0.22,3.7051,3.2776,48.28,nan,ramp_up
0.641,3.8000,0.22,3.7051,3.2776,48.28,nan,ramp_up
0.641,3.8000,0.22,3.7051,3.2776,48.28,nan,ramp_up
0.641,3.8000,0.22,3.7051,3.2776,48.28,nan,ramp_up
0.641,3.8000,0.22,3.7051,3.2776,48.28,nan,ramp_up
0.641,3.8000,0.22,3.7051,3.2776,48.28,nan,ramp_up
0.641,3.8000,0.22,3.7051,3.2776,48.28,nan,ramp_up
0.641,3.8000,0.22,3.7051,3.2776,48.28,nan,ramp_up
0.641,3.8000,0.22,3.7051,3.2776,48.28,nan,ramp_up
0.641,3.8000,0.22,3.7051,3.2776,48.28,nan,ramp_up
0.641,3.8000,0.22,3.7051,3.2776,48.28,nan,ramp_up
0.641,3.8000,0.22,3.7051,3.2776,48.28,nan,ramp_up
0.641,3.8000,0.22,3.7051,3.2776,48.28,nan,ramp_up
0.641,3.8000,0.22,3.7051,3.2776,48.28,nan,ramp_up
0.641,3.8000,0.22,3.7051,3.2776,48.28,nan,ramp_up
0.641,3.8000,0.22,3.7051,3.2776,48.28,nan,ramp_up
0.641,3.8000,0.22,3.7051,3.2776,48.28,nan,ramp_up
0.641,3.8000,0.22,3.7051,3.2776,48.28,nan,ramp_up
0.641,3.8000,0.22,3.7051,3.2776,48.28,nan,ramp_up
0.641,3.8000,0.22,3.7051,3.2776,48.28,nan,ramp_up
0.641,3.8000,0.22,3.7051,3.2776,48.28,nan,ramp_up
0.641,3.8000,0.22,3.7051,3.2776,48.28,nan,ramp_up
0.641,3.8000,0.22,3.7051,3.2776,48.28,nan,ramp_up
0.641,3.8000,0.22,3.7051,3.2776,48.28,nan,ramp_up
0.641,3.8000,0.22,3.7051,3.2776,48.28,nan,ramp_up
0.641,3.8000,0.22,3.7051,3.2776,48.28,nan,ramp_up
0.641,3.8000,0.22,3.7051,3.2776,48.28,nan,ramp_up
0.642,3.8000,0.22,3.7051,3.2776,48.28,nan,ramp_up
0.642,3.8000,0.22,3.7051,3.2776,48.28,nan,ramp_up
0.642,3.8000,0.22,3.7051,3.2776,48.28,nan,ramp_up
0.642,3.8000,0.22,3.7051,3.2776,48.28,nan,ramp_up
0.642,3.8000,0.22,3.7051,3.2776,48.28,nan,ramp_up
0.642,3.8000,0.22,3.7051,3.2776,48.28,nan,ramp_up
0.642,3.8000,0.22,3.7051,3.2776,48.28,nan,ramp_up
0.642,3.8000,0.22,3.7051,3.2776,48.28,nan,ramp_up
0.642,3.8000,0.22,3.7051,3.2776,48.28,nan,ramp_up
