time_s,load_velocity,load_torque,test_velocity,test_torque,loadcell_torque_nm,cmd_torque_nm,load_voltage,test_voltage,test_q_A,kp,kd
0.01,nan,nan,nan,nan,-0.02,nan,nan,nan,nan,nan,nan
0.05,nan,nan,nan,nan,-0.02,nan,48.10,nan,nan,nan,nan
0.09,nan,nan,nan,nan,-0.02,nan,48.10,nan,nan,nan,nan
0.13,nan,nan,nan,nan,-0.01,nan,48.10,nan,nan,nan,nan
0.17,nan,nan,nan,nan,-0.01,nan,48.10,nan,nan,nan,nan
0.21,nan,nan,nan,nan,0.00,nan,48.20,nan,nan,nan,nan
0.25,nan,nan,nan,nan,0.00,nan,48.20,nan,nan,nan,nan
0.29,nan,nan,nan,nan,0.00,nan,48.20,nan,nan,nan,nan
0.33,nan,nan,nan,nan,0.00,nan,48.10,nan,nan,nan,nan
0.37,nan,nan,nan,nan,0.00,nan,48.10,nan,nan,nan,nan
0.40,nan,nan,nan,nan,0.00,nan,48.10,nan,nan,nan,nan
0.45,nan,nan,nan,nan,0.00,nan,48.20,nan,nan,nan,nan
0.49,nan,nan,nan,nan,0.00,nan,48.20,nan,nan,nan,nan
0.53,nan,nan,nan,nan,0.00,0.02,48.20,nan,nan,nan,nan
0.57,0.00,-0.58,-0.06,0.09,0.00,0.06,48.10,48.24,0.096,nan,nan
0.61,0.00,-0.34,-0.02,-0.00,-0.01,0.09,48.10,48.21,-0.000,nan,nan
0.65,0.00,-0.77,-0.02,0.11,-0.03,0.11,47.70,48.22,0.130,nan,nan
0.69,-0.17,-0.60,-0.01,0.06,-0.06,0.15,47.70,48.22,0.065,nan,nan
0.72,-0.17,-0.94,0.02,0.13,-0.10,0.17,47.70,48.22,0.152,nan,nan
0.77,-0.17,-1.22,0.06,0.19,-0.17,0.20,47.70,48.21,0.212,nan,nan
0.81,-0.33,-1.58,0.08,0.28,-0.24,0.24,47.80,48.22,0.314,nan,nan
0.84,-0.67,-1.37,0.52,0.32,-0.33,0.26,47.80,48.22,0.357,nan,nan
0.88,-0.50,-2.14,0.17,0.25,-0.42,0.29,47.80,48.24,0.278,nan,nan
0.93,-0.33,-0.91,0.67,0.29,-0.54,0.33,47.80,48.21,0.332,nan,nan
0.96,-0.67,-0.77,2.15,0.04,-0.58,0.35,47.80,48.19,0.050,nan,nan
1.01,-0.83,-0.98,5.63,0.81,-0.36,0.39,47.80,48.22,0.916,nan,nan
1.05,-0.83,-0.98,-0.85,0.45,-0.07,0.41,47.70,48.22,0.512,nan,nan
1.09,-0.83,-1.06,-0.04,0.18,0.07,0.44,47.70,48.22,0.200,nan,nan
1.13,-1.00,-0.79,-0.01,0.44,0.08,0.47,47.70,48.22,0.495,nan,nan
1.17,-0.83,-0.96,0.13,0.44,0.08,0.50,47.80,48.22,0.500,nan,nan
1.21,-1.17,-0.53,0.43,0.44,0.02,0.53,47.80,48.22,0.503,nan,nan
1.25,-1.17,-1.32,0.87,0.61,-0.14,0.56,47.80,48.22,0.687,nan,nan
1.29,-1.33,-1.56,8.31,0.66,-0.24,0.59,47.80,48.22,0.743,nan,nan
1.33,-2.00,0.82,4.87,1.02,-0.06,0.61,47.80,48.22,1.155,nan,nan
1.37,-1.17,-0.38,-0.23,0.50,0.36,0.65,47.60,48.21,0.560,nan,nan
1.40,-1.50,-0.91,-0.05,0.50,0.56,0.68,47.60,48.21,0.570,nan,nan
1.44,-1.33,-0.86,0.08,0.70,0.41,0.70,47.60,48.24,0.791,nan,nan
1.49,-1.33,-1.42,0.03,0.66,0.22,0.74,47.60,48.21,0.741,nan,nan
1.53,-2.17,0.14,0.23,0.71,0.14,0.76,47.80,48.24,0.744,nan,nan
1.57,-1.50,-0.84,2.85,0.72,0.07,0.79,47.80,48.22,0.819,nan,nan
1.61,-1.83,-0.86,5.23,0.37,0.00,0.82,47.80,48.22,0.414,nan,nan
1.65,-2.83,1.94,1.96,1.28,0.17,0.85,47.60,48.21,1.448,nan,nan
1.68,-2.00,0.07,1.82,0.96,0.64,0.88,47.60,48.24,1.087,nan,nan
1.73,-1.67,-0.41,0.27,0.86,0.81,0.91,47.60,48.21,0.976,nan,nan
1.77,-2.17,-0.86,3.31,0.90,0.54,0.94,47.70,48.22,1.015,nan,nan
1.81,-2.33,-0.91,5.93,1.05,0.37,0.97,47.70,48.22,1.153,nan,nan
1.85,-2.17,0.22,1.65,1.03,0.55,1.00,47.70,48.24,1.163,nan,nan
1.89,-2.17,-0.79,2.10,0.93,0.67,1.02,47.70,48.22,1.052,nan,nan
1.93,-2.50,-0.19,4.75,0.81,0.54,1.06,47.70,48.24,0.920,nan,nan
1.96,-2.17,-0.60,1.01,1.00,0.58,1.09,47.80,48.22,1.133,nan,nan
2.00,-2.17,-0.98,3.05,1.04,0.67,1.11,47.80,48.24,1.176,nan,nan
2.05,-3.00,-0.24,7.18,1.31,0.54,1.15,47.80,48.22,1.488,nan,nan
2.08,-2.50,-0.67,1.53,1.16,0.62,1.17,47.80,48.22,1.309,nan,nan
2.12,-2.17,-0.91,4.09,0.91,0.72,1.20,47.80,48.22,1.025,nan,nan
2.17,-4.17,1.99,2.03,1.41,0.65,1.24,47.80,48.22,1.594,nan,nan
2.20,-3.17,-0.10,3.02,1.10,0.76,1.26,47.70,48.22,1.244,nan,nan
2.24,-3.33,0.07,8.20,1.45,0.73,1.29,47.70,48.24,1.636,nan,nan
2.29,-2.67,-0.29,0.38,1.23,0.77,1.32,47.70,48.21,1.394,nan,nan
2.32,-3.17,-0.43,5.87,1.18,0.82,1.35,47.70,48.22,1.333,nan,nan
2.36,-3.50,1.01,-0.41,1.38,0.80,1.38,47.70,48.24,1.557,nan,nan
2.40,-3.17,0.05,1.72,1.19,0.87,1.41,47.70,48.19,1.348,nan,nan
2.44,-4.50,2.33,4.15,1.65,0.77,1.44,47.70,48.21,1.869,nan,nan
2.49,-3.00,-0.24,0.92,1.27,0.86,1.48,47.70,48.22,1.433,nan,nan
2.53,-4.67,1.30,7.66,1.64,0.88,1.50,47.70,48.21,1.857,nan,nan
2.56,-3.17,0.07,0.81,1.44,0.90,1.52,47.70,48.22,1.630,nan,nan
2.60,-3.67,0.26,9.66,1.83,1.00,1.56,47.70,48.22,2.071,nan,nan
2.64,-3.50,-0.34,1.59,1.48,1.06,1.59,47.70,48.21,1.672,nan,nan
2.69,-4.67,1.39,9.05,1.87,1.00,1.62,47.70,48.21,2.117,nan,nan
2.72,-3.50,-0.29,4.08,1.36,1.03,1.65,47.70,48.22,1.543,nan,nan
