time_s,load_velocity,load_torque,test_velocity,test_torque,loadcell_torque_nm,cmd_torque_nm,load_voltage,test_voltage,test_q_A,kp,kd
0.02,0.00,0.00,0.05,-0.01,-0.02,0.00,47.80,48.24,-0.013,nan,nan
0.07,0.00,0.00,0.05,-0.01,-0.02,0.00,47.60,48.24,-0.013,nan,nan
0.11,0.00,0.00,0.05,-0.01,-0.02,0.00,47.60,48.24,-0.013,nan,nan
0.14,0.00,0.00,0.05,-0.01,-0.02,0.00,47.60,48.24,-0.013,nan,nan
0.19,0.00,0.00,0.05,-0.01,-0.02,0.00,47.70,48.24,-0.013,nan,nan
0.22,0.00,0.00,0.05,-0.01,-0.02,0.00,47.70,48.24,-0.013,nan,nan
0.27,0.00,0.00,0.05,-0.01,-0.02,0.00,47.70,48.24,-0.013,nan,nan
0.31,0.00,0.00,0.05,-0.01,-0.02,0.00,47.70,48.24,-0.013,nan,nan
0.34,0.00,0.00,0.05,-0.01,-0.02,0.00,47.70,48.24,-0.013,nan,nan
0.38,0.00,0.00,0.05,-0.01,-0.02,0.00,47.70,48.24,-0.013,nan,nan
0.42,0.00,0.00,0.05,-0.01,-0.02,0.00,47.70,48.24,-0.013,nan,nan
0.46,0.00,0.00,0.05,-0.01,-0.02,0.00,47.70,48.24,-0.013,nan,nan
0.50,0.00,0.00,0.05,-0.01,-0.02,0.01,47.70,48.24,-0.013,nan,nan
0.55,0.00,-0.58,-0.03,0.00,-0.02,0.02,47.80,48.22,1.372,nan,nan
0.58,0.00,-0.10,0.02,0.09,-0.02,0.04,47.80,48.24,0.100,nan,nan
0.62,-0.33,-0.22,0.03,0.01,-0.03,0.05,47.80,48.24,0.012,nan,nan
0.67,-0.17,-0.60,0.01,-0.07,-0.05,0.07,47.70,48.21,-0.084,nan,nan
0.70,-0.33,-1.34,0.07,0.11,-0.09,0.08,47.70,48.22,0.120,nan,nan
0.75,-0.50,-2.09,0.10,-0.05,-0.19,0.09,47.70,48.24,-0.060,nan,nan
0.79,-0.83,-2.09,0.61,0.11,-0.36,0.11,47.70,48.22,0.125,nan,nan
0.82,-1.33,-1.46,0.19,0.11,-0.54,0.12,47.70,48.24,0.128,nan,nan
0.86,-1.50,-1.39,2.12,0.03,-0.63,0.14,47.70,48.24,0.038,nan,nan
0.91,-1.67,-1.03,5.31,0.44,-0.60,0.16,47.70,48.26,0.494,nan,nan
0.94,-1.67,-0.94,0.13,0.05,-0.35,0.17,47.70,48.24,0.057,nan,nan
0.98,-1.67,-2.47,0.34,0.15,-0.20,0.18,47.70,48.24,0.167,nan,nan
1.03,-2.17,-1.49,4.39,-0.37,-0.37,0.20,47.70,48.24,-0.422,nan,nan
1.06,-2.67,-0.36,2.57,0.29,-0.51,0.21,47.70,48.24,0.326,nan,nan
1.11,-2.33,-1.15,0.21,0.20,-0.30,0.23,47.70,48.19,0.226,nan,nan
1.14,-2.67,-1.22,5.54,-0.05,-0.25,0.24,47.80,48.21,-0.054,nan,nan
1.18,-2.83,-0.74,4.72,0.35,-0.39,0.26,47.80,48.22,0.401,nan,nan
1.23,-3.00,-0.91,0.09,0.27,-0.29,0.28,47.60,48.21,0.300,nan,nan
1.26,-3.83,-0.36,7.52,0.42,-0.22,0.29,47.60,48.22,0.481,nan,nan
1.30,-3.83,-0.07,1.88,0.31,-0.24,0.31,47.60,48.22,0.355,nan,nan
1.34,-3.33,-1.08,5.28,0.42,-0.15,0.32,47.60,48.24,0.479,nan,nan
1.38,-4.00,-0.96,0.71,0.40,-0.06,0.33,47.70,48.22,0.451,nan,nan
1.43,-3.83,-2.02,6.21,0.02,-0.14,0.35,47.70,48.24,0.023,nan,nan
1.46,-4.67,-0.12,6.32,0.98,-0.23,0.36,47.70,48.24,1.114,nan,nan
1.50,-4.33,-0.79,2.25,0.42,-0.13,0.38,47.70,48.26,0.471,nan,nan
1.54,-4.67,-0.46,1.65,0.26,-0.03,0.39,47.70,48.24,0.267,nan,nan
1.58,-5.17,-0.26,5.38,0.29,-0.04,0.41,47.80,48.24,0.331,nan,nan
