time_s,load_velocity,load_torque,test_velocity,test_torque,loadcell_torque_nm,cmd_torque_nm,load_voltage,test_voltage,test_q_A,kp,kd
0.04,0.00,0.12,-0.06,-0.08,0.19,0.00,47.70,48.22,-0.093,nan,nan
0.08,0.00,0.12,-0.06,-0.08,0.18,0.00,48.60,48.22,-0.093,nan,nan
0.12,0.00,0.12,-0.06,-0.08,0.18,0.00,48.60,48.22,-0.093,nan,nan
0.16,0.00,0.12,-0.06,-0.08,0.17,0.00,48.60,48.22,-0.093,nan,nan
0.20,0.00,0.12,-0.06,-0.08,0.17,0.00,48.50,48.22,-0.093,nan,nan
0.24,0.00,0.12,-0.06,-0.08,0.17,0.00,48.50,48.22,-0.093,nan,nan
0.28,0.00,0.12,-0.06,-0.08,0.17,0.00,48.50,48.22,-0.093,nan,nan
0.32,0.00,0.12,-0.06,-0.08,0.17,0.00,48.60,48.22,-0.093,nan,nan
0.36,0.00,0.12,-0.06,-0.08,0.17,0.00,48.60,48.22,-0.093,nan,nan
0.40,0.00,0.12,-0.06,-0.08,0.16,0.00,48.60,48.22,-0.093,nan,nan
0.44,0.00,0.12,-0.06,-0.08,0.16,0.00,48.50,48.22,-0.093,nan,nan
0.48,0.00,0.12,-0.06,-0.08,0.16,0.00,48.50,48.22,-0.093,nan,nan
0.52,0.00,0.12,-0.06,-0.08,0.16,0.05,48.50,48.22,-0.093,nan,nan
0.56,0.00,0.17,0.04,-0.32,0.16,0.12,48.60,49.07,-0.361,nan,nan
0.60,0.00,-0.91,0.04,0.09,0.16,0.17,48.60,49.05,0.105,nan,nan
0.64,-0.17,-0.67,0.01,0.17,0.16,0.22,48.60,49.05,0.195,nan,nan
0.68,-0.50,-1.27,0.04,0.29,0.16,0.30,48.60,49.09,0.325,nan,nan
0.72,-0.83,-1.13,0.02,0.23,0.14,0.35,48.60,49.07,0.261,nan,nan
0.76,-1.00,-0.96,0.04,0.40,0.10,0.42,48.60,49.07,0.453,nan,nan
0.80,-1.33,0.00,-0.00,0.32,0.07,0.47,48.60,49.05,0.360,nan,nan
0.84,-1.33,-0.77,0.17,0.46,0.05,0.53,48.60,49.07,0.521,nan,nan
0.88,-1.50,-0.46,0.50,0.61,0.03,0.60,48.60,49.07,0.690,nan,nan
0.92,-1.33,-1.46,1.34,0.72,-0.03,0.65,48.50,49.05,0.819,nan,nan
0.96,-2.17,-0.14,2.72,0.59,-0.11,0.72,48.50,49.07,0.668,nan,nan
1.00,-2.00,-0.74,9.31,0.79,-0.10,0.77,48.50,49.05,0.899,nan,nan
1.04,-3.33,1.68,2.18,1.08,0.09,0.82,48.50,49.05,1.226,nan,nan
1.08,-1.83,-1.46,0.59,0.73,0.46,0.90,48.50,49.05,0.831,nan,nan
1.12,-2.33,-0.96,1.36,0.80,0.52,0.95,48.50,49.05,0.908,nan,nan
1.16,-3.17,0.05,4.40,0.49,0.28,1.02,48.50,49.07,0.559,nan,nan
1.20,-4.00,1.30,3.73,1.17,0.26,1.07,48.50,49.03,1.327,nan,nan
1.25,-2.83,-0.12,0.54,1.01,0.68,1.15,48.50,49.07,1.139,nan,nan
1.28,-3.33,-0.74,5.14,1.02,0.81,1.20,48.50,49.07,1.154,nan,nan
1.32,-4.50,2.04,6.44,1.23,0.56,1.25,48.50,49.05,1.533,nan,nan
1.36,-3.17,-0.34,0.77,1.18,0.64,1.32,48.50,49.07,1.340,nan,nan
1.40,-5.00,1.32,7.70,1.39,0.72,1.38,48.50,49.07,1.571,nan,nan
1.44,-3.83,-0.29,0.78,1.30,0.76,1.43,48.50,49.05,1.474,nan,nan
1.48,-4.67,0.43,10.62,1.57,0.79,1.50,48.50,49.07,1.776,nan,nan
1.52,-4.33,0.00,4.18,1.09,0.87,1.55,48.60,49.07,1.233,nan,nan
1.56,-5.17,1.03,3.22,1.62,0.97,1.60,48.60,49.05,1.835,nan,nan
1.60,-4.33,-0.86,8.23,1.85,1.04,1.67,48.60,49.07,2.088,nan,nan
1.64,-4.67,-0.38,2.41,1.41,1.08,1.73,48.60,49.05,1.592,nan,nan
1.68,-5.67,0.50,7.42,1.55,1.06,1.80,48.60,49.05,1.758,nan,nan
1.72,-4.83,0.31,2.25,1.83,1.20,1.85,48.50,49.07,2.068,nan,nan
1.76,-5.67,0.24,10.98,2.11,1.29,1.90,48.50,49.09,2.391,nan,nan
1.80,-5.50,0.50,2.59,1.61,1.21,1.98,48.50,49.07,1.822,nan,nan
1.84,-5.83,0.36,3.91,2.09,1.36,2.02,48.50,49.05,2.370,nan,nan
1.88,-6.50,1.51,5.98,2.22,1.48,2.08,48.50,49.03,2.518,nan,nan
1.92,-6.50,0.98,9.41,1.95,1.52,2.15,48.50,49.05,2.207,nan,nan
1.96,-7.00,1.39,8.60,2.17,1.59,2.20,48.50,49.07,2.458,nan,nan
2.00,-6.83,1.32,8.04,2.48,1.66,2.27,48.50,49.05,2.803,nan,nan
2.04,-6.83,0.86,10.42,1.97,1.72,2.32,48.50,49.05,2.228,nan,nan
2.08,-7.00,1.46,8.17,2.59,1.78,2.40,48.50,49.05,2.936,nan,nan
2.12,-7.00,1.46,11.61,2.03,1.86,2.45,48.60,49.07,2.294,nan,nan
