time_s,load_velocity,load_torque,test_velocity,test_torque,loadcell_torque_nm,cmd_torque_nm,load_voltage,test_voltage,test_q_A,kp,kd
0.04,0.00,-0.67,0.06,0.32,0.03,0.00,48.50,49.07,0.364,nan,nan
0.08,0.00,-0.67,0.06,0.32,0.03,0.00,48.50,49.07,0.364,nan,nan
0.12,0.00,-0.67,0.06,0.32,0.03,0.00,48.50,49.07,0.364,nan,nan
0.16,0.00,-0.67,0.06,0.32,0.03,0.00,48.50,49.07,0.364,nan,nan
0.20,0.00,-0.67,0.06,0.32,0.03,0.00,48.50,49.07,0.364,nan,nan
0.23,0.00,-0.67,0.06,0.32,0.03,0.00,48.50,49.07,0.364,nan,nan
0.28,0.00,-0.67,0.06,0.32,0.03,0.00,48.50,49.07,0.364,nan,nan
0.32,0.00,-0.67,0.06,0.32,0.03,0.00,48.50,49.07,0.364,nan,nan
0.35,0.00,-0.67,0.06,0.32,0.03,0.00,48.50,49.07,0.364,nan,nan
0.39,0.00,-0.67,0.06,0.32,0.03,0.00,48.50,49.07,0.364,nan,nan
0.44,0.00,-0.67,0.06,0.32,0.03,0.00,48.60,49.07,0.364,nan,nan
0.47,0.00,-0.67,0.06,0.32,0.03,0.00,48.60,49.07,0.364,nan,nan
0.52,0.00,-0.67,0.06,0.32,0.03,0.06,48.60,49.07,0.364,nan,nan
0.56,0.00,-0.22,-0.02,-0.29,0.03,0.13,48.60,49.07,-0.323,nan,nan
0.59,-0.33,-0.31,0.04,-0.15,0.03,0.19,48.60,49.07,-0.173,nan,nan
0.64,-0.83,-0.38,0.02,0.22,0.03,0.28,48.60,49.09,0.250,nan,nan
0.68,-1.50,-0.43,0.07,0.31,0.03,0.34,48.50,49.05,0.346,nan,nan
0.72,-1.50,-0.41,0.19,0.27,0.01,0.44,48.50,49.05,0.300,nan,nan
0.75,-2.00,-1.20,3.39,0.34,-0.05,0.50,48.60,49.05,0.386,nan,nan
0.79,-2.50,-0.62,3.10,0.43,-0.18,0.56,48.60,49.05,0.484,nan,nan
0.84,-3.00,-0.48,6.93,0.92,-0.19,0.66,48.60,49.09,1.039,nan,nan
0.87,-4.17,0.10,9.03,0.85,-0.08,0.72,48.60,49.07,0.964,nan,nan
0.91,-3.83,0.05,3.05,0.59,0.12,0.78,48.50,49.05,0.666,nan,nan
0.96,-4.17,0.53,2.18,0.85,0.37,0.88,48.50,49.09,0.962,nan,nan
1.00,-4.00,-1.25,2.93,0.67,0.37,0.94,48.50,49.09,0.763,nan,nan
1.03,-5.00,-0.98,10.78,0.82,0.21,1.00,48.50,49.07,0.930,nan,nan
1.07,-5.83,0.29,2.04,1.09,0.32,1.09,48.50,49.05,1.235,nan,nan
1.11,-5.50,-1.46,7.58,1.26,0.55,1.16,48.50,49.07,1.428,nan,nan
1.16,-6.83,1.01,9.52,1.40,0.52,1.25,48.50,49.07,1.584,nan,nan
1.20,-6.00,-0.67,5.46,0.83,0.67,1.31,48.50,49.07,0.935,nan,nan
1.23,-7.83,0.96,10.25,1.32,0.72,1.38,48.50,49.09,1.489,nan,nan
1.28,-7.00,0.62,2.84,1.24,0.80,1.47,48.60,49.05,1.399,nan,nan
1.31,-8.50,1.15,10.50,1.74,0.86,1.53,48.60,49.05,1.963,nan,nan
1.36,-8.00,0.36,5.75,1.46,0.94,1.62,48.60,49.09,1.651,nan,nan
1.39,-8.33,-0.05,9.07,1.74,1.02,1.69,48.60,49.05,1.971,nan,nan
1.44,-8.50,-0.58,10.29,1.42,1.09,1.75,48.60,49.05,1.605,nan,nan
1.48,-9.33,0.00,9.40,1.81,1.15,1.84,48.60,49.07,2.053,nan,nan
1.52,-10.17,1.56,10.67,2.19,1.21,1.91,48.60,49.05,2.476,nan,nan
1.55,-10.00,0.41,12.28,1.72,1.29,1.97,48.60,49.05,1.951,nan,nan
1.60,-10.00,0.12,11.26,1.93,1.34,2.06,48.60,49.03,2.189,nan,nan
1.63,-11.17,1.68,12.57,2.10,1.43,2.12,48.70,49.09,2.380,nan,nan
1.68,-11.00,0.77,11.44,2.01,1.52,2.22,48.70,49.07,2.280,nan,nan
1.71,-11.67,1.42,11.84,2.11,1.61,2.28,48.70,49.09,2.387,nan,nan
1.75,-12.67,1.39,12.01,1.91,1.70,2.34,48.60,49.09,2.167,nan,nan
1.80,-13.00,1.39,13.80,2.22,1.76,2.44,48.60,49.07,2.515,nan,nan
1.84,-13.00,1.34,13.36,2.53,1.82,2.50,48.60,49.03,2.862,nan,nan
1.87,-13.67,1.30,13.98,2.91,1.87,2.56,48.60,49.07,3.296,nan,nan
1.92,-13.67,1.42,13.76,2.52,1.95,2.66,48.60,49.09,2.849,nan,nan
1.95,-14.83,2.11,14.13,3.11,2.03,2.72,48.60,49.07,3.523,nan,nan
2.00,-14.50,1.25,15.09,3.41,2.11,2.81,48.60,49.03,3.862,nan,nan
2.04,-15.17,1.75,15.94,3.33,2.18,2.88,48.60,49.05,3.773,nan,nan
2.08,-15.50,2.18,15.62,2.18,2.27,2.94,48.60,49.07,2.463,nan,nan
2.12,-16.17,2.69,15.78,3.81,2.34,3.03,48.60,49.05,4.306,nan,nan
2.15,-16.33,1.97,17.19,2.51,2.39,3.09,48.60,49.09,3.003,nan,nan
2.20,-16.67,1.68,17.80,2.53,2.43,3.19,48.60,49.05,2.863,nan,nan
2.24,-17.50,2.45,18.10,3.44,2.50,3.25,48.60,49.05,3.889,nan,nan
2.27,-18.17,2.69,18.30,3.29,2.57,3.31,48.60,49.05,3.727,nan,nan
2.32,-18.00,2.11,18.54,3.28,2.67,3.41,48.60,49.05,3.708,nan,nan
2.35,-18.67,2.38,19.44,3.64,2.75,3.47,48.60,49.05,4.117,nan,nan
2.40,-18.67,1.80,19.51,3.51,2.81,3.53,48.60,49.05,3.971,nan,nan
2.44,-18.83,1.80,20.02,2.90,2.87,3.63,48.60,49.03,3.277,nan,nan
2.47,-19.83,2.66,19.79,3.65,2.95,3.69,48.50,49.05,4.129,nan,nan
2.52,-20.33,3.14,19.93,3.84,3.04,3.78,48.50,49.05,4.345,nan,nan
2.55,-20.67,3.00,20.92,3.39,3.11,3.84,48.50,49.05,3.834,nan,nan
2.59,-20.67,2.54,21.61,3.31,3.18,3.91,48.50,49.07,3.745,nan,nan
2.64,-21.50,2.66,20.99,3.05,3.22,4.00,48.50,49.05,3.454,nan,nan
2.68,-21.67,2.71,22.69,3.21,3.24,4.06,48.50,49.05,3.726,nan,nan
2.72,-22.17,2.83,22.12,4.57,3.27,4.16,48.50,49.05,5.167,nan,nan
2.76,-22.17,2.83,22.70,4.62,3.33,4.22,48.50,49.05,5.224,nan,nan
2.79,-22.83,3.50,23.20,4.51,3.39,4.28,48.50,49.03,5.221,nan,nan
2.84,-23.67,3.77,23.37,4.19,3.45,4.38,48.50,49.05,4.737,nan,nan
2.87,-23.83,2.90,24.11,4.89,3.51,4.44,48.50,49.05,5.533,nan,nan
2.92,-24.33,2.78,24.83,3.85,3.56,4.50,48.50,49.05,4.353,nan,nan
2.95,-24.50,3.60,24.44,5.07,3.62,4.59,48.50,49.03,5.740,nan,nan
3.00,-24.83,3.00,25.33,4.30,3.66,4.66,48.50,49.05,4.870,nan,nan
3.04,-25.50,3.65,25.96,4.67,3.73,4.75,48.50,49.03,5.282,nan,nan
3.08,-26.00,3.43,26.10,3.63,3.82,4.81,48.50,49.03,4.112,nan,nan
3.11,-26.33,3.70,26.92,4.84,3.90,4.88,48.50,49.05,5.472,nan,nan
3.16,-26.83,3.98,26.97,5.82,3.95,4.97,48.50,49.05,6.586,nan,nan
3.20,-27.50,3.79,26.86,5.44,4.02,5.03,48.60,49.05,6.155,nan,nan
3.24,-27.67,4.54,27.85,5.85,4.11,5.12,48.60,49.01,6.619,nan,nan
3.28,-28.00,3.79,28.28,5.43,4.19,5.19,48.60,49.05,6.148,nan,nan
3.32,-28.00,3.74,28.34,4.12,4.25,5.25,48.60,49.01,4.667,nan,nan
3.36,-28.50,4.06,29.10,4.97,4.32,5.34,48.60,49.05,5.626,nan,nan
3.40,-29.17,4.37,29.85,5.74,4.41,5.41,48.60,49.01,6.498,nan,nan
3.43,-29.83,4.44,29.83,4.88,4.48,5.47,48.60,49.03,5.525,nan,nan
3.48,-30.00,4.32,29.55,4.92,4.54,5.56,48.60,49.01,5.573,nan,nan
3.51,-30.67,4.80,30.28,4.81,4.62,5.62,48.60,49.03,5.447,nan,nan
3.56,-30.83,4.82,31.18,4.73,4.70,5.69,48.50,49.03,5.349,nan,nan
3.60,-31.00,4.61,31.16,6.29,4.76,5.78,48.50,49.05,7.122,nan,nan
3.64,-31.33,4.70,31.87,6.37,4.83,5.84,48.50,49.03,7.204,nan,nan
3.68,-31.83,3.82,32.11,6.64,4.92,5.94,48.50,49.05,7.508,nan,nan
3.72,-32.00,4.63,32.72,6.86,5.00,6.00,48.50,49.01,7.759,nan,nan
3.75,-33.33,5.16,32.70,6.57,5.06,6.06,48.50,49.05,7.438,nan,nan
3.80,-33.33,4.94,33.46,6.13,5.14,6.16,48.50,49.00,6.931,nan,nan
3.83,-33.67,4.94,33.46,4.99,5.22,6.22,48.50,49.05,5.648,nan,nan
3.87,-34.00,5.18,33.78,6.49,5.27,6.28,48.50,49.00,7.342,nan,nan
3.92,-34.67,5.14,34.48,6.11,5.35,6.38,48.60,49.03,6.918,nan,nan
3.96,-35.00,5.16,35.14,7.03,5.46,6.44,48.60,49.01,7.960,nan,nan
3.99,-35.00,4.73,34.58,7.20,5.52,6.50,48.60,49.01,8.143,nan,nan
4.04,-35.67,5.57,35.59,7.02,5.58,6.59,48.50,49.01,7.939,nan,nan
4.07,-36.00,5.14,35.70,7.05,5.65,6.66,48.50,49.03,7.978,nan,nan
4.12,-36.83,6.19,36.40,5.76,5.70,6.75,48.50,49.03,6.517,nan,nan
4.16,-36.83,5.42,37.46,6.22,5.76,6.81,48.50,49.00,7.036,nan,nan
4.20,-37.00,4.44,37.95,7.52,5.86,6.88,48.50,49.05,8.514,nan,nan
4.24,-38.00,6.10,37.03,6.78,5.94,6.97,48.50,49.03,7.676,nan,nan
4.28,-37.83,5.66,38.68,6.80,6.01,7.03,48.60,49.01,7.695,nan,nan
4.31,-38.67,6.67,38.56,7.55,6.09,7.09,48.60,49.00,8.539,nan,nan
4.36,-38.83,5.59,38.63,5.75,6.16,7.19,48.60,49.05,6.511,nan,nan
4.39,-39.00,5.26,39.67,7.55,6.22,7.25,48.50,49.03,8.538,nan,nan
4.44,-40.00,6.22,39.63,7.61,6.31,7.34,48.50,49.00,8.606,nan,nan
4.47,-40.67,6.24,40.14,7.47,6.37,7.41,48.50,49.05,8.455,nan,nan
4.52,-40.67,6.14,40.87,7.04,6.43,7.47,48.50,49.01,7.967,nan,nan
4.56,-41.00,6.65,40.38,7.08,6.50,7.56,48.50,49.01,8.008,nan,nan
4.60,-41.17,6.12,41.52,7.09,6.58,7.62,48.50,49.01,8.025,nan,nan
4.63,-42.17,7.22,42.35,7.31,6.66,7.69,48.50,49.01,8.277,nan,nan
4.68,-42.17,7.13,41.95,8.54,6.74,7.78,48.50,48.98,9.666,nan,nan
4.71,-42.83,7.97,43.19,8.96,6.83,7.84,48.60,49.01,10.138,nan,nan
4.76,-42.83,6.36,42.52,7.03,6.91,7.94,48.60,49.01,7.958,nan,nan
4.79,-42.83,6.36,43.56,6.43,6.98,8.00,48.60,49.05,7.273,nan,nan
4.83,-43.83,6.72,44.06,8.76,7.06,8.06,48.60,49.00,9.908,nan,nan
4.88,-43.83,6.29,44.04,7.58,7.14,8.16,48.60,48.98,8.577,nan,nan
4.91,-44.50,7.01,44.81,8.58,7.21,8.22,48.60,49.00,9.712,nan,nan
4.95,-45.33,7.49,44.84,7.87,7.28,8.28,48.60,49.01,8.907,nan,nan
4.99,-45.50,7.82,45.77,7.04,7.36,8.38,48.60,49.01,7.970,nan,nan
