time_s,load_velocity,load_torque,test_velocity,test_torque,loadcell_torque_nm,cmd_torque_nm,load_voltage,test_voltage,test_q_A,kp,kd
0.04,0.00,-0.82,-0.00,0.01,-0.37,0.00,47.80,48.26,0.010,nan,nan
0.08,0.00,-0.82,-0.00,0.01,-0.36,0.00,47.70,48.26,0.010,nan,nan
0.12,0.00,-0.82,-0.00,0.01,-0.29,0.00,47.70,48.26,0.010,nan,nan
0.16,0.00,-0.82,-0.00,0.01,-0.21,0.00,47.70,48.26,0.010,nan,nan
0.20,0.00,-0.82,-0.00,0.01,-0.19,0.00,47.70,48.26,0.010,nan,nan
0.24,0.00,-0.82,-0.00,0.01,-0.19,0.00,47.70,48.26,0.010,nan,nan
0.28,0.00,-0.82,-0.00,0.01,-0.18,0.00,47.70,48.26,0.010,nan,nan
0.32,0.00,-0.82,-0.00,0.01,-0.18,0.00,47.70,48.26,0.010,nan,nan
0.36,0.00,-0.82,-0.00,0.01,-0.18,0.00,47.70,48.26,0.010,nan,nan
0.40,0.00,-0.82,-0.00,0.01,-0.18,0.00,47.70,48.26,0.010,nan,nan
0.44,0.00,-0.82,-0.00,0.01,-0.18,0.00,47.70,48.26,0.010,nan,nan
0.48,0.00,-0.82,-0.00,0.01,-0.18,0.00,47.70,48.26,0.010,nan,nan
0.52,0.00,-0.82,-0.00,0.01,-0.19,0.03,47.70,48.26,0.010,nan,nan
0.56,0.00,-0.48,-0.02,0.22,-0.19,0.06,47.70,48.21,0.246,nan,nan
0.60,-0.17,-1.01,-0.02,0.06,-0.20,0.11,47.70,48.24,0.068,nan,nan
0.64,-0.50,-1.51,0.16,0.17,-0.24,0.14,47.80,48.22,0.195,nan,nan
0.68,-0.67,-2.06,0.71,0.17,-0.36,0.19,47.80,48.22,0.195,nan,nan
0.72,-0.83,-2.35,2.88,0.14,-0.56,0.22,47.80,48.22,0.164,nan,nan
0.76,-2.17,-0.48,5.48,0.51,-0.67,0.25,47.70,48.21,0.574,nan,nan
0.80,-2.00,-0.91,0.10,0.36,-0.43,0.30,47.70,48.22,0.405,nan,nan
0.84,-1.83,-1.27,0.48,0.35,-0.16,0.33,47.70,48.22,0.392,nan,nan
0.88,-2.67,-0.77,3.17,0.21,-0.20,0.36,47.70,48.22,0.239,nan,nan
0.92,-3.17,-0.77,6.93,0.45,-0.34,0.41,47.70,48.24,0.505,nan,nan
0.96,-3.00,-0.48,4.22,0.34,-0.22,0.44,47.70,48.24,0.384,nan,nan
1.00,-3.17,-0.53,3.46,0.48,-0.03,0.47,47.70,48.22,0.546,nan,nan
1.04,-3.67,-0.50,2.33,0.36,0.03,0.52,47.70,48.24,0.404,nan,nan
1.08,-3.83,-0.72,4.04,0.51,0.04,0.55,47.70,48.24,0.582,nan,nan
1.12,-4.00,-0.41,6.14,1.06,0.06,0.59,47.70,48.21,1.201,nan,nan
1.16,-4.33,-0.31,5.61,0.67,0.09,0.62,47.80,48.21,0.755,nan,nan
1.20,-5.17,0.58,5.15,0.69,0.15,0.67,47.80,48.21,0.778,nan,nan
1.24,-5.17,-0.70,4.52,0.67,0.21,0.70,47.80,48.21,0.760,nan,nan
1.28,-5.33,-0.62,6.34,0.91,0.26,0.73,47.80,48.24,1.029,nan,nan
1.32,-6.50,0.53,4.83,0.35,0.27,0.78,47.80,48.24,0.393,nan,nan
1.36,-6.50,0.70,4.90,0.39,0.32,0.81,47.70,48.24,0.444,nan,nan
1.40,-6.33,-0.70,6.72,0.74,0.37,0.84,47.70,48.21,0.832,nan,nan
1.44,-6.50,-0.22,8.21,0.75,0.41,0.89,47.70,48.22,0.846,nan,nan
1.48,-6.67,-0.48,7.98,1.00,0.44,0.92,47.70,48.22,1.133,nan,nan
1.52,-7.17,-0.62,9.27,0.87,0.47,0.97,47.70,48.24,0.986,nan,nan
1.56,-7.33,-0.55,7.64,0.97,0.50,1.00,47.70,48.22,1.101,nan,nan
1.60,-7.67,-0.12,8.97,1.12,0.54,1.03,47.70,48.21,1.269,nan,nan
1.64,-8.17,-0.07,9.54,0.95,0.57,1.08,47.70,48.22,1.075,nan,nan
1.68,-7.83,-0.84,7.51,0.99,0.61,1.11,47.70,48.22,1.123,nan,nan
1.72,-8.17,-0.86,8.79,1.19,0.66,1.16,47.70,48.24,1.351,nan,nan
1.76,-8.17,-0.86,10.48,1.37,0.70,1.19,47.70,48.22,1.553,nan,nan
1.80,-9.83,0.72,10.63,1.15,0.74,1.22,47.70,48.24,1.305,nan,nan
1.84,-10.00,1.46,10.06,1.16,0.78,1.27,47.80,48.24,1.309,nan,nan
1.88,-10.33,0.70,10.06,1.56,0.80,1.30,47.80,48.22,1.763,nan,nan
1.92,-10.50,0.67,10.46,1.25,0.81,1.33,47.80,48.22,1.416,nan,nan
1.96,-10.83,0.58,11.53,1.49,0.83,1.38,47.80,48.22,1.684,nan,nan
2.00,-11.17,1.49,11.70,1.59,0.86,1.41,47.70,48.21,1.796,nan,nan
2.04,-11.50,0.96,11.56,1.28,0.91,1.44,47.70,48.19,1.445,nan,nan
2.08,-11.33,0.58,11.25,1.81,0.95,1.48,47.70,48.24,2.046,nan,nan
2.12,-12.17,0.91,11.13,1.48,0.98,1.52,47.80,48.22,1.671,nan,nan
2.16,-11.67,-0.12,11.95,1.03,1.02,1.56,47.80,48.22,1.167,nan,nan
2.20,-12.00,0.17,11.60,1.11,1.05,1.59,47.80,48.22,1.256,nan,nan
2.24,-12.33,0.14,13.55,1.38,1.08,1.62,47.70,48.19,1.564,nan,nan
2.28,-13.33,1.06,12.97,1.77,1.10,1.67,47.70,48.21,2.003,nan,nan
2.32,-12.83,0.34,12.74,1.55,1.13,1.70,47.70,48.22,1.752,nan,nan
2.36,-13.17,-0.22,14.64,1.79,1.16,1.75,47.70,48.21,2.031,nan,nan
2.40,-13.67,0.05,13.28,1.35,1.20,1.78,47.70,48.24,1.531,nan,nan
2.44,-14.00,0.24,14.62,1.60,1.25,1.81,47.70,48.22,1.809,nan,nan
2.48,-14.50,1.15,13.65,1.63,1.29,1.84,47.80,48.22,1.845,nan,nan
2.52,-14.67,0.17,15.12,2.18,1.32,1.89,47.80,48.19,2.462,nan,nan
2.56,-15.00,0.14,15.42,2.34,1.35,1.92,47.80,48.21,2.653,nan,nan
2.60,-15.67,1.27,14.70,1.56,1.39,1.97,47.70,48.22,1.766,nan,nan
2.64,-15.50,0.65,15.98,1.78,1.43,2.00,47.70,48.21,2.018,nan,nan
2.68,-15.83,0.91,15.89,1.97,1.46,2.03,47.70,48.21,2.225,nan,nan
2.72,-16.00,0.98,15.89,1.63,1.50,2.08,47.70,48.24,1.850,nan,nan
2.76,-16.33,0.50,16.60,2.20,1.57,2.11,47.70,48.19,2.493,nan,nan
2.80,-16.50,0.89,17.14,1.91,1.62,2.14,47.70,48.19,2.160,nan,nan
2.84,-17.17,1.56,17.86,2.08,1.65,2.19,47.60,48.22,2.355,nan,nan
2.88,-17.33,1.18,18.01,2.45,1.67,2.22,47.60,48.21,2.776,nan,nan
2.92,-17.67,0.94,17.82,2.49,1.70,2.27,47.60,48.21,2.820,nan,nan
2.96,-17.67,1.10,17.58,2.77,1.73,2.30,47.70,48.21,3.133,nan,nan
3.00,-18.50,1.70,18.89,1.90,1.78,2.33,47.70,48.22,2.146,nan,nan
3.04,-18.67,1.39,18.96,2.01,1.82,2.36,47.70,48.22,2.277,nan,nan
3.08,-18.67,0.98,18.97,2.18,1.86,2.41,47.80,48.19,2.465,nan,nan
3.12,-19.00,0.74,19.27,2.72,1.88,2.44,47.80,48.24,3.074,nan,nan
3.17,-19.67,1.85,19.03,2.60,1.90,2.48,47.80,48.21,2.942,nan,nan
3.20,-19.67,1.18,19.63,3.10,1.94,2.52,47.70,48.19,3.513,nan,nan
3.24,-20.17,2.16,20.21,2.40,1.99,2.55,47.70,48.22,2.721,nan,nan
3.28,-19.83,0.60,20.29,2.41,2.04,2.59,47.70,48.19,2.726,nan,nan
3.32,-20.67,1.70,20.31,2.86,2.06,2.62,47.60,48.19,3.236,nan,nan
3.36,-21.17,0.98,21.47,2.71,2.09,2.66,47.60,48.21,3.068,nan,nan
3.40,-21.00,0.72,20.92,2.23,2.10,2.70,47.70,48.21,2.526,nan,nan
3.44,-21.67,2.23,22.18,2.85,2.15,2.73,47.70,48.19,3.220,nan,nan
3.48,-21.67,1.30,21.55,2.50,2.20,2.77,47.70,48.22,2.830,nan,nan
3.52,-21.67,1.13,22.01,3.70,2.25,2.81,47.70,48.19,4.191,nan,nan
3.56,-22.33,1.32,22.05,2.38,2.26,2.84,47.70,48.19,2.691,nan,nan
3.60,-22.83,2.26,22.94,2.11,2.28,2.88,47.70,48.21,2.389,nan,nan
3.64,-22.67,1.44,22.61,2.27,2.33,2.92,47.70,48.22,2.574,nan,nan
