time_s,load_velocity,load_torque,test_velocity,test_torque,loadcell_torque_nm,cmd_torque_nm,load_voltage,test_voltage,test_q_A,kp,kd
0.00,nan,nan,nan,nan,0.03,nan,nan,nan,nan,nan,nan
0.04,nan,nan,nan,nan,0.03,nan,48.10,nan,nan,nan,nan
0.08,nan,nan,nan,nan,0.03,nan,48.10,nan,nan,nan,nan
0.13,nan,nan,nan,nan,0.03,nan,48.10,nan,nan,nan,nan
0.16,nan,nan,nan,nan,0.03,nan,48.10,nan,nan,nan,nan
0.21,nan,nan,nan,nan,0.03,nan,48.10,nan,nan,nan,nan
0.25,nan,nan,nan,nan,0.03,nan,48.10,nan,nan,nan,nan
0.29,nan,nan,nan,nan,0.03,nan,48.10,nan,nan,nan,nan
0.32,nan,nan,nan,nan,0.03,nan,48.10,nan,nan,nan,nan
0.37,nan,nan,nan,nan,0.03,nan,48.10,nan,nan,nan,nan
0.40,nan,nan,nan,nan,0.03,nan,48.10,nan,nan,nan,nan
0.45,nan,nan,nan,nan,0.03,nan,48.10,nan,nan,nan,nan
0.48,nan,nan,nan,nan,0.03,nan,48.10,nan,nan,nan,nan
0.53,nan,nan,nan,nan,0.03,0.10,48.10,nan,nan,nan,nan
0.57,-0.17,-0.50,0.04,-0.02,0.03,0.25,48.20,48.24,-0.022,nan,nan
0.60,0.00,-0.77,0.06,0.20,0.03,0.35,48.20,48.22,0.227,nan,nan
0.64,0.00,-1.06,0.04,0.38,0.03,0.45,48.20,48.24,0.429,nan,nan
0.68,0.00,-1.22,0.09,0.26,0.03,0.60,47.70,48.24,0.299,nan,nan
0.72,-0.33,-1.18,1.57,0.44,0.03,0.70,47.70,48.24,0.501,nan,nan
0.77,-1.00,0.17,3.09,0.81,0.08,0.85,47.70,48.24,0.920,nan,nan
0.80,-0.33,-0.29,0.24,0.75,0.31,0.95,47.60,48.24,0.851,nan,nan
0.84,-0.67,0.24,0.21,1.00,0.43,1.05,47.60,48.24,1.141,nan,nan
0.89,-0.67,-0.55,1.54,0.90,0.34,1.20,47.60,48.24,1.027,nan,nan
0.92,-0.67,0.55,0.04,1.14,0.34,1.30,47.70,48.24,1.303,nan,nan
0.96,-0.83,0.00,2.34,1.09,0.59,1.40,47.70,48.22,1.241,nan,nan
1.00,-1.17,1.87,-0.20,1.41,0.89,1.55,47.70,48.24,1.564,nan,nan
1.04,-0.50,-0.07,0.09,1.43,1.12,1.65,47.70,48.22,1.637,nan,nan
1.09,-0.67,-0.17,1.13,1.41,1.07,1.80,47.70,48.24,1.615,nan,nan
1.12,-1.00,0.58,1.27,1.62,0.90,1.90,47.70,48.19,1.844,nan,nan
1.16,-1.50,1.73,2.38,1.88,0.89,2.00,47.70,48.22,2.147,nan,nan
1.20,-1.17,0.79,0.78,1.90,1.08,2.15,47.70,48.24,2.173,nan,nan
1.24,-0.67,1.30,-1.57,2.00,1.37,2.25,47.70,48.28,2.285,nan,nan
1.29,-1.00,1.34,0.18,2.43,1.60,2.40,47.70,48.22,2.770,nan,nan
1.32,-1.17,0.05,2.66,2.33,1.48,2.50,47.70,48.21,2.661,nan,nan
1.36,-2.17,2.38,1.33,2.60,1.36,2.60,47.70,48.22,2.973,nan,nan
1.40,-2.00,2.59,4.84,2.51,1.73,2.75,47.70,48.22,2.865,nan,nan
1.44,-1.17,1.27,0.17,2.73,2.15,2.85,47.70,48.24,3.115,nan,nan
1.49,-1.17,0.84,0.93,2.78,2.04,3.00,47.70,48.24,3.177,nan,nan
1.53,-2.67,3.00,4.34,2.90,1.78,3.10,47.70,48.22,3.307,nan,nan
1.56,-1.33,2.16,0.37,2.98,2.15,3.20,47.70,48.22,3.406,nan,nan
1.61,-1.67,2.21,1.03,3.14,2.60,3.35,47.70,48.22,3.582,nan,nan
1.64,-2.00,1.66,7.16,3.93,2.40,3.45,47.70,48.24,4.488,nan,nan
1.69,-2.33,2.35,-0.51,3.37,2.31,3.60,47.70,48.24,3.804,nan,nan
1.73,-2.17,1.99,0.39,3.64,2.65,3.70,47.70,48.24,4.153,nan,nan
1.76,-2.17,1.56,5.27,3.15,2.65,3.80,47.70,48.24,3.596,nan,nan
1.80,-3.17,4.06,1.59,3.88,2.53,3.90,47.70,48.22,4.430,nan,nan
1.84,-2.17,3.02,0.51,3.82,2.94,4.05,47.70,48.21,4.359,nan,nan
1.88,-1.83,0.43,3.09,3.93,2.99,4.15,47.70,48.22,4.482,nan,nan
1.93,-3.83,5.16,4.24,4.67,2.70,4.30,47.70,48.24,5.332,nan,nan
1.96,-2.00,1.97,0.70,4.17,3.01,4.40,47.70,48.24,4.757,nan,nan
2.00,-3.33,4.25,9.32,4.51,3.15,4.50,47.70,48.22,5.144,nan,nan
2.05,-2.50,3.77,0.02,4.32,3.22,4.65,47.70,48.24,4.933,nan,nan
2.08,-3.00,3.24,5.75,4.27,3.47,4.75,47.70,48.21,4.877,nan,nan
2.12,-3.33,4.13,0.83,4.91,3.45,4.85,47.70,48.24,5.603,nan,nan
2.17,-2.83,2.83,0.92,4.70,3.70,5.00,47.70,48.22,5.363,nan,nan
2.20,-4.00,5.26,5.11,5.06,3.78,5.10,47.70,48.21,5.780,nan,nan
2.25,-2.33,3.26,1.06,5.19,3.94,5.25,47.70,48.21,5.928,nan,nan
2.28,-3.83,5.40,8.69,4.93,4.05,5.35,47.70,48.24,5.629,nan,nan
2.33,-2.50,3.70,-0.42,5.13,4.11,5.45,47.70,48.22,5.859,nan,nan
2.37,-3.00,3.14,3.39,5.05,4.29,5.60,47.70,48.21,5.761,nan,nan
2.41,-2.67,4.01,-0.42,5.42,4.31,5.70,47.70,48.22,6.190,nan,nan
2.44,-3.17,3.43,3.48,5.35,4.44,5.80,47.70,48.22,6.164,nan,nan
2.49,-4.83,6.62,0.90,6.24,4.43,5.95,47.80,48.22,7.118,nan,nan
2.52,-3.00,3.12,5.30,5.08,4.53,6.05,47.80,48.19,5.802,nan,nan
2.57,-4.33,6.53,1.28,6.07,4.51,6.15,47.80,48.19,6.929,nan,nan
2.61,-3.33,3.94,6.68,5.94,4.87,6.30,47.70,48.19,6.785,nan,nan
2.64,-2.50,3.02,1.45,6.37,5.28,6.40,47.70,48.22,7.277,nan,nan
2.68,-4.50,5.71,10.82,5.82,5.26,6.50,47.70,48.24,6.639,nan,nan
2.73,-4.00,6.26,0.80,6.32,5.23,6.65,47.70,48.21,7.210,nan,nan
2.76,-3.00,3.96,1.21,6.44,5.58,6.75,47.70,48.24,7.346,nan,nan
2.81,-5.00,6.55,9.78,7.90,5.56,6.90,47.70,48.24,9.015,nan,nan
2.84,-3.83,5.90,-0.35,6.67,5.71,7.00,47.70,48.21,7.613,nan,nan
2.88,-3.50,2.98,1.39,6.68,5.91,7.10,47.70,48.22,7.625,nan,nan
2.93,-6.50,8.81,11.28,7.50,5.54,7.25,47.70,48.22,8.558,nan,nan
2.96,-3.83,5.26,5.97,6.35,5.78,7.35,47.60,48.22,7.252,nan,nan
3.00,-5.17,7.49,2.91,7.67,6.13,7.45,47.60,48.24,8.759,nan,nan
3.05,-3.83,5.23,6.35,6.70,6.23,7.60,47.60,48.24,7.647,nan,nan
3.08,-4.67,7.08,6.15,7.93,6.27,7.70,47.70,48.19,9.048,nan,nan
3.12,-3.33,4.54,1.08,7.45,6.54,7.80,47.70,48.22,8.500,nan,nan
3.17,-6.33,7.85,13.02,7.50,6.43,7.95,47.70,48.19,8.559,nan,nan
3.20,-4.33,5.50,2.18,7.57,6.59,8.05,47.70,48.26,8.641,nan,nan
3.25,-6.17,8.57,11.79,8.72,6.79,8.20,47.70,48.22,9.951,nan,nan
3.28,-4.00,5.54,2.23,8.36,6.96,8.30,47.60,48.21,9.548,nan,nan
3.32,-5.33,6.19,12.97,8.54,7.04,8.40,47.60,48.19,9.743,nan,nan
3.37,-5.50,9.05,-2.99,8.13,7.05,8.55,47.60,48.24,9.276,nan,nan
3.40,-6.33,8.88,11.49,9.67,7.27,8.65,47.70,48.26,11.037,nan,nan
3.44,-5.67,8.98,-2.40,8.54,7.45,8.75,47.70,48.21,9.753,nan,nan
3.48,-4.50,5.28,3.34,8.49,7.54,8.90,47.70,48.21,9.692,nan,nan
3.52,-5.50,8.69,-3.14,8.52,7.37,9.00,47.60,48.22,9.724,nan,nan
3.57,-5.83,7.78,12.30,9.27,7.58,9.15,47.60,48.15,10.585,nan,nan
3.60,-5.00,7.90,0.12,8.72,7.85,9.25,47.60,48.22,9.950,nan,nan
3.64,-5.67,7.34,13.53,8.29,7.98,9.35,47.60,48.21,9.461,nan,nan
3.69,-6.17,9.55,0.26,9.29,7.96,9.50,47.70,48.22,10.603,nan,nan
3.72,-7.50,10.27,11.97,9.70,8.07,9.60,47.70,48.24,11.075,nan,nan
3.77,-5.00,8.04,1.85,8.98,8.22,9.75,47.70,48.22,10.251,nan,nan
3.81,-5.00,6.58,18.22,10.10,8.14,9.85,47.80,48.19,11.529,nan,nan
3.84,-5.67,9.96,-1.60,9.56,8.04,9.95,47.80,48.21,10.910,nan,nan
3.89,-4.83,6.94,8.59,9.53,8.56,10.10,47.80,48.19,10.873,nan,nan
3.92,-7.83,11.57,1.14,10.00,8.71,10.20,47.70,48.19,11.410,nan,nan
3.96,-7.17,10.03,14.90,11.60,8.78,10.30,47.70,48.19,13.242,nan,nan
4.00,-5.50,8.83,-1.87,9.93,8.94,10.45,47.70,48.22,11.334,nan,nan
