time_s,odrive_pos_rad,output_pos_rad,diff_rad
4.613474,25.115614,3.072180,22.043434
4.614222,25.116248,3.071413,22.044835
4.617824,25.115730,3.071797,22.043933
4.620985,25.115903,3.071413,22.044490
4.620985,25.115903,3.071413,22.044490
4.627344,25.116594,3.071797,22.044797
4.630123,25.116855,3.071413,22.045442
4.633402,25.117673,3.071413,22.046260
4.635916,25.118297,3.071413,22.046884
4.639426,25.119313,3.071413,22.047900
4.642517,25.120504,3.071413,22.049091
4.645719,25.121761,3.071413,22.050348
4.648474,25.123394,3.071030,22.052364
4.653274,25.125931,3.070646,22.055285
4.654748,25.126737,3.070646,22.056091
4.657951,25.130367,3.070263,22.060104
4.663481,25.134317,3.069879,22.064438
4.664461,25.141535,3.069496,22.072039
4.667854,25.148477,3.069112,22.079364
4.670897,25.154025,3.068345,22.085680
4.674215,25.163789,3.068345,22.095444
4.676909,25.172610,3.067578,22.105032
4.679779,25.179770,3.066811,22.112959
4.683079,25.191722,3.066428,22.125294
4.685692,25.201198,3.065277,22.135921
4.689222,25.216918,3.064510,22.152408
4.692467,25.231461,3.062976,22.168485
4.695374,25.245228,3.062593,22.182636
4.698088,25.253938,3.061826,22.192112
4.700979,25.265440,3.061059,22.204381
4.704217,25.275252,3.059908,22.215343
4.706800,25.282035,3.059525,22.222510
4.709828,25.294402,3.058758,22.235645
4.713051,25.302495,3.058374,22.244121
4.715729,25.315588,3.057224,22.258364
4.718963,25.327593,3.056457,22.271136
4.723437,25.348655,3.054923,22.293732
4.725318,25.360418,3.054156,22.306262
4.728261,25.379601,3.052622,22.326980
4.733490,25.398872,3.051088,22.347784
4.734514,25.418981,3.048787,22.370195
4.737643,25.437536,3.048403,22.389133
4.740594,25.455878,3.046869,22.409009
4.744112,25.474885,3.046102,22.428783
4.746401,25.492370,3.044952,22.447418
4.749412,25.509106,3.043418,22.465688
4.752508,25.526093,3.041884,22.484210
4.755447,25.542931,3.041500,22.501431
4.758533,25.557213,3.040350,22.516864
4.763154,25.583468,3.038432,22.545035
4.764428,25.596330,3.036898,22.559432
4.767704,25.619759,3.034981,22.584778
4.770751,25.644935,3.034214,22.610721
4.774318,25.672487,3.032297,22.640190
4.776538,25.697270,3.029996,22.667275
4.779620,25.724148,3.027311,22.696837
4.782830,25.749443,3.025394,22.724050
4.785592,25.772513,3.024243,22.748270
4.788621,25.793315,3.022326,22.770989
4.793205,25.818922,3.021559,22.797363
4.794637,25.831883,3.019641,22.812242
4.798100,25.853625,3.018107,22.835518
4.801142,25.878280,3.016957,22.861323
4.804578,25.908591,3.015423,22.893168
4.807158,25.937365,3.012738,22.924627
4.810209,25.966088,3.010054,22.956034
4.814082,26.000777,3.008520,22.992257
4.816468,26.029308,3.006219,23.023089
4.819371,26.058921,3.003534,23.055387
4.823062,26.087129,3.001233,23.085896
4.825545,26.110903,2.999316,23.111587
4.828808,26.140914,2.997398,23.143516
4.833098,26.186925,2.995097,23.191827
4.834873,26.204422,2.991646,23.212776
4.838247,26.237537,2.989729,23.247808
4.841237,26.265412,2.988195,23.277218
4.844483,26.296523,2.985894,23.310630
4.847623,26.324842,2.983209,23.341633
4.850487,26.353305,2.981292,23.372013
4.854119,26.389326,2.979758,23.409568
4.856803,26.420974,2.976690,23.444284
4.859745,26.457220,2.973238,23.483982
4.862878,26.495476,2.970170,23.525306
4.865764,26.527088,2.967869,23.559218
4.868983,26.563804,2.965568,23.598236
4.873182,26.610750,2.962884,23.647866
4.874816,26.633196,2.960199,23.672997
4.878259,26.667873,2.957515,23.710358
4.881328,26.704308,2.954830,23.749477
4.884223,26.736893,2.952913,23.783980
4.887190,26.771503,2.949845,23.821658
4.890159,26.806179,2.946777,23.859402
4.893317,26.840577,2.943326,23.897252
4.896144,26.878990,2.940641,23.938348
4.899638,26.920755,2.938340,23.982414
4.902832,26.960285,2.934889,24.025396
4.905696,26.996804,2.931821,24.064983
4.908956,27.034021,2.929520,24.104501
4.913056,27.089573,2.926835,24.162738
4.914832,27.113629,2.923000,24.190628
4.918507,27.157509,2.919549,24.237960
4.921776,27.199217,2.918015,24.281202
4.924504,27.240497,2.913030,24.327467
4.928057,27.279757,2.910729,24.369029
