time_s,odrive_pos_rad,output_pos_rad,diff_rad
3.728245,60.468756,2.640748,57.828008
3.742346,60.469157,2.641131,57.828026
3.746068,60.468953,2.641131,57.827822
3.749258,60.468995,2.641515,57.827480
3.752008,60.469229,2.640748,57.828481
3.754778,60.469948,2.640748,57.829200
3.758196,60.470014,2.641131,57.828883
3.760978,60.470302,2.640748,57.829554
3.764289,60.471638,2.640748,57.830890
3.769057,60.473495,2.640748,57.832748
3.770205,60.475359,2.640748,57.834611
3.773843,60.478355,2.640364,57.837991
3.777318,60.485582,2.640364,57.845217
3.780650,60.490165,2.639597,57.850568
3.784079,60.496583,2.638830,57.857753
3.788274,60.508579,2.638063,57.870516
3.789778,60.515548,2.637680,57.877868
3.793647,60.522691,2.637296,57.885394
3.798321,60.538893,2.636913,57.901980
3.799994,60.545509,2.635762,57.909746
3.803766,60.558284,2.634995,57.923288
3.808314,60.578010,2.633845,57.944165
3.809783,60.589826,2.632311,57.957515
3.813631,60.604585,2.631544,57.973041
3.818369,60.630417,2.630394,58.000023
3.820284,60.641329,2.628476,58.012852
3.824044,60.665956,2.626942,58.039014
3.828206,60.688618,2.625792,58.062827
3.829672,60.697169,2.624258,58.072911
3.833467,60.715703,2.623874,58.091828
3.836407,60.730653,2.622340,58.108313
3.839597,60.748156,2.620806,58.127350
3.842308,60.767133,2.618505,58.148628
3.845446,60.789232,2.617738,58.171494
3.848544,60.810480,2.616588,58.193892
3.851509,60.828001,2.615054,58.212947
3.854800,60.849351,2.613136,58.236214
3.857912,60.870377,2.611986,58.258391
3.860909,60.891919,2.610835,58.281083
3.864487,60.916295,2.609301,58.306993
3.868751,60.945908,2.607000,58.338907
3.869835,60.961859,2.605466,58.356392
3.873626,60.988026,2.603932,58.384094
3.878401,61.013223,2.602398,58.410825
3.879899,61.039343,2.599714,58.439629
3.882635,61.060884,2.598180,58.462704
3.885845,61.082618,2.597029,58.485588
3.889169,61.105747,2.595495,58.510252
3.891872,61.125587,2.594345,58.531242
3.894791,61.147926,2.591661,58.556265
3.897966,61.174297,2.590510,58.583787
3.900797,61.197462,2.587826,58.609637
3.904311,61.228795,2.585908,58.642887
3.907289,61.267217,2.583607,58.683609
3.910216,61.286110,2.582073,58.704037
3.913995,61.318263,2.580923,58.737341
3.918360,61.347589,2.577855,58.769734
3.920353,61.363887,2.577088,58.786800
3.923810,61.386807,2.574787,58.812020
3.928371,61.420920,2.573253,58.847668
3.929752,61.436584,2.570952,58.865632
3.933178,61.466323,2.569418,58.896905
3.936439,61.495121,2.566350,58.928771
